"acc","accuracy","audio_file","average_response_time","avg_rt","background","block_size","canvas_backend","clock_backend","color_backend","condition","correct","correct_experiment_intro","correct_experiment_intro2","correct_new_1_keyboard_response","correct_new_2_keyboard_response","correct_new_2_sketchpad","correct_new_3_keyboard_response","correct_new_3_sketchpad","correct_new_4_keyboard_response","correct_new_4_sketchpad","correct_new_5_keyboard_response","correct_new_5_sketchpad","correct_new_6_keyboard_response","correct_new_7_keyboard_response","correct_new_7_sketchpad","correct_new_8_keyboard_response","correct_new_keyboard_response","correct_new_mouse_response","correct_welcome","count_audio_file_offset","count_audio_file_onset_log","count_definitions","count_experiment","count_experiment_intro","count_experiment_intro2","count_image_delay","count_image_nosub","count_image_sub","count_increment_roundCounter","count_instruction","count_instructions","count_log_instruction","count_new_1_inline_script","count_new_1_keyboard_response","count_new_1_sketchpad","count_new_2_keyboard_response","count_new_2_sketchpad","count_new_3_keyboard_response","count_new_3_sketchpad","count_new_4_keyboard_response","count_new_4_sketchpad","count_new_5_keyboard_response","count_new_5_sketchpad","count_new_6_keyboard_response","count_new_6_sketchpad","count_new_7_keyboard_response","count_new_7_sketchpad","count_new_8_keyboard_response","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_mouse_response","count_new_pygaze_init","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sketchpad","count_sentence_audio","count_subject_onset_log","count_trial_loop","count_trial_sequence","count_welcome","csv_filepath","csv_id","cursor_roi","cursor_x","cursor_y","datetime","delay_image_delay","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","id","image_nosub","image_sub","keyboard_backend","live_row","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","position1","position2","position3","position4","psychopy_screen","repeat_cycle","response","response_experiment_intro","response_experiment_intro2","response_instruction","response_new_1_keyboard_response","response_new_1_sketchpad","response_new_2_keyboard_response","response_new_2_sketchpad","response_new_3_keyboard_response","response_new_3_sketchpad","response_new_4_keyboard_response","response_new_4_sketchpad","response_new_5_keyboard_response","response_new_5_sketchpad","response_new_6_keyboard_response","response_new_6_sketchpad","response_new_7_keyboard_response","response_new_7_sketchpad","response_new_8_keyboard_response","response_new_keyboard_response","response_new_mouse_response","response_time","response_time_experiment_intro","response_time_experiment_intro2","response_time_instruction","response_time_new_1_keyboard_response","response_time_new_1_sketchpad","response_time_new_2_keyboard_response","response_time_new_2_sketchpad","response_time_new_3_keyboard_response","response_time_new_3_sketchpad","response_time_new_4_keyboard_response","response_time_new_4_sketchpad","response_time_new_5_keyboard_response","response_time_new_5_sketchpad","response_time_new_6_keyboard_response","response_time_new_6_sketchpad","response_time_new_7_keyboard_response","response_time_new_7_sketchpad","response_time_new_8_keyboard_response","response_time_new_keyboard_response","response_time_new_mouse_response","response_time_welcome","response_welcome","round","round_decimals","sampler_backend","sentence","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target_position","time_audio_file_offset","time_audio_file_onset_log","time_definitions","time_experiment","time_experiment_intro","time_experiment_intro2","time_image_delay","time_image_nosub","time_image_sub","time_increment_roundCounter","time_instruction","time_instructions","time_log_instruction","time_new_1_inline_script","time_new_1_keyboard_response","time_new_1_sketchpad","time_new_2_keyboard_response","time_new_2_sketchpad","time_new_3_keyboard_response","time_new_3_sketchpad","time_new_4_keyboard_response","time_new_4_sketchpad","time_new_5_keyboard_response","time_new_5_sketchpad","time_new_6_keyboard_response","time_new_6_sketchpad","time_new_7_keyboard_response","time_new_7_sketchpad","time_new_8_keyboard_response","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_mouse_response","time_new_pygaze_init","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sketchpad","time_sentence_audio","time_subject_onset_log","time_trial_loop","time_trial_sequence","time_welcome","timeout","title","total_correct","total_response_time","total_responses","width"
"undefined","undefined","6_n.wav","undefined","undefined","#dadada","256","psycho","psycho","psycho","non-restrictive","undefined","undefined","undefined","NA","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","0","0","0","0","0","NA","0","0","0","NA","0","NA","NA","0","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","0","participant_group2.csv","2","NA","NA","NA","Sun Jul 12 15:19:34 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Downloads","False","mono","False","20","no","black","no","yes","1440","6","7_pos3_nosub.png","7_pos3_sub.png","psycho","0","0","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\subject-1.csv","psycho","Neonatal Nightingale","4.1.14","weighing-scales","jug","mushrooms","knife","0","0","space","space","space","NA","NA","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","2308.3124999538995","2274.4085000013","10370.624299976043","NA","NA","NA","NA","2947.5560000282712","NA","2915.6188999768347","NA","4283.731899980921","NA","3635.7369999750517","NA","NA","NA","2308.3124999538995","NA","NA","NA","2471.761900000274","c","1","2","psycho","The housewife will  wash the mushrooms","1024","2","24000","-16","experiment","1","odd","3","225118.93639998743","221760.8796999557","216815.7557999948","4964.458299975377","188052.49849997927","190332.2909999988","NA","217705.81019995734","221760.81020000856","NA","NA","188048.11460000928","NA","NA","NA","NA","NA","200707.3703999631","NA","203659.38149997965","NA","206579.16279998608","NA","210867.0860999846","NA","NA","NA","214506.88150001224","NA","NA","NA","225164.2218999914","NA","7448.134900012519","217039.60439999355","NA","NA","221820.39539999096","221706.44629996968","216815.78949996037","217038.93459995743","4975.226699956693","3000","SceneViewing","0","0","0","2560"
"100","100","39_r.wav","2897","2897","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","1","1","0","0","0","0","NA","1","1","1","NA","0","NA","NA","1","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","1","NA","0","1","1","1","1","1","0","1","0","participant_group2.csv","2","NA","NA","NA","Sun Jul 12 15:19:34 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Downloads","False","mono","False","20","no","black","no","yes","1440","39","40_pos4_nosub.png","40_pos4_sub.png","psycho","1","1","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\subject-1.csv","psycho","Neonatal Nightingale","4.1.14","shampoo","mat","buckle","shoelace","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","2897.0112000242807","2274.4085000013","10370.624299976043","NA","2897.0112000242807","NA","NA","2947.5560000282712","NA","2915.6188999768347","NA","4283.731899980921","NA","3635.7369999750517","NA","NA","NA","2308.3124999538995","NA","NA","NA","2471.761900000274","c","2","2","psycho","The boy will tie the shoelace","1024","2","24000","-16","experiment","1","odd","4","235019.111600006","232407.74090000195","216815.7557999948","4964.458299975377","188052.49849997927","190332.2909999988","NA","228384.00249998085","232407.68379997462","228143.4551999555","NA","188048.11460000928","NA","NA","225245.88269996457","NA","NA","200707.3703999631","NA","203659.38149997965","NA","206579.16279998608","NA","210867.0860999846","NA","NA","NA","214506.88150001224","NA","NA","NA","235038.96749997512","NA","7448.134900012519","228368.6638000072","225184.05569996685","225245.78080000356","232427.22919996595","232384.6840999904","216815.78949996037","228368.01079998259","4975.226699956693","3000","SceneViewing","1","2897.0112000242807","1","2560"
"100","100","15_r.wav","2543","2543","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","2","2","0","0","0","0","NA","2","2","2","NA","0","NA","NA","2","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","2","NA","0","2","2","2","2","2","0","2","0","participant_group2.csv","2","NA","NA","NA","Sun Jul 12 15:19:34 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Downloads","False","mono","False","20","no","black","no","yes","1440","15","16_pos4_nosub.png","16_pos4_sub.png","psycho","2","2","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\subject-1.csv","psycho","Neonatal Nightingale","4.1.14","wallet","magnifying-glass","folder","hat","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","2190.431500028353","2274.4085000013","10370.624299976043","NA","2190.431500028353","NA","NA","2947.5560000282712","NA","2915.6188999768347","NA","4283.731899980921","NA","3635.7369999750517","NA","NA","NA","2308.3124999538995","NA","NA","NA","2471.761900000274","c","3","2","psycho","The businessman will wear the hat","1024","2","24000","-16","experiment","1","odd","4","244448.77739995718","241476.42879997147","216815.7557999948","4964.458299975377","188052.49849997927","190332.2909999988","NA","237452.92349997908","241476.3777999906","237247.60319996858","NA","188048.11460000928","NA","NA","235056.53979995986","NA","NA","200707.3703999631","NA","203659.38149997965","NA","206579.16279998608","NA","210867.0860999846","NA","NA","NA","214506.88150001224","NA","NA","NA","244467.97579998383","NA","7448.134900012519","237438.9878999791","235046.3466999936","235056.44600000232","241496.1141999811","241453.24229996186","216815.78949996037","237438.36759997066","4975.226699956693","3000","SceneViewing","2","5087.442700052634","2","2560"
"100","100","22_n.wav","2028","2028","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","3","3","0","0","0","0","NA","3","3","3","NA","0","NA","NA","3","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","3","NA","0","3","3","3","3","3","0","3","0","participant_group2.csv","2","NA","NA","NA","Sun Jul 12 15:19:34 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Downloads","False","mono","False","20","no","black","no","yes","1440","22","23_pos3_nosub.png","23_pos3_sub.png","psycho","3","3","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\subject-1.csv","psycho","Neonatal Nightingale","4.1.14","poster","towel","coat","hook","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","998.1553999823518","2274.4085000013","10370.624299976043","NA","998.1553999823518","NA","NA","2947.5560000282712","NA","2915.6188999768347","NA","4283.731899980921","NA","3635.7369999750517","NA","NA","NA","2308.3124999538995","NA","NA","NA","2471.761900000274","c","4","2","psycho","The girl will hang the coat","1024","2","24000","-16","experiment","1","odd","3","252238.95199998515","249765.70359995821","216815.7557999948","4964.458299975377","188052.49849997927","190332.2909999988","NA","245741.91330000758","249765.64739999594","245495.48889999278","NA","188048.11460000928","NA","NA","244496.75829999615","NA","NA","200707.3703999631","NA","203659.38149997965","NA","206579.16279998608","NA","210867.0860999846","NA","NA","NA","214506.88150001224","NA","NA","NA","252258.19889997365","NA","7448.134900012519","245727.79779997654","244485.93109997455","244496.59819999943","249784.653300012","249742.47329996433","216815.78949996037","245727.24869998638","4975.226699956693","3000","SceneViewing","3","6085.598100034986","3","2560"
"100","100","37_r.wav","1726","1726","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","4","4","0","0","0","0","NA","4","4","4","NA","0","NA","NA","4","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","4","NA","0","4","4","4","4","4","0","4","0","participant_group2.csv","2","NA","NA","NA","Sun Jul 12 15:19:34 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Downloads","False","mono","False","20","no","black","no","yes","1440","37","38_pos2_nosub.png","38_pos2_sub.png","psycho","4","4","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\subject-1.csv","psycho","Neonatal Nightingale","4.1.14","key","banana","mitten","marker","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","820.2580999932252","2274.4085000013","10370.624299976043","NA","820.2580999932252","NA","NA","2947.5560000282712","NA","2915.6188999768347","NA","4283.731899980921","NA","3635.7369999750517","NA","NA","NA","2308.3124999538995","NA","NA","NA","2471.761900000274","c","5","2","psycho","The boy will peel the banana","1024","2","24000","-16","experiment","1","odd","2","260129.08459996106","257365.98629999207","216815.7557999948","4964.458299975377","188052.49849997927","190332.2909999988","NA","253341.87219996238","257365.8895000117","253095.4070999869","NA","188048.11460000928","NA","NA","252274.68049997697","NA","NA","200707.3703999631","NA","203659.38149997965","NA","206579.16279998608","NA","210867.0860999846","NA","NA","NA","214506.88150001224","NA","NA","NA","260148.2607999933","NA","7448.134900012519","253326.5517000109","252264.40709998133","252274.5590999839","257385.68309997208","257342.86519995658","216815.78949996037","253325.97439998062","4975.226699956693","3000","SceneViewing","4","6905.856200028211","4","2560"
"100","100","8_n.wav","1615","1615","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","5","5","0","0","0","0","NA","5","5","5","NA","0","NA","NA","5","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","5","NA","0","5","5","5","5","5","0","5","0","participant_group2.csv","2","NA","NA","NA","Sun Jul 12 15:19:34 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Downloads","False","mono","False","20","no","black","no","yes","1440","8","9_pos1_nosub.png","9_pos1_sub.png","psycho","5","5","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\subject-1.csv","psycho","Neonatal Nightingale","4.1.14","piano","table","telephone","television","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1171.1658000131138","2274.4085000013","10370.624299976043","NA","1171.1658000131138","NA","NA","2947.5560000282712","NA","2915.6188999768347","NA","4283.731899980921","NA","3635.7369999750517","NA","NA","NA","2308.3124999538995","NA","NA","NA","2471.761900000274","c","6","2","psycho","The woman will dust the piano","1024","2","24000","-16","experiment","1","odd","1","268598.8786999951","265605.53249996156","216815.7557999948","4964.458299975377","188052.49849997927","190332.2909999988","NA","261581.91800001077","265605.4762999993","261335.42479999596","NA","188048.11460000928","NA","NA","260163.67499995977","NA","NA","200707.3703999631","NA","203659.38149997965","NA","206579.16279998608","NA","210867.0860999846","NA","NA","NA","214506.88150001224","NA","NA","NA","268618.00989997573","NA","7448.134900012519","261566.74789998215","260154.48119997745","260163.5602999595","265625.21069997456","265582.371699973","216815.78949996037","261566.20150001254","4975.226699956693","3000","SceneViewing","5","8077.022000041325","5","2560"
"100","100","18_n.wav","1638","1638","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","6","6","0","0","0","0","NA","6","6","6","NA","0","NA","NA","6","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","6","NA","0","6","6","6","6","6","0","6","0","participant_group2.csv","2","NA","NA","NA","Sun Jul 12 15:19:34 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Downloads","False","mono","False","20","no","black","no","yes","1440","18","19_pos3_nosub.png","19_pos3_sub.png","psycho","6","6","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\subject-1.csv","psycho","Neonatal Nightingale","4.1.14","feather","leaf","football","stick","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1754.4894000166096","2274.4085000013","10370.624299976043","NA","1754.4894000166096","NA","NA","2947.5560000282712","NA","2915.6188999768347","NA","4283.731899980921","NA","3635.7369999750517","NA","NA","NA","2308.3124999538995","NA","NA","NA","2471.761900000274","c","7","2","psycho","The boy will touch the football","1024","2","24000","-16","experiment","1","odd","3","277308.8959999732","274684.1449000058","216815.7557999948","4964.458299975377","188052.49849997927","190332.2909999988","NA","270660.59340001084","274684.090499999","270407.58539998205","NA","188048.11460000928","NA","NA","268652.34209998744","NA","NA","200707.3703999631","NA","203659.38149997965","NA","206579.16279998608","NA","210867.0860999846","NA","NA","NA","214506.88150001224","NA","NA","NA","277328.09329999145","NA","7448.134900012519","270644.37429996906","268642.5245999708","268652.23040001","274703.1748999725","274661.0512000043","216815.78949996037","270643.807299959","4975.226699956693","3000","SceneViewing","6","9831.511400057934","6","2560"
"100","100","40_n.wav","1542","1542","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","7","7","0","0","0","0","NA","7","7","7","NA","0","NA","NA","7","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","7","NA","0","7","7","7","7","7","0","7","0","participant_group2.csv","2","NA","NA","NA","Sun Jul 12 15:19:34 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Downloads","False","mono","False","20","no","black","no","yes","1440","40","41_pos1_nosub.png","41_pos1_sub.png","psycho","7","7","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\subject-1.csv","psycho","Neonatal Nightingale","4.1.14","blouse","pin","toothbrish","iron","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","969.201100000646","2274.4085000013","10370.624299976043","NA","969.201100000646","NA","NA","2947.5560000282712","NA","2915.6188999768347","NA","4283.731899980921","NA","3635.7369999750517","NA","NA","NA","2308.3124999538995","NA","NA","NA","2471.761900000274","c","8","2","psycho","The girl will hold the blouse","1024","2","24000","-16","experiment","1","odd","1","285238.95359999733","282590.7234000042","216815.7557999948","4964.458299975377","188052.49849997927","190332.2909999988","NA","278566.8931999826","282590.65450000344","278327.57819996914","NA","188048.11460000928","NA","NA","277357.7278999728","NA","NA","200707.3703999631","NA","203659.38149997965","NA","206579.16279998608","NA","210867.0860999846","NA","NA","NA","214506.88150001224","NA","NA","NA","285258.35029996233","NA","7448.134900012519","278550.77829997754","277347.8086999967","277357.58829995757","282610.0802999572","282567.39629997173","216815.78949996037","278550.17830000725","4975.226699956693","3000","SceneViewing","7","10800.71250005858","7","2560"
"100","100","3_r.wav","1499","1499","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","8","8","0","0","0","0","NA","8","8","8","NA","0","NA","NA","8","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","8","NA","0","8","8","8","8","8","0","8","0","participant_group2.csv","2","NA","NA","NA","Sun Jul 12 15:19:34 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Downloads","False","mono","False","20","no","black","no","yes","1440","3","4_pos4_nosub.png","4_pos4_sub.png","psycho","8","8","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\subject-1.csv","psycho","Neonatal Nightingale","4.1.14","plant","stool","rocking-horse","baby","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1191.7077000252903","2274.4085000013","10370.624299976043","NA","1191.7077000252903","NA","NA","2947.5560000282712","NA","2915.6188999768347","NA","4283.731899980921","NA","3635.7369999750517","NA","NA","NA","2308.3124999538995","NA","NA","NA","2471.761900000274","c","9","2","psycho","The woman will bathe the baby","1024","2","24000","-16","experiment","1","odd","4","293558.99879999924","290693.1839999743","216815.7557999948","4964.458299975377","188052.49849997927","190332.2909999988","NA","286667.8008000017","290693.1313999812","286471.7646999634","NA","188048.11460000928","NA","NA","285279.16739997454","NA","NA","200707.3703999631","NA","203659.38149997965","NA","206579.16279998608","NA","210867.0860999846","NA","NA","NA","214506.88150001224","NA","NA","NA","293578.5104999668","NA","7448.134900012519","286653.45899999375","285268.90839997213","285279.04709998984","290712.56740001263","290667.8970999783","216815.78949996037","286653.06519996375","4975.226699956693","3000","SceneViewing","8","11992.42020008387","8","2560"
"100","100","41_r.wav","1408","1408","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","9","9","0","0","0","0","NA","9","9","9","NA","0","NA","NA","9","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","9","NA","0","9","9","9","9","9","0","9","0","participant_group2.csv","2","NA","NA","NA","Sun Jul 12 15:19:34 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Downloads","False","mono","False","20","no","black","no","yes","1440","41","42_pos2_nosub.png","42_pos2_sub.png","psycho","9","9","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\subject-1.csv","psycho","Neonatal Nightingale","4.1.14","shell","orange","stone","cone","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","682.606799993664","2274.4085000013","10370.624299976043","NA","682.606799993664","NA","NA","2947.5560000282712","NA","2915.6188999768347","NA","4283.731899980921","NA","3635.7369999750517","NA","NA","NA","2308.3124999538995","NA","NA","NA","2471.761900000274","c","10","2","psycho","The boy will squeeze the orange","1024","2","24000","-16","experiment","1","odd","2","301429.2996999575","298516.2367000012","216815.7557999948","4964.458299975377","188052.49849997927","190332.2909999988","NA","294491.97649996495","298516.1494999775","294279.387699964","NA","188048.11460000928","NA","NA","293596.23719996307","NA","NA","200707.3703999631","NA","203659.38149997965","NA","206579.16279998608","NA","210867.0860999846","NA","NA","NA","214506.88150001224","NA","NA","NA","301448.87109997217","NA","7448.134900012519","294475.6403999636","293584.6862999606","293595.9729999886","298535.8061000006","298492.72449995624","216815.78949996037","294475.000299979","4975.226699956693","3000","SceneViewing","9","12675.027000077534","9","2560"
