"acc","accuracy","audio_file","average_response_time","avg_rt","background","block_size","canvas_backend","clock_backend","color_backend","condition","correct","correct_experiment_intro","correct_experiment_intro2","correct_new_1_keyboard_response","correct_new_2_keyboard_response","correct_new_2_sketchpad","correct_new_3_keyboard_response","correct_new_3_sketchpad","correct_new_4_keyboard_response","correct_new_4_sketchpad","correct_new_5_keyboard_response","correct_new_5_sketchpad","correct_new_6_keyboard_response","correct_new_7_keyboard_response","correct_new_7_sketchpad","correct_new_8_keyboard_response","correct_new_keyboard_response","correct_new_mouse_response","correct_welcome","count_accuracy_output","count_audio_file_offset","count_audio_file_onset_log","count_definitions","count_experiment","count_experiment_intro","count_experiment_intro2","count_image_delay","count_image_nosub","count_image_sub","count_increment_roundCounter","count_instruction","count_instructions","count_log_instruction","count_new_1_inline_script","count_new_1_keyboard_response","count_new_1_sketchpad","count_new_2_keyboard_response","count_new_2_sketchpad","count_new_3_keyboard_response","count_new_3_sketchpad","count_new_4_keyboard_response","count_new_4_sketchpad","count_new_5_keyboard_response","count_new_5_sketchpad","count_new_6_keyboard_response","count_new_6_sketchpad","count_new_7_keyboard_response","count_new_7_sketchpad","count_new_8_keyboard_response","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_mouse_response","count_new_pygaze_init","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sketchpad","count_sentence_audio","count_subject_onset_log","count_trial_loop","count_trial_sequence","count_welcome","csv_filepath","csv_id","cursor_roi","cursor_x","cursor_y","datetime","delay_image_delay","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","id","image_nosub","image_sub","keyboard_backend","live_row","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","position1","position2","position3","position4","psychopy_screen","repeat_cycle","response","response_experiment_intro","response_experiment_intro2","response_instruction","response_new_1_keyboard_response","response_new_1_sketchpad","response_new_2_keyboard_response","response_new_2_sketchpad","response_new_3_keyboard_response","response_new_3_sketchpad","response_new_4_keyboard_response","response_new_4_sketchpad","response_new_5_keyboard_response","response_new_5_sketchpad","response_new_6_keyboard_response","response_new_6_sketchpad","response_new_7_keyboard_response","response_new_7_sketchpad","response_new_8_keyboard_response","response_new_keyboard_response","response_new_mouse_response","response_time","response_time_experiment_intro","response_time_experiment_intro2","response_time_instruction","response_time_new_1_keyboard_response","response_time_new_1_sketchpad","response_time_new_2_keyboard_response","response_time_new_2_sketchpad","response_time_new_3_keyboard_response","response_time_new_3_sketchpad","response_time_new_4_keyboard_response","response_time_new_4_sketchpad","response_time_new_5_keyboard_response","response_time_new_5_sketchpad","response_time_new_6_keyboard_response","response_time_new_6_sketchpad","response_time_new_7_keyboard_response","response_time_new_7_sketchpad","response_time_new_8_keyboard_response","response_time_new_keyboard_response","response_time_new_mouse_response","response_time_welcome","response_welcome","round","round_decimals","sampler_backend","sentence","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target_position","time_accuracy_output","time_audio_file_offset","time_audio_file_onset_log","time_definitions","time_experiment","time_experiment_intro","time_experiment_intro2","time_image_delay","time_image_nosub","time_image_sub","time_increment_roundCounter","time_instruction","time_instructions","time_log_instruction","time_new_1_inline_script","time_new_1_keyboard_response","time_new_1_sketchpad","time_new_2_keyboard_response","time_new_2_sketchpad","time_new_3_keyboard_response","time_new_3_sketchpad","time_new_4_keyboard_response","time_new_4_sketchpad","time_new_5_keyboard_response","time_new_5_sketchpad","time_new_6_keyboard_response","time_new_6_sketchpad","time_new_7_keyboard_response","time_new_7_sketchpad","time_new_8_keyboard_response","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_mouse_response","time_new_pygaze_init","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sketchpad","time_sentence_audio","time_subject_onset_log","time_trial_loop","time_trial_sequence","time_welcome","timeout","title","total_correct","total_response_time","total_responses","width"
"undefined","undefined","0_n.wav","undefined","undefined","#dadada","256","psycho","psycho","psycho","non-restrictive","undefined","undefined","undefined","NA","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","0","0","0","0","0","0","NA","0","0","0","NA","0","NA","NA","0","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","0","participant_group8.csv","8","NA","NA","NA","Wed Aug  5 18:51:26 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","0","1_pos4_nosub.png","1_pos4_sub.png","psycho","0","0","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-15.csv","psycho","Neonatal Nightingale","4.1.14","toy-car","toy-train","ball","cake","0","0","space","space","space","NA","NA","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","9635.624599992298","2977.945600010571","7505.254199990304","NA","NA","NA","NA","3083.3680000068853","NA","4507.686600001762","NA","3707.4951000104193","NA","25155.0120000029","NA","NA","NA","9635.624599992298","NA","NA","NA","9513.994900000398","c","1","2","psycho","The boy will move the cake","1024","2","24000","-16","experiment","15","odd","4","61735.302699991735","125871.026599998","123446.64119998924","118342.68370000063","6400.058999992325","61740.112499988754","64724.70890000113","NA","119416.97939998994","123446.55909998983","NA","NA","61735.38859999098","NA","NA","NA","NA","NA","72234.62639999343","NA","75322.32819999626","NA","79834.50869999069","NA","83546.91679999814","NA","NA","NA","108706.35860000039","NA","NA","NA","125896.56860000105","NA","15943.194599996787","118578.94599999418","NA","NA","123472.00739999244","123417.31579999032","118342.71699999226","118578.0483999988","6428.000499989139","3000","SceneViewing","0","0","0","2560"
"100","100","29_r.wav","10781","10781","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","1","1","0","0","0","0","NA","1","1","1","NA","0","NA","NA","1","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","1","NA","0","1","1","1","1","1","0","1","0","participant_group8.csv","8","NA","NA","NA","Wed Aug  5 18:51:26 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","29","30_pos1_nosub.png","30_pos1_sub.png","psycho","1","1","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-15.csv","psycho","Neonatal Nightingale","4.1.14","newspaper","comb","eraser","tissue","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","10781.512899993686","2977.945600010571","7505.254199990304","NA","10781.512899993686","NA","NA","3083.3680000068853","NA","4507.686600001762","NA","3707.4951000104193","NA","25155.0120000029","NA","NA","NA","9635.624599992298","NA","NA","NA","9513.994900000398","c","2","2","psycho","The grandmother will read the newspaper","1024","2","24000","-16","experiment","15","odd","1","61735.302699991735","143701.1974999914","140987.82349999237","118342.68370000063","6400.058999992325","61740.112499988754","64724.70890000113","NA","136963.52969999134","140987.76419999194","136734.91629998898","NA","61735.38859999098","NA","NA","125952.57110000239","NA","NA","72234.62639999343","NA","75322.32819999626","NA","79834.50869999069","NA","83546.91679999814","NA","NA","NA","108706.35860000039","NA","NA","NA","143720.465099992","NA","15943.194599996787","136945.78680000268","125918.3372999978","125952.33119999466","141007.5397999899","140964.01719999267","118342.71699999226","136945.1246999961","6428.000499989139","3000","SceneViewing","1","10781.512899993686","1","2560"
"100","100","36_n.wav","7188","7188","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","2","2","0","0","0","0","NA","2","2","2","NA","0","NA","NA","2","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","2","NA","0","2","2","2","2","2","0","2","0","participant_group8.csv","8","NA","NA","NA","Wed Aug  5 18:51:26 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","36","37_pos4_nosub.png","37_pos4_sub.png","psycho","2","2","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-15.csv","psycho","Neonatal Nightingale","4.1.14","papers","boxes","clips","lego","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","3595.4328999941936","2977.945600010571","7505.254199990304","NA","3595.4328999941936","NA","NA","3083.3680000068853","NA","4507.686600001762","NA","3707.4951000104193","NA","25155.0120000029","NA","NA","NA","9635.624599992298","NA","NA","NA","9513.994900000398","c","3","2","psycho","The kid will stack the lego","1024","2","24000","-16","experiment","15","odd","4","61735.302699991735","154351.2788999942","151579.04329999292","118342.68370000063","6400.058999992325","61740.112499988754","64724.70890000113","NA","147555.26599999575","151578.9885999984","147335.1485000021","NA","61735.38859999098","NA","NA","143738.75140000018","NA","NA","72234.62639999343","NA","75322.32819999626","NA","79834.50869999069","NA","83546.91679999814","NA","NA","NA","108706.35860000039","NA","NA","NA","154371.03919999208","NA","15943.194599996787","147538.94020000007","143729.14379999565","143738.64630000025","151598.43909999472","151555.7594999991","118342.71699999226","147538.29099998984","6428.000499989139","3000","SceneViewing","2","14376.94579998788","2","2560"
"100","100","43_r.wav","5407","5407","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","3","3","0","0","0","0","NA","3","3","3","NA","0","NA","NA","3","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","3","NA","0","3","3","3","3","3","0","3","0","participant_group8.csv","8","NA","NA","NA","Wed Aug  5 18:51:26 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","43","44_pos3_nosub.png","44_pos3_sub.png","psycho","3","3","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-15.csv","psycho","Neonatal Nightingale","4.1.14","bolt","handle","safe","pan","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1844.1682999982731","2977.945600010571","7505.254199990304","NA","1844.1682999982731","NA","NA","3083.3680000068853","NA","4507.686600001762","NA","3707.4951000104193","NA","25155.0120000029","NA","NA","NA","9635.624599992298","NA","NA","NA","9513.994900000398","c","4","2","psycho","The man will lock the safe","1024","2","24000","-16","experiment","15","odd","3","61735.302699991735","163011.05839999218","160490.8926999924","118342.68370000063","6400.058999992325","61740.112499988754","64724.70890000113","NA","156464.50889999687","160490.8279999945","156246.46460000076","NA","61735.38859999098","NA","NA","154401.75669999735","NA","NA","72234.62639999343","NA","75322.32819999626","NA","79834.50869999069","NA","83546.91679999814","NA","NA","NA","108706.35860000039","NA","NA","NA","163030.23179998854","NA","15943.194599996787","156448.49260000046","154390.96019999124","154401.56769999885","160510.02619999053","160464.70159999444","118342.71699999226","156447.79089999793","6428.000499989139","3000","SceneViewing","3","16221.114099986153","3","2560"
"100","100","11_r.wav","4335","4335","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","4","4","0","0","0","0","NA","4","4","4","NA","0","NA","NA","4","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","4","NA","0","4","4","4","4","4","0","4","0","participant_group8.csv","8","NA","NA","NA","Wed Aug  5 18:51:26 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","11","12_pos3_nosub.png","12_pos3_sub.png","psycho","4","4","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-15.csv","psycho","Neonatal Nightingale","4.1.14","duck","bricks","bell","drum","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1119.446800003061","2977.945600010571","7505.254199990304","NA","1119.446800003061","NA","NA","3083.3680000068853","NA","4507.686600001762","NA","3707.4951000104193","NA","25155.0120000029","NA","NA","NA","9635.624599992298","NA","NA","NA","9513.994900000398","c","5","2","psycho","The baby will ring the bell","1024","2","24000","-16","experiment","15","odd","3","61735.302699991735","170451.06330000272","168441.98550000146","118342.68370000063","6400.058999992325","61740.112499988754","64724.70890000113","NA","164416.44289999385","168441.90799999342","164182.6272999897","NA","61735.38859999098","NA","NA","163062.52539998968","NA","NA","72234.62639999343","NA","75322.32819999626","NA","79834.50869999069","NA","83546.91679999814","NA","NA","NA","108706.35860000039","NA","NA","NA","170470.52000000258","NA","15943.194599996787","164396.5171000018","163051.9840999914","163062.38969998958","168461.91790000012","168417.0918000018","118342.71699999226","164396.0500999965","6428.000499989139","3000","SceneViewing","4","17340.560899989214","4","2560"
"100","100","34_n.wav","3702","3702","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","5","5","0","0","0","0","NA","5","5","5","NA","0","NA","NA","5","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","5","NA","0","5","5","5","5","5","0","5","0","participant_group8.csv","8","NA","NA","NA","Wed Aug  5 18:51:26 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","34","35_pos2_nosub.png","35_pos2_sub.png","psycho","5","5","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-15.csv","psycho","Neonatal Nightingale","4.1.14","pillow","radio","puzzle","notebook","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1170.7298000110313","2977.945600010571","7505.254199990304","NA","1170.7298000110313","NA","NA","3083.3680000068853","NA","4507.686600001762","NA","3707.4951000104193","NA","25155.0120000029","NA","NA","NA","9635.624599992298","NA","NA","NA","9513.994900000398","c","6","2","psycho","The boy will move the radio","1024","2","24000","-16","experiment","15","odd","2","61735.302699991735","178671.04809999","175935.38729999273","118342.68370000063","6400.058999992325","61740.112499988754","64724.70890000113","NA","171908.8141999964","175935.2297000005","171662.5492999883","NA","61735.38859999098","NA","NA","170491.19639999117","NA","NA","72234.62639999343","NA","75322.32819999626","NA","79834.50869999069","NA","83546.91679999814","NA","NA","NA","108706.35860000039","NA","NA","NA","178689.92900000012","NA","15943.194599996787","171886.41759999155","170479.903799991","170491.0865999991","175955.34259999113","175909.25509999215","118342.71699999226","171885.90559999284","6428.000499989139","3000","SceneViewing","5","18511.290700000245","5","2560"
"100","100","42_n.wav","3229","3229","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","6","6","0","0","0","0","NA","6","6","6","NA","0","NA","NA","6","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","6","NA","0","6","6","6","6","6","0","6","0","participant_group8.csv","8","NA","NA","NA","Wed Aug  5 18:51:26 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","42","43_pos2_nosub.png","43_pos2_sub.png","psycho","6","6","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-15.csv","psycho","Neonatal Nightingale","4.1.14","ruler","shirt","apple","chalk","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","868.1731000106083","2977.945600010571","7505.254199990304","NA","868.1731000106083","NA","NA","3083.3680000068853","NA","4507.686600001762","NA","3707.4951000104193","NA","25155.0120000029","NA","NA","NA","9635.624599992298","NA","NA","NA","9513.994900000398","c","7","2","psycho","The woman will wash the shirt","1024","2","24000","-16","experiment","15","odd","2","61735.302699991735","186581.14929999283","183852.51569999673","118342.68370000063","6400.058999992325","61740.112499988754","64724.70890000113","NA","179827.80149999599","183852.37359999155","179590.80710000126","NA","61735.38859999098","NA","NA","178721.70299998834","NA","NA","72234.62639999343","NA","75322.32819999626","NA","79834.50869999069","NA","83546.91679999814","NA","NA","NA","108706.35860000039","NA","NA","NA","186600.27919999266","NA","15943.194599996787","179811.9688000006","178710.86529998865","178721.58209999907","183872.27179999172","183828.511300002","118342.71699999226","179811.44929998845","6428.000499989139","3000","SceneViewing","6","19379.463800010853","6","2560"
"100","100","44_n.wav","3025","3025","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","7","7","0","0","0","0","NA","7","7","7","NA","0","NA","NA","7","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","7","NA","0","7","7","7","7","7","0","7","0","participant_group8.csv","8","NA","NA","NA","Wed Aug  5 18:51:26 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","44","45_pos4_nosub.png","45_pos4_sub.png","psycho","7","7","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-15.csv","psycho","Neonatal Nightingale","4.1.14","glass","ladle","hammer","dough","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1800.807599996915","2977.945600010571","7505.254199990304","NA","1800.807599996915","NA","NA","3083.3680000068853","NA","4507.686600001762","NA","3707.4951000104193","NA","25155.0120000029","NA","NA","NA","9635.624599992298","NA","NA","NA","9513.994900000398","c","8","2","psycho","The baker will inspect the dough","1024","2","24000","-16","experiment","15","odd","4","61735.302699991735","195591.29549999489","192676.25629999384","118342.68370000063","6400.058999992325","61740.112499988754","64724.70890000113","NA","188650.46819999407","192676.18549999315","188422.54679999314","NA","61735.38859999098","NA","NA","186621.11809999624","NA","NA","72234.62639999343","NA","75322.32819999626","NA","79834.50869999069","NA","83546.91679999814","NA","NA","NA","108706.35860000039","NA","NA","NA","195610.7716999977","NA","15943.194599996787","188621.51469998935","186611.2654999888","186620.95149999368","192695.40199999756","192651.43089999037","118342.71699999226","188621.0917999997","6428.000499989139","3000","SceneViewing","7","21180.27140000777","7","2560"
"100","100","14_n.wav","2829","2829","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","8","8","0","0","0","0","NA","8","8","8","NA","0","NA","NA","8","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","8","NA","0","8","8","8","8","8","0","8","0","participant_group8.csv","8","NA","NA","NA","Wed Aug  5 18:51:26 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","14","15_pos2_nosub.png","15_pos2_sub.png","psycho","8","8","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-15.csv","psycho","Neonatal Nightingale","4.1.14","hen","dog","bird","ball","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1459.1396000032546","2977.945600010571","7505.254199990304","NA","1459.1396000032546","NA","NA","3083.3680000068853","NA","4507.686600001762","NA","3707.4951000104193","NA","25155.0120000029","NA","NA","NA","9635.624599992298","NA","NA","NA","9513.994900000398","c","9","2","psycho","The boy will feed the dog","1024","2","24000","-16","experiment","15","odd","2","61735.302699991735","203841.18760000274","201336.18359999673","118342.68370000063","6400.058999992325","61740.112499988754","64724.70890000113","NA","197310.56759999774","201336.11219999148","197094.57639999164","NA","61735.38859999098","NA","NA","195634.74629999837","NA","NA","72234.62639999343","NA","75322.32819999626","NA","79834.50869999069","NA","83546.91679999814","NA","NA","NA","108706.35860000039","NA","NA","NA","203860.09719999856","NA","15943.194599996787","197293.43409999274","195624.8412999994","195634.63039998896","201356.03470000206","201311.0125999956","118342.71699999226","197292.84650000045","6428.000499989139","3000","SceneViewing","8","22639.411000011023","8","2560"
"100","100","48_n.wav","2615","2615","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","9","9","0","0","0","0","NA","9","9","9","NA","0","NA","NA","9","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","9","NA","0","9","9","9","9","9","0","9","0","participant_group8.csv","8","NA","NA","NA","Wed Aug  5 18:51:26 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","48","49_pos4_nosub.png","49_pos4_sub.png","psycho","9","9","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-15.csv","psycho","Neonatal Nightingale","4.1.14","pump","flag","pouch","balloon","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","904.1244999971241","2977.945600010571","7505.254199990304","NA","904.1244999971241","NA","NA","3083.3680000068853","NA","4507.686600001762","NA","3707.4951000104193","NA","25155.0120000029","NA","NA","NA","9635.624599992298","NA","NA","NA","9513.994900000398","c","10","2","psycho","The child will carry the balloon","1024","2","24000","-16","experiment","15","odd","4","61735.302699991735","212050.99269999482","209035.2045999898","118342.68370000063","6400.058999992325","61740.112499988754","64724.70890000113","NA","205010.72409999324","209035.1493999915","204782.357899996","NA","61735.38859999098","NA","NA","203877.76119999762","NA","NA","72234.62639999343","NA","75322.32819999626","NA","79834.50869999069","NA","83546.91679999814","NA","NA","NA","108706.35860000039","NA","NA","NA","212070.5336999963","NA","15943.194599996787","204991.5886999952","203867.8096999938","203877.5433999981","209054.5024000021","209011.05049999023","118342.71699999226","204990.6093000027","6428.000499989139","3000","SceneViewing","9","23543.535500008147","9","2560"
