CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
89869	610.45612	6396184446	0.34271	0.51235	610.25568	0.20044	1298	1	0.35670	0.48779	1	0.33769	0.49529	1	0.34720	0.49154	1	0.29416	0.54693	20.63393	0.97318	1	0.54275	0.52338	20.45880	0.97318	1	-0.18290	-0.04109	2.39240	0.00451	0	0.01017	-0.00566	0.57212	0.00427	1	1.37969	0.41667	0	
89870	610.46277	6396251035	0.34285	0.51170	610.25568	0.20709	1298	1	0.35670	0.48779	1	0.33769	0.49529	1	0.34720	0.49154	1	0.29438	0.54678	20.36293	0.97318	1	0.54304	0.52330	19.87282	0.97318	1	-0.04322	-0.00954	0.55544	0.00444	1	0.01020	-0.00564	0.56934	0.00427	1	1.37969	0.41667	0	
89871	610.46954	6396318756	0.34290	0.51087	610.25568	0.21387	1298	1	0.35102	0.47259	1	0.33800	0.49597	1	0.34451	0.48428	1	0.29458	0.54713	21.08692	0.96810	1	0.54323	0.52340	20.14586	0.96810	1	-0.04322	-0.00954	0.55544	0.00439	1	0.01020	-0.00564	0.56934	0.00425	1	1.37969	0.41667	0	START_TRIAL
89872	610.47614	6396385192	0.34292	0.51062	610.25568	0.22046	1298	1	0.34362	0.48289	1	0.34341	0.52154	1	0.34351	0.50222	1	0.29471	0.54709	20.99392	0.96301	1	0.54330	0.52346	20.10514	0.96301	1	-0.04322	-0.00954	0.55544	0.00438	1	0.01020	-0.00564	0.56934	0.00423	1	1.37969	0.41667	0	
89873	610.48309	6396454500	0.34296	0.51047	610.25568	0.22742	1298	1	0.34424	0.48612	1	0.34419	0.52475	1	0.34421	0.50543	1	0.29479	0.54716	21.19765	0.95793	1	0.54343	0.52360	20.00817	0.95793	1	-0.04338	-0.00963	0.55851	0.00436	1	0.01030	-0.00565	0.57027	0.00428	1	1.37969	0.41667	0	
89874	610.48962	6396519697	0.34295	0.51016	610.25568	0.23395	1298	1	0.35669	0.47631	1	0.32821	0.52233	1	0.34245	0.49932	1	0.29504	0.54730	21.23702	0.95793	1	0.54358	0.52369	19.95629	0.95793	1	-0.04338	-0.00963	0.55851	0.00444	1	0.01030	-0.00565	0.57027	0.00432	1	1.37969	0.41667	0	
89875	610.49640	6396587444	0.34301	0.50972	610.25568	0.24072	1298	1	0.36417	0.48307	1	0.32634	0.50446	1	0.34525	0.49377	1	0.29499	0.54736	21.38879	0.95793	1	0.54368	0.52375	19.96791	0.95793	1	-0.04338	-0.00963	0.55851	0.00442	1	0.01030	-0.00565	0.57027	0.00430	1	1.37969	0.41667	0	
89876	610.50275	6396650788	0.34305	0.50921	610.25568	0.24707	1298	1	0.36365	0.47982	1	0.32548	0.50114	1	0.34456	0.49048	1	0.29523	0.54716	20.71485	0.96301	1	0.54399	0.52364	19.67150	0.96301	1	-0.18077	-0.04111	2.38340	0.00444	0	0.01034	-0.00566	0.56740	0.00425	1	1.37969	0.41667	0	
89877	610.50964	6396720098	0.34293	0.50884	610.25568	0.25397	1298	1	0.33768	0.48943	1	0.33910	0.50002	1	0.33839	0.49473	1	0.29544	0.54723	20.81744	0.96810	1	0.54409	0.52364	19.81527	0.96810	1	-0.18077	-0.04111	2.38340	0.00435	0	0.01034	-0.00566	0.56740	0.00427	1	1.37969	0.41667	0	
89878	610.51660	6396789405	0.34287	0.50845	610.25568	0.26093	1298	1	0.34022	0.48554	1	0.34082	0.50086	1	0.34052	0.49320	1	0.29544	0.54738	21.12147	0.97318	1	0.54409	0.52364	19.81527	0.97318	1	-0.18077	-0.04111	2.38340	0.00435	0	0.01034	-0.00566	0.56740	0.00427	1	1.37969	0.41667	0	
89879	610.52319	6396855494	0.34279	0.50800	610.25568	0.26752	1298	1	0.33959	0.48236	1	0.34004	0.49758	1	0.33982	0.48997	1	0.29568	0.54740	20.97561	0.97826	1	0.54425	0.52387	20.73666	0.97826	1	-0.18077	-0.04111	2.38340	0.00443	0	0.01038	-0.00568	0.56533	0.00425	1	1.37969	0.41667	0	
89880	610.53003	6396923562	0.34301	0.50783	610.25568	0.27435	1298	1	0.35105	0.49758	1	0.35230	0.50454	1	0.35167	0.50106	1	0.29577	0.54733	20.57694	0.97826	1	0.54444	0.52414	20.25687	0.97826	1	-0.18077	-0.04111	2.38340	0.00445	0	0.01038	-0.00568	0.56533	0.00434	1	1.37969	0.41667	0	
89881	610.53668	6396990547	0.34307	0.50770	610.25568	0.28101	1298	1	0.35283	0.49514	1	0.33856	0.50924	1	0.34570	0.50219	1	0.29602	0.54732	20.51813	0.97826	1	0.54448	0.52408	20.48626	0.97826	1	-0.18077	-0.04111	2.38340	0.00456	0	0.01038	-0.00568	0.56533	0.00430	1	1.37969	0.41667	0	
89882	610.54321	6397055711	0.34314	0.50765	610.25568	0.28754	1298	1	0.35339	0.49825	1	0.33935	0.51246	1	0.34637	0.50536	1	0.29591	0.54725	20.39209	0.97318	1	0.54444	0.52414	20.75022	0.97318	1	-0.04281	-0.00956	0.55443	0.00457	1	0.01062	-0.00576	0.57345	0.00427	1	1.37969	0.41667	0	
89883	610.55029	6397126184	0.34315	0.50772	610.25568	0.29462	1298	1	0.35357	0.50495	1	0.33353	0.51715	1	0.34355	0.51105	1	0.29595	0.54734	20.76027	0.96810	1	0.54462	0.52412	20.65250	0.96810	1	-0.04281	-0.00956	0.55443	0.00448	1	0.01062	-0.00576	0.57345	0.00423	1	1.37969	0.41667	0	
89884	610.55664	6397189723	0.34306	0.50770	610.25568	0.30096	1298	1	0.34168	0.49349	1	0.33594	0.51943	1	0.33881	0.50646	1	0.29621	0.54749	21.09280	0.96301	1	0.54478	0.52415	20.41055	0.96301	1	-0.04281	-0.00956	0.55443	0.00445	1	0.01062	-0.00576	0.57345	0.00430	1	1.37969	0.41667	0	
89885	610.56348	6397258225	0.34297	0.50767	610.25568	0.30780	1298	1	0.34168	0.49349	1	0.33594	0.51943	1	0.33881	0.50646	1	0.29641	0.54739	20.99566	0.96301	1	0.54490	0.52416	20.70426	0.96301	1	-0.18060	-0.04123	2.39042	0.00445	0	0.01060	-0.00571	0.56788	0.00424	1	1.37969	0.41667	0	
89886	610.57037	6397327423	0.34308	0.50763	610.25568	0.31470	1298	1	0.34824	0.49631	1	0.34859	0.51487	1	0.34842	0.50559	1	0.29648	0.54732	20.88636	0.96810	1	0.54517	0.52410	20.34000	0.96810	1	-0.18060	-0.04123	2.39042	0.00446	0	0.01060	-0.00571	0.56788	0.00429	1	1.37969	0.41667	0	
89887	610.57715	6397394870	0.34272	0.50752	610.25568	0.32147	1298	1	0.35003	0.48904	1	0.35322	0.51520	1	0.35163	0.50212	1	0.29671	0.54724	20.82544	0.97318	1	0.54522	0.52414	20.41067	0.97318	1	-0.18060	-0.04123	2.39042	0.00457	0	0.01060	-0.00571	0.56788	0.00433	1	1.37969	0.41667	0	
89888	610.58356	6397459140	0.34294	0.50735	610.25568	0.32788	1298	1	0.34945	0.48588	1	0.35250	0.51200	1	0.35098	0.49894	1	0.29659	0.54724	21.04360	0.97826	1	0.54529	0.52420	20.67677	0.97826	1	-0.17951	-0.04107	2.38098	0.00445	0	0.01060	-0.00571	0.56788	0.00438	1	1.37969	0.41667	0	
89889	610.59027	6397526548	0.34318	0.50678	610.25568	0.33459	1298	1	0.36126	0.48050	1	0.34229	0.50248	1	0.35178	0.49149	1	0.29661	0.54727	21.02984	0.97826	1	0.54531	0.52406	20.27053	0.97826	1	-0.17951	-0.04107	2.38098	0.00447	0	0.01060	-0.00571	0.56788	0.00437	1	1.37969	0.41667	0	
89890	610.59680	6397591624	0.34318	0.50630	610.25568	0.34113	1298	1	0.36053	0.48081	1	0.31552	0.49856	1	0.33802	0.48968	1	0.29666	0.54721	21.16870	0.97826	1	0.54536	0.52408	20.27217	0.97826	1	-0.17951	-0.04107	2.38098	0.00449	0	0.01060	-0.00571	0.56788	0.00439	1	1.37969	0.41667	0	
89891	610.60364	6397659800	0.34315	0.50575	610.25568	0.34796	1298	1	0.36053	0.48081	1	0.31552	0.49856	1	0.33802	0.48968	1	0.29676	0.54712	20.85009	0.97826	1	0.54538	0.52406	20.53637	0.97826	1	-0.18006	-0.04128	2.39277	0.00449	0	0.01042	-0.00556	0.55355	0.00436	1	1.37969	0.41667	0	
89892	610.61035	6397727036	0.34307	0.50504	610.25568	0.35468	1298	1	0.35257	0.47554	1	0.32851	0.50374	1	0.34054	0.48964	1	0.29686	0.54709	21.12163	0.97826	1	0.54547	0.52398	20.76323	0.97826	1	-0.18006	-0.04128	2.39277	0.00447	0	0.01042	-0.00556	0.55355	0.00432	1	1.37969	0.41667	0	
89893	610.61682	6397791936	0.34289	0.50411	610.25568	0.36115	1298	1	0.35309	0.46503	1	0.31701	0.48872	1	0.33505	0.47687	1	0.29679	0.54719	21.17388	0.97826	1	0.54547	0.52400	20.72467	0.97826	1	-0.18006	-0.04128	2.39277	0.00450	0	0.01042	-0.00556	0.55355	0.00434	1	1.37969	0.41667	0	
89894	610.62372	6397860616	0.34272	0.50322	610.25568	0.36804	1298	1	0.35309	0.46503	1	0.31701	0.48872	1	0.33505	0.47687	1	0.29684	0.54711	21.22491	0.97826	1	0.54548	0.52388	20.35763	0.97826	1	-0.17881	-0.04082	2.37650	0.00449	0	0.01042	-0.00556	0.55355	0.00436	1	1.37969	0.41667	0	
89895	610.63025	6397926268	0.34277	0.50268	610.25568	0.37457	1298	1	0.34919	0.49472	1	0.34265	0.48398	1	0.34592	0.48935	1	0.29679	0.54713	21.24788	0.97826	1	0.54533	0.52365	20.09634	0.97826	1	-0.17881	-0.04082	2.37650	0.00451	0	0.01042	-0.00556	0.55355	0.00440	1	1.37969	0.41667	0	
89896	610.63690	6397992584	0.34280	0.50213	610.25568	0.38123	1298	1	0.34590	0.49359	1	0.33816	0.48158	1	0.34203	0.48759	1	0.29689	0.54704	21.21748	0.97826	1	0.54541	0.52375	20.52066	0.97826	1	-0.17881	-0.04082	2.37650	0.00450	0	0.01042	-0.00556	0.55355	0.00441	1	1.37969	0.41667	0	
89897	610.64362	6398059565	0.34288	0.50181	610.25568	0.38794	1298	1	0.34650	0.49672	1	0.33973	0.48832	1	0.34312	0.49252	1	0.29696	0.54699	21.19059	0.97318	1	0.54543	0.52376	20.57807	0.96807	1	-0.04243	-0.00948	0.55170	0.00452	1	0.01038	-0.00548	0.55392	0.00442	1	1.37969	0.41667	0	
89898	610.65063	6398130038	0.34290	0.50206	610.25568	0.39496	1298	1	0.34549	0.49474	1	0.34132	0.52287	1	0.34340	0.50880	1	0.29685	0.54676	21.60669	0.96299	1	0.54531	0.52359	20.32327	0.95788	1	-0.04243	-0.00948	0.55170	0.00453	1	0.01038	-0.00548	0.55392	0.00444	1	1.37969	0.41667	0	
89899	610.65729	6398196300	0.34308	0.50236	610.25568	0.40161	1298	1	0.35184	0.49248	1	0.34313	0.53456	1	0.34749	0.51352	1	0.29687	0.54674	21.60608	0.95280	1	0.54526	0.52337	19.94694	0.94769	1	-0.04243	-0.00948	0.55170	0.00453	1	0.01038	-0.00548	0.55392	0.00443	1	1.37969	0.41667	0	
89900	610.66388	6398262441	0.34327	0.50275	610.25568	0.40820	1298	1	0.35302	0.49892	1	0.34393	0.53774	1	0.34847	0.51833	1	0.29687	0.54688	21.62459	0.94261	1	0.54518	0.52324	20.21522	0.94261	1	-0.04243	-0.00935	0.55170	0.00455	1	0.01060	-0.00562	0.56788	0.00439	1	1.37969	0.41667	0	
89901	610.67065	6398330007	0.34367	0.50336	610.25568	0.41498	1298	1	0.36484	0.53715	1	0.35482	0.51900	1	0.35983	0.52807	1	0.29677	0.54645	20.58959	0.94261	1	0.54518	0.52325	20.35870	0.94771	1	-0.04243	-0.00935	0.55170	0.00456	1	0.01060	-0.00562	0.56788	0.00440	1	1.37969	0.41667	0	
89902	610.67719	6398395310	0.34396	0.50418	610.25568	0.42151	1298	1	0.36559	0.51890	1	0.34937	0.54177	1	0.35748	0.53033	1	0.29672	0.54661	20.91567	0.94771	1	0.54510	0.52331	20.58320	0.95282	1	-0.04243	-0.00935	0.55170	0.00458	1	0.01060	-0.00562	0.56788	0.00439	1	1.37969	0.41667	0	
89903	610.68396	6398463331	0.34421	0.50477	610.25568	0.42828	1298	1	0.36454	0.51270	1	0.34784	0.53550	1	0.35619	0.52410	1	0.29662	0.54651	21.27843	0.95791	1	0.54505	0.52332	21.05305	0.96301	1	-0.17951	-0.04036	2.38098	0.00453	0	0.01060	-0.00554	0.56788	0.00440	1	1.37969	0.41667	0	
89904	610.69080	6398531407	0.34455	0.50474	610.25568	0.43512	1298	1	0.35495	0.50633	1	0.34623	0.51017	1	0.35059	0.50825	1	0.29649	0.54646	21.22340	0.96810	1	0.54505	0.52326	21.18366	0.96810	1	-0.17951	-0.04036	2.38098	0.00453	0	0.01060	-0.00554	0.56788	0.00446	1	1.37969	0.41667	0	
89905	610.69727	6398596327	0.34449	0.50416	610.25568	0.44159	1298	1	0.34950	0.48688	1	0.34140	0.51019	1	0.34545	0.49854	1	0.29650	0.54643	21.35214	0.97318	1	0.54491	0.52315	21.44548	0.97318	1	-0.17951	-0.04036	2.38098	0.00453	0	0.01060	-0.00554	0.56788	0.00432	1	1.37969	0.41667	0	
89906	610.70416	6398665462	0.34440	0.50345	610.25568	0.44849	1298	1	0.34892	0.48371	1	0.34062	0.50696	1	0.34477	0.49534	1	0.29645	0.54634	21.08487	0.97826	1	0.54487	0.52306	20.84389	0.97826	1	-0.18042	-0.04048	2.38813	0.00457	0	0.01062	-0.00559	0.57345	0.00444	1	1.37969	0.41667	0	
89907	610.71069	6398730306	0.34436	0.50265	610.25568	0.45502	1298	1	0.34174	0.49113	1	0.33680	0.49634	1	0.33927	0.49374	1	0.29661	0.54632	20.98510	0.97826	1	0.54478	0.52297	20.95692	0.97826	1	-0.18042	-0.04048	2.38813	0.00467	0	0.01062	-0.00559	0.57345	0.00444	1	1.37969	0.41667	0	
89908	610.71753	6398799027	0.34408	0.50174	610.25568	0.46185	1298	1	0.34037	0.48140	1	0.32710	0.47913	1	0.33373	0.48026	1	0.29640	0.54633	21.18369	0.97826	1	0.54477	0.52293	20.96491	0.97826	1	-0.18042	-0.04048	2.38813	0.00471	0	0.01062	-0.00559	0.57345	0.00446	1	1.37969	0.41667	0	
