CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
50350	340.55573	1104242099172	0.52526	1.00503	340.42847	0.12726	796	1	0.53233	1.02180	1	0.52001	1.00449	1	0.52617	1.01314	1	0.32135	0.26336	18.85164	1.00310	1	0.60925	0.26488	19.12127	1.00310	1	-0.04601	0.04833	0.66992	0.00352	1	0.02666	0.04542	0.63484	0.00359	1	0.00000	0.55069	0	
50351	340.56226	1104242164541	0.52509	1.00496	340.42847	0.13379	796	1	0.53750	1.01137	1	0.50602	0.99581	1	0.52176	1.00359	1	0.32118	0.26333	18.81827	1.00310	1	0.60911	0.26486	19.28269	1.00310	1	-0.04601	0.04833	0.66992	0.00355	1	0.02666	0.04542	0.63484	0.00357	1	0.00000	0.55069	0	START_TRIAL
50352	340.56894	1104242231310	0.52494	1.00490	340.42847	0.14047	796	1	0.53750	1.01137	1	0.50602	0.99581	1	0.52176	1.00359	1	0.32095	0.26341	19.11245	1.00310	1	0.60888	0.26491	19.28903	1.00310	1	-0.04456	0.04660	0.64592	0.00351	1	0.02682	0.04603	0.64339	0.00360	1	0.00000	0.55069	0	
50353	340.57590	1104242300879	0.52487	1.00445	340.42847	0.14743	796	1	0.53370	1.00167	1	0.51308	0.98775	1	0.52339	0.99471	1	0.32065	0.26321	19.03790	1.00310	1	0.60844	0.26478	19.35129	1.00310	1	-0.04456	0.04660	0.64592	0.00359	1	0.02682	0.04603	0.64339	0.00357	1	0.00000	0.55069	0	
50354	340.58246	1104242366485	0.52509	1.00434	340.42847	0.15399	796	1	0.54082	1.01652	1	0.51924	0.98707	1	0.53003	1.00180	1	0.32043	0.26329	18.99488	1.00310	1	0.60830	0.26477	19.36830	1.00310	1	-0.04456	0.04660	0.64592	0.00351	1	0.02682	0.04603	0.64339	0.00359	1	0.00000	0.55069	0	
50355	340.58893	1104242431264	0.52528	1.00424	340.42847	0.16046	796	1	0.54082	1.01652	1	0.51924	0.98707	1	0.53003	1.00180	1	0.32017	0.26338	18.96265	1.00310	1	0.60803	0.26477	19.33796	1.00310	1	-0.04474	0.04659	0.64576	0.00352	1	0.02610	0.04512	0.63062	0.00363	1	0.00000	0.55069	0	
50356	340.59564	1104242498297	0.52515	1.00404	340.42847	0.16718	796	1	0.53014	1.01357	1	0.51335	0.98475	1	0.52174	0.99916	1	0.31978	0.26336	19.13122	1.00310	1	0.60764	0.26472	19.33883	1.00310	1	-0.04474	0.04659	0.64576	0.00352	1	0.02610	0.04512	0.63062	0.00361	1	0.00000	0.55069	0	
50357	340.60229	1104242564935	0.52519	1.00397	340.42847	0.17383	796	1	0.54076	1.01132	1	0.51154	0.99293	1	0.52615	1.00213	1	0.31959	0.26334	18.99468	1.00310	1	0.60740	0.26474	19.41515	1.00310	1	-0.04474	0.04659	0.64576	0.00355	1	0.02610	0.04512	0.63062	0.00359	1	0.00000	0.55069	0	
50358	340.60931	1104242635029	0.52522	1.00391	340.42847	0.18085	796	1	0.54076	1.01132	1	0.51154	0.99293	1	0.52615	1.00213	1	0.31938	0.26336	19.14254	1.00310	1	0.60712	0.26471	19.56448	1.00310	1	-0.04465	0.04630	0.64176	0.00356	1	0.02631	0.04582	0.64045	0.00366	1	0.00000	0.55069	0	
50359	340.61569	1104242698972	0.52489	1.00361	340.42847	0.18723	796	1	0.52868	1.00420	1	0.50273	0.98638	1	0.51571	0.99529	1	0.31910	0.26331	19.31031	1.00310	1	0.60676	0.26469	19.52818	1.00310	1	-0.04465	0.04630	0.64176	0.00357	1	0.02631	0.04582	0.64045	0.00360	1	0.00000	0.55069	0	
50360	340.62253	1104242767385	0.52502	1.00328	340.42847	0.19406	796	1	0.54791	1.01047	1	0.50947	0.97700	1	0.52869	0.99374	1	0.31877	0.26339	19.13605	1.00310	1	0.60647	0.26465	19.52156	1.00310	1	-0.04465	0.04630	0.64176	0.00356	1	0.02631	0.04582	0.64045	0.00364	1	0.00000	0.55069	0	
50361	340.62949	1104242836787	0.52514	1.00300	340.42847	0.20102	796	1	0.54791	1.01047	1	0.50946	0.97837	1	0.52869	0.99442	1	0.31847	0.26329	19.42521	1.00310	1	0.60618	0.26455	19.45116	0.99648	1	-0.04501	0.04647	0.64412	0.00357	1	0.02520	0.04450	0.62132	0.00367	1	0.00000	0.55069	0	
