"acc","accuracy","audio_file","average_response_time","avg_rt","background","block_size","canvas_backend","clock_backend","color_backend","condition","correct","correct_experiment_intro","correct_experiment_intro2","correct_new_1_keyboard_response","correct_new_2_keyboard_response","correct_new_2_sketchpad","correct_new_3_keyboard_response","correct_new_3_sketchpad","correct_new_4_keyboard_response","correct_new_4_sketchpad","correct_new_5_keyboard_response","correct_new_5_sketchpad","correct_new_6_keyboard_response","correct_new_7_keyboard_response","correct_new_7_sketchpad","correct_new_8_keyboard_response","correct_new_keyboard_response","correct_new_mouse_response","correct_welcome","count_accuracy_output","count_audio_file_offset","count_audio_file_onset_log","count_definitions","count_experiment","count_experiment_intro","count_experiment_intro2","count_image_delay","count_image_nosub","count_image_sub","count_increment_roundCounter","count_instruction","count_instructions","count_log_instruction","count_new_1_inline_script","count_new_1_keyboard_response","count_new_1_sketchpad","count_new_2_keyboard_response","count_new_2_sketchpad","count_new_3_keyboard_response","count_new_3_sketchpad","count_new_4_keyboard_response","count_new_4_sketchpad","count_new_5_keyboard_response","count_new_5_sketchpad","count_new_6_keyboard_response","count_new_6_sketchpad","count_new_7_keyboard_response","count_new_7_sketchpad","count_new_8_keyboard_response","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_mouse_response","count_new_pygaze_init","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sketchpad","count_sentence_audio","count_subject_onset_log","count_trial_loop","count_trial_sequence","count_welcome","csv_filepath","csv_id","cursor_roi","cursor_x","cursor_y","datetime","delay_image_delay","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","id","image_nosub","image_sub","keyboard_backend","live_row","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","position1","position2","position3","position4","psychopy_screen","repeat_cycle","response","response_experiment_intro","response_experiment_intro2","response_instruction","response_new_1_keyboard_response","response_new_1_sketchpad","response_new_2_keyboard_response","response_new_2_sketchpad","response_new_3_keyboard_response","response_new_3_sketchpad","response_new_4_keyboard_response","response_new_4_sketchpad","response_new_5_keyboard_response","response_new_5_sketchpad","response_new_6_keyboard_response","response_new_6_sketchpad","response_new_7_keyboard_response","response_new_7_sketchpad","response_new_8_keyboard_response","response_new_keyboard_response","response_new_mouse_response","response_time","response_time_experiment_intro","response_time_experiment_intro2","response_time_instruction","response_time_new_1_keyboard_response","response_time_new_1_sketchpad","response_time_new_2_keyboard_response","response_time_new_2_sketchpad","response_time_new_3_keyboard_response","response_time_new_3_sketchpad","response_time_new_4_keyboard_response","response_time_new_4_sketchpad","response_time_new_5_keyboard_response","response_time_new_5_sketchpad","response_time_new_6_keyboard_response","response_time_new_6_sketchpad","response_time_new_7_keyboard_response","response_time_new_7_sketchpad","response_time_new_8_keyboard_response","response_time_new_keyboard_response","response_time_new_mouse_response","response_time_welcome","response_welcome","round","round_decimals","sampler_backend","sentence","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target_position","time_accuracy_output","time_audio_file_offset","time_audio_file_onset_log","time_definitions","time_experiment","time_experiment_intro","time_experiment_intro2","time_image_delay","time_image_nosub","time_image_sub","time_increment_roundCounter","time_instruction","time_instructions","time_log_instruction","time_new_1_inline_script","time_new_1_keyboard_response","time_new_1_sketchpad","time_new_2_keyboard_response","time_new_2_sketchpad","time_new_3_keyboard_response","time_new_3_sketchpad","time_new_4_keyboard_response","time_new_4_sketchpad","time_new_5_keyboard_response","time_new_5_sketchpad","time_new_6_keyboard_response","time_new_6_sketchpad","time_new_7_keyboard_response","time_new_7_sketchpad","time_new_8_keyboard_response","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_mouse_response","time_new_pygaze_init","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sketchpad","time_sentence_audio","time_subject_onset_log","time_trial_loop","time_trial_sequence","time_welcome","timeout","title","total_correct","total_response_time","total_responses","width"
"undefined","undefined","48_n.wav","undefined","undefined","#dadada","256","psycho","psycho","psycho","non-restrictive","undefined","undefined","undefined","NA","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","0","0","0","0","0","0","NA","0","0","0","NA","0","NA","NA","0","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","0","participant_group4.csv","4","NA","NA","NA","Fri Jul 24 14:12:43 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","48","49_pos2_nosub.png","49_pos2_sub.png","psycho","0","0","C:/Users/plcm/Desktop/2026-EyeTracking/group-eyeconic/OS2/final_recordings_upl/group 19-24/subject-19.csv","psycho","Neonatal Nightingale","4.1.14","pouch","balloon","pump","flag","0","0","space","space","space","NA","NA","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","4243.720700003905","2136.416100009228","3274.0562000108184","NA","NA","NA","NA","2338.967399991816","NA","2460.050899986527","NA","2044.3177999986801","NA","2939.409999991767","NA","NA","NA","4243.720700003905","NA","NA","NA","27910.77360000054","c","1","2","psycho","The child will carry the balloon","1024","2","24000","-16","experiment","19","odd","2","358806.7277999944","386375.75809999544","383357.90659999475","378278.01510000427","4934.929800001555","358812.83569999505","360955.21149999695","NA","379328.788800005","383357.8189999971","NA","NA","358806.80410000787","NA","NA","NA","NA","NA","364234.25690000295","NA","366577.203000008","NA","369040.91060000064","NA","371089.78140000545","NA","NA","NA","374033.5546999995","NA","NA","NA","386399.70249999897","NA","32857.288800005335","378495.8370999957","NA","NA","383383.187200001","383329.16720000503","378278.0486999982","378495.17840000044","4944.606999997632","3000","SceneViewing","0","0","0","2560"
"100","100","31_r.wav","1841","1841","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","1","1","0","0","0","0","NA","1","1","1","NA","0","NA","NA","1","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","1","NA","0","1","1","1","1","1","0","1","0","participant_group4.csv","4","NA","NA","NA","Fri Jul 24 14:12:43 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","31","32_pos1_nosub.png","32_pos1_sub.png","psycho","1","1","C:/Users/plcm/Desktop/2026-EyeTracking/group-eyeconic/OS2/final_recordings_upl/group 19-24/subject-19.csv","psycho","Neonatal Nightingale","4.1.14","bottle","lemon","sponge","seed","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1841.0830000066198","2136.416100009228","3274.0562000108184","NA","1841.0830000066198","NA","NA","2338.967399991816","NA","2460.050899986527","NA","2044.3177999986801","NA","2939.409999991767","NA","NA","NA","4243.720700003905","NA","NA","NA","27910.77360000054","c","2","2","psycho","The woman will open the bottle","1024","2","24000","-16","experiment","19","odd","1","358806.7277999944","395285.75110000384","392537.8752999968","378278.01510000427","4934.929800001555","358812.83569999505","360955.21149999695","NA","388513.1603000045","392537.79190000205","388286.2041000044","NA","358806.80410000787","NA","NA","386444.18629999564","NA","NA","364234.25690000295","NA","366577.203000008","NA","369040.91060000064","NA","371089.78140000545","NA","NA","NA","374033.5546999995","NA","NA","NA","395305.0605000026","NA","32857.288800005335","388497.8250999993","386423.36369999975","386444.08650000696","392557.1729000076","392513.8331000053","378278.0486999982","388497.0858000015","4944.606999997632","3000","SceneViewing","1","1841.0830000066198","1","2560"
"100","100","23_r.wav","1593","1593","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","2","2","0","0","0","0","NA","2","2","2","NA","0","NA","NA","2","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","2","NA","0","2","2","2","2","2","0","2","0","participant_group4.csv","4","NA","NA","NA","Fri Jul 24 14:12:43 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","23","24_pos1_nosub.png","24_pos1_sub.png","psycho","2","2","C:/Users/plcm/Desktop/2026-EyeTracking/group-eyeconic/OS2/final_recordings_upl/group 19-24/subject-19.csv","psycho","Neonatal Nightingale","4.1.14","scarf","pencil","needle","card","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1345.095399999991","2136.416100009228","3274.0562000108184","NA","1345.095399999991","NA","NA","2338.967399991816","NA","2460.050899986527","NA","2044.3177999986801","NA","2939.409999991767","NA","NA","NA","4243.720700003905","NA","NA","NA","27910.77360000054","c","3","2","psycho","The girl will knit the scarf","1024","2","24000","-16","experiment","19","odd","1","358806.7277999944","403435.9101000009","400910.1640000008","378278.01510000427","4934.929800001555","358812.83569999505","360955.21149999695","NA","396885.6983000005","400910.10860000097","396669.8374999978","NA","358806.80410000787","NA","NA","395324.09750000807","NA","NA","364234.25690000295","NA","366577.203000008","NA","369040.91060000064","NA","371089.78140000545","NA","NA","NA","374033.5546999995","NA","NA","NA","403455.25389999966","NA","32857.288800005335","396869.4899999973","395313.10709999525","395323.94050000585","400929.55080000684","400886.0505000048","378278.0486999982","396868.8422999985","4944.606999997632","3000","SceneViewing","2","3186.178400006611","2","2560"
"100","100","40_n.wav","1793","1793","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","3","3","0","0","0","0","NA","3","3","3","NA","0","NA","NA","3","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","3","NA","0","3","3","3","3","3","0","3","0","participant_group4.csv","4","NA","NA","NA","Fri Jul 24 14:12:43 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","40","41_pos2_nosub.png","41_pos2_sub.png","psycho","3","3","C:/Users/plcm/Desktop/2026-EyeTracking/group-eyeconic/OS2/final_recordings_upl/group 19-24/subject-19.csv","psycho","Neonatal Nightingale","4.1.14","iron","blouse","pin","toothbrish","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","2193.1860000040615","2136.416100009228","3274.0562000108184","NA","2193.1860000040615","NA","NA","2338.967399991816","NA","2460.050899986527","NA","2044.3177999986801","NA","2939.409999991767","NA","NA","NA","4243.720700003905","NA","NA","NA","27910.77360000054","c","4","2","psycho","The girl will hold the blouse","1024","2","24000","-16","experiment","19","odd","2","358806.7277999944","412565.78509999963","409922.3020000063","378278.01510000427","4934.929800001555","358812.83569999505","360955.21149999695","NA","405898.14950000437","409922.2349000047","405685.87030000344","NA","358806.80410000787","NA","NA","403492.0914999966","NA","NA","364234.25690000295","NA","366577.203000008","NA","369040.91060000064","NA","371089.78140000545","NA","NA","NA","374033.5546999995","NA","NA","NA","412584.703600005","NA","32857.288800005335","405882.3820999969","403481.5557999973","403491.92319999565","409941.36029999936","409898.74620000774","378278.0486999982","405881.9729999959","4944.606999997632","3000","SceneViewing","3","5379.364400010672","3","2560"
"100","100","36_n.wav","1930","1930","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","4","4","0","0","0","0","NA","4","4","4","NA","0","NA","NA","4","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","4","NA","0","4","4","4","4","4","0","4","0","participant_group4.csv","4","NA","NA","NA","Fri Jul 24 14:12:43 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","36","37_pos2_nosub.png","37_pos2_sub.png","psycho","4","4","C:/Users/plcm/Desktop/2026-EyeTracking/group-eyeconic/OS2/final_recordings_upl/group 19-24/subject-19.csv","psycho","Neonatal Nightingale","4.1.14","clips","lego","papers","boxes","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","2341.4291000080993","2136.416100009228","3274.0562000108184","NA","2341.4291000080993","NA","NA","2338.967399991816","NA","2460.050899986527","NA","2044.3177999986801","NA","2939.409999991767","NA","NA","NA","4243.720700003905","NA","NA","NA","27910.77360000054","c","5","2","psycho","The kid will stack the lego","1024","2","24000","-16","experiment","19","odd","2","358806.7277999944","421975.7979999995","419200.7045000064","378278.01510000427","4934.929800001555","358812.83569999505","360955.21149999695","NA","415176.4453000069","419200.63920000393","414957.9484999995","NA","358806.80410000787","NA","NA","412615.8490999951","NA","NA","364234.25690000295","NA","366577.203000008","NA","369040.91060000064","NA","371089.78140000545","NA","NA","NA","374033.5546999995","NA","NA","NA","421995.40200000047","NA","32857.288800005335","415160.07539999555","412605.80249999475","412615.7116999966","419219.95369999786","419176.71549999795","378278.0486999982","415159.5770999993","4944.606999997632","3000","SceneViewing","4","7720.793500018772","4","2560"
"100","100","35_r.wav","1859","1859","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","5","5","0","0","0","0","NA","5","5","5","NA","0","NA","NA","5","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","5","NA","0","5","5","5","5","5","0","5","0","participant_group4.csv","4","NA","NA","NA","Fri Jul 24 14:12:43 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","35","36_pos1_nosub.png","36_pos1_sub.png","psycho","5","5","C:/Users/plcm/Desktop/2026-EyeTracking/group-eyeconic/OS2/final_recordings_upl/group 19-24/subject-19.csv","psycho","Neonatal Nightingale","4.1.14","mascara","brush","mirror","pot","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1578.7494999967748","2136.416100009228","3274.0562000108184","NA","1578.7494999967748","NA","NA","2338.967399991816","NA","2460.050899986527","NA","2044.3177999986801","NA","2939.409999991767","NA","NA","NA","4243.720700003905","NA","NA","NA","27910.77360000054","c","6","2","psycho","The girl will apply the mascara","1024","2","24000","-16","experiment","19","odd","1","358806.7277999944","430895.68359999976","427845.7472000009","378278.01510000427","4934.929800001555","358812.83569999505","360955.21149999695","NA","423820.9779000026","427845.6770000048","423605.96169999917","NA","358806.80410000787","NA","NA","422026.45220000704","NA","NA","364234.25690000295","NA","366577.203000008","NA","369040.91060000064","NA","371089.78140000545","NA","NA","NA","374033.5546999995","NA","NA","NA","430914.88959999697","NA","32857.288800005335","423804.4968000031","422016.0468999966","422026.2517999945","427865.29660000815","427822.03239999944","378278.0486999982","423803.9044000034","4944.606999997632","3000","SceneViewing","5","9299.543000015547","5","2560"
"100","100","33_r.wav","1708","1708","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","6","6","0","0","0","0","NA","6","6","6","NA","0","NA","NA","6","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","6","NA","0","6","6","6","6","6","0","6","0","participant_group4.csv","4","NA","NA","NA","Fri Jul 24 14:12:43 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","33","34_pos3_nosub.png","34_pos3_sub.png","psycho","6","6","C:/Users/plcm/Desktop/2026-EyeTracking/group-eyeconic/OS2/final_recordings_upl/group 19-24/subject-19.csv","psycho","Neonatal Nightingale","4.1.14","box","gift","suitcase","envelope","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","954.0115999989212","2136.416100009228","3274.0562000108184","NA","954.0115999989212","NA","NA","2338.967399991816","NA","2460.050899986527","NA","2044.3177999986801","NA","2939.409999991767","NA","NA","NA","4243.720700003905","NA","NA","NA","27910.77360000054","c","7","2","psycho","The boy will unzip the suitcase","1024","2","24000","-16","experiment","19","odd","3","358806.7277999944","439235.95170000044","436149.7672999976","378278.01510000427","4934.929800001555","358812.83569999505","360955.21149999695","NA","432125.6169999979","436149.717399996","431902.1103999985","NA","358806.80410000787","NA","NA","430947.33599999745","NA","NA","364234.25690000295","NA","366577.203000008","NA","369040.91060000064","NA","371089.78140000545","NA","NA","NA","374033.5546999995","NA","NA","NA","439255.3581999964","NA","32857.288800005335","432109.31499999424","430936.26129999757","430947.1773999976","436168.67329999513","436125.8477999945","378278.0486999982","432108.7711","4944.606999997632","3000","SceneViewing","6","10253.554600014468","6","2560"
"100","100","37_r.wav","1680","1680","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","7","7","0","0","0","0","NA","7","7","7","NA","0","NA","NA","7","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","7","NA","0","7","7","7","7","7","0","7","0","participant_group4.csv","4","NA","NA","NA","Fri Jul 24 14:12:43 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","37","38_pos3_nosub.png","38_pos3_sub.png","psycho","7","7","C:/Users/plcm/Desktop/2026-EyeTracking/group-eyeconic/OS2/final_recordings_upl/group 19-24/subject-19.csv","psycho","Neonatal Nightingale","4.1.14","marker","key","banana","mitten","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1508.4054000035394","2136.416100009228","3274.0562000108184","NA","1508.4054000035394","NA","NA","2338.967399991816","NA","2460.050899986527","NA","2044.3177999986801","NA","2939.409999991767","NA","NA","NA","4243.720700003905","NA","NA","NA","27910.77360000054","c","8","2","psycho","The boy will peel the banana","1024","2","24000","-16","experiment","19","odd","3","358806.7277999944","447785.7614999957","445021.09429999837","378278.01510000427","4934.929800001555","358812.83569999505","360955.21149999695","NA","440997.22030000703","445021.02820000437","440782.22399999504","NA","358806.80410000787","NA","NA","439272.93089999876","NA","NA","364234.25690000295","NA","366577.203000008","NA","369040.91060000064","NA","371089.78140000545","NA","NA","NA","374033.5546999995","NA","NA","NA","447805.1462000003","NA","32857.288800005335","440980.6061999989","439262.7424999955","439272.83090000856","445040.5909999972","444997.44780000765","378278.0486999982","440979.93600000336","4944.606999997632","3000","SceneViewing","7","11761.960000018007","7","2560"
"100","100","44_n.wav","1594","1594","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","8","8","0","0","0","0","NA","8","8","8","NA","0","NA","NA","8","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","8","NA","0","8","8","8","8","8","0","8","0","participant_group4.csv","4","NA","NA","NA","Fri Jul 24 14:12:43 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","44","45_pos2_nosub.png","45_pos2_sub.png","psycho","8","8","C:/Users/plcm/Desktop/2026-EyeTracking/group-eyeconic/OS2/final_recordings_upl/group 19-24/subject-19.csv","psycho","Neonatal Nightingale","4.1.14","hammer","dough","glass","ladle","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","994.148599987966","2136.416100009228","3274.0562000108184","NA","994.148599987966","NA","NA","2338.967399991816","NA","2460.050899986527","NA","2044.3177999986801","NA","2939.409999991767","NA","NA","NA","4243.720700003905","NA","NA","NA","27910.77360000054","c","9","2","psycho","The baker will inspect the dough","1024","2","24000","-16","experiment","19","odd","2","358806.7277999944","455965.9584000037","453065.71399999666","378278.01510000427","4934.929800001555","358812.83569999505","360955.21149999695","NA","449042.43770000176","453065.6516000017","448829.954300003","NA","358806.80410000787","NA","NA","447835.2179000067","NA","NA","364234.25690000295","NA","366577.203000008","NA","369040.91060000064","NA","371089.78140000545","NA","NA","NA","374033.5546999995","NA","NA","NA","455985.60230000294","NA","32857.288800005335","449024.72339999804","447824.79529999546","447835.0230000069","453085.23660000355","453042.6704999991","378278.0486999982","449024.1851000028","4944.606999997632","3000","SceneViewing","8","12756.108600005973","8","2560"
"100","100","5_r.wav","1595","1595","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","9","9","0","0","0","0","NA","9","9","9","NA","0","NA","NA","9","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","9","NA","0","9","9","9","9","9","0","9","0","participant_group4.csv","4","NA","NA","NA","Fri Jul 24 14:12:43 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","5","6_pos3_nosub.png","6_pos3_sub.png","psycho","9","9","C:/Users/plcm/Desktop/2026-EyeTracking/group-eyeconic/OS2/final_recordings_upl/group 19-24/subject-19.csv","psycho","Neonatal Nightingale","4.1.14","cactus","moon","mountain","animal","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1605.941800007713","2136.416100009228","3274.0562000108184","NA","1605.941800007713","NA","NA","2338.967399991816","NA","2460.050899986527","NA","2044.3177999986801","NA","2939.409999991767","NA","NA","NA","4243.720700003905","NA","NA","NA","27910.77360000054","c","10","2","psycho","The hiker will climb the mountain","1024","2","24000","-16","experiment","19","odd","3","358806.7277999944","464645.74330000323","461851.4983000059","378278.01510000427","4934.929800001555","358812.83569999505","360955.21149999695","NA","457825.5719000008","461851.4487000066","457613.95769999945","NA","358806.80410000787","NA","NA","456007.2603000008","NA","NA","364234.25690000295","NA","366577.203000008","NA","369040.91060000064","NA","371089.78140000545","NA","NA","NA","374033.5546999995","NA","NA","NA","464664.7152000078","NA","32857.288800005335","457810.3325999982","455996.8710999965","456007.04229999974","461870.41590000445","461826.20029999816","378278.0486999982","457809.8275999946","4944.606999997632","3000","SceneViewing","9","14362.050400013686","9","2560"
