CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
1057928	7094.00293	9458269704399	0.32050	0.54012	7093.88232	0.12061	11721	1	0.30514	0.51261	1	0.30851	0.55386	1	0.30683	0.53323	1	0.50237	0.50220	21.37480	1.03547	1	0.77396	0.49860	21.85517	1.04246	1	0.00148	-0.00237	0.65930	0.00399	1	0.06811	-0.00159	0.64333	0.00411	1	0.12109	0.54028	0	0
1057929	7094.00977	9458269771805	0.31971	0.53915	7093.88232	0.12744	11721	1	0.30211	0.50050	1	0.30724	0.54122	1	0.30468	0.52086	1	0.50231	0.50220	21.25622	1.04937	1	0.77388	0.49864	21.91495	1.05636	1	0.00136	-0.00238	0.64626	0.00401	1	0.06811	-0.00159	0.64333	0.00416	1	0.12109	0.54028	0	
1057930	7094.01611	9458269838340	0.31918	0.53867	7093.88232	0.13379	11721	1	0.29360	0.50080	1	0.32365	0.55710	1	0.30862	0.52895	1	0.50222	0.50231	21.07546	1.05636	1	0.77382	0.49876	22.08934	1.05636	1	0.00136	-0.00238	0.64626	0.00402	1	0.06811	-0.00159	0.64333	0.00414	1	0.12109	0.54028	0	
1057931	7094.02246	9458269901005	0.31874	0.53842	7093.88232	0.14014	11721	1	0.29269	0.50282	1	0.32642	0.56352	1	0.30955	0.53317	1	0.50223	0.50233	21.04606	1.05636	1	0.77377	0.49876	22.12081	1.05636	1	0.00136	-0.00238	0.64626	0.00398	1	0.06811	-0.00159	0.64333	0.00415	1	0.12109	0.54028	0	
1057932	7094.02930	9458269970492	0.31835	0.53833	7093.88232	0.14697	11721	1	0.29269	0.50282	1	0.32696	0.56973	1	0.30982	0.53628	1	0.50220	0.50234	21.14219	1.05636	1	0.77373	0.49872	22.03479	1.04937	1	0.00135	-0.00240	0.64115	0.00399	1	0.06500	-0.00152	0.61444	0.00413	1	0.12109	0.54028	0	
1057933	7094.03613	9458270036482	0.31766	0.53818	7093.88232	0.15381	11721	1	0.28499	0.50260	1	0.31839	0.56705	1	0.30169	0.53483	1	0.50230	0.50234	20.96660	1.04937	1	0.77369	0.49878	22.04163	1.04238	1	0.00135	-0.00240	0.64115	0.00404	1	0.06500	-0.00152	0.61444	0.00412	1	0.12109	0.54028	0	START_TRIAL
1057934	7094.04297	9458270104387	0.31695	0.53811	7093.88232	0.16064	11721	1	0.28446	0.50384	1	0.31535	0.56896	1	0.29990	0.53640	1	0.50227	0.50235	21.11444	1.04238	1	0.77366	0.49874	21.77258	1.03539	1	0.00135	-0.00240	0.64115	0.00405	1	0.06500	-0.00152	0.61444	0.00413	1	0.12109	0.54028	0	
1057935	7094.04980	9458270172793	0.31638	0.53852	7093.88232	0.16748	11721	1	0.28771	0.51598	1	0.31657	0.58149	1	0.30214	0.54873	1	0.50227	0.50231	20.81356	1.02848	1	0.77362	0.49869	21.71670	1.02149	1	0.00127	-0.00226	0.62767	0.00409	1	0.06514	-0.00153	0.61661	0.00413	1	0.12109	0.54028	0	
1057936	7094.05615	9458270235392	0.31603	0.53891	7093.88232	0.17383	11721	1	0.27972	0.51941	1	0.33418	0.57884	1	0.30695	0.54913	1	0.50206	0.50232	21.18394	1.01459	1	0.77360	0.49857	21.88136	1.01459	1	0.00127	-0.00226	0.62767	0.00403	1	0.06514	-0.00153	0.61661	0.00412	1	0.12109	0.54028	0	
1057937	7094.06299	9458270307090	0.31667	0.53952	7093.88232	0.18066	11721	1	0.33348	0.53600	1	0.33465	0.57569	1	0.33406	0.55585	1	0.50208	0.50231	21.21154	1.00769	1	0.77346	0.49865	21.97668	1.00769	1	0.00127	-0.00226	0.62767	0.00404	1	0.06514	-0.00153	0.61661	0.00413	1	0.12109	0.54028	0	
