"acc","accuracy","audio_file","average_response_time","avg_rt","background","block_size","canvas_backend","clock_backend","color_backend","condition","correct","correct_experiment_intro","correct_experiment_intro2","correct_new_1_keyboard_response","correct_new_2_keyboard_response","correct_new_2_sketchpad","correct_new_3_keyboard_response","correct_new_3_sketchpad","correct_new_4_keyboard_response","correct_new_4_sketchpad","correct_new_5_keyboard_response","correct_new_5_sketchpad","correct_new_6_keyboard_response","correct_new_6_sketchpad","correct_new_7_keyboard_response","correct_new_7_sketchpad","correct_new_8_keyboard_response","correct_new_keyboard_response","correct_new_mouse_response","correct_welcome","count_definitions","count_experiment","count_experiment_intro","count_experiment_intro2","count_image_delay","count_image_nosub","count_image_sub","count_increment_roundCounter","count_instruction","count_instructions","count_log_instruction","count_new_1_inline_script","count_new_1_keyboard_response","count_new_1_pygaze_log","count_new_1_sketchpad","count_new_2_keyboard_response","count_new_2_pygaze_log","count_new_2_sketchpad","count_new_3_keyboard_response","count_new_3_sketchpad","count_new_4_keyboard_response","count_new_4_sketchpad","count_new_5_keyboard_response","count_new_5_sketchpad","count_new_6_keyboard_response","count_new_6_sketchpad","count_new_7_keyboard_response","count_new_7_sketchpad","count_new_8_keyboard_response","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_mouse_response","count_new_pygaze_init","count_new_pygaze_log","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sketchpad","count_sentence_audio","count_trial_loop","count_trial_sequence","count_welcome","csv_filepath","csv_id","cursor_roi","cursor_x","cursor_y","datetime","delay_image_delay","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","id","image_nosub","image_sub","keyboard_backend","live_row","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","psychopy_screen","repeat_cycle","response","response_experiment_intro","response_experiment_intro2","response_instruction","response_new_1_keyboard_response","response_new_1_sketchpad","response_new_2_keyboard_response","response_new_2_sketchpad","response_new_3_keyboard_response","response_new_3_sketchpad","response_new_4_keyboard_response","response_new_4_sketchpad","response_new_5_keyboard_response","response_new_5_sketchpad","response_new_6_keyboard_response","response_new_6_sketchpad","response_new_7_keyboard_response","response_new_7_sketchpad","response_new_8_keyboard_response","response_new_keyboard_response","response_new_mouse_response","response_time","response_time_experiment_intro","response_time_experiment_intro2","response_time_instruction","response_time_new_1_keyboard_response","response_time_new_1_sketchpad","response_time_new_2_keyboard_response","response_time_new_2_sketchpad","response_time_new_3_keyboard_response","response_time_new_3_sketchpad","response_time_new_4_keyboard_response","response_time_new_4_sketchpad","response_time_new_5_keyboard_response","response_time_new_5_sketchpad","response_time_new_6_keyboard_response","response_time_new_6_sketchpad","response_time_new_7_keyboard_response","response_time_new_7_sketchpad","response_time_new_8_keyboard_response","response_time_new_keyboard_response","response_time_new_mouse_response","response_time_welcome","response_welcome","round","round_decimals","sampler_backend","sentence","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target_position","time_definitions","time_experiment","time_experiment_intro","time_experiment_intro2","time_image_delay","time_image_nosub","time_image_sub","time_increment_roundCounter","time_instruction","time_instructions","time_log_instruction","time_new_1_inline_script","time_new_1_keyboard_response","time_new_1_pygaze_log","time_new_1_sketchpad","time_new_2_keyboard_response","time_new_2_pygaze_log","time_new_2_sketchpad","time_new_3_keyboard_response","time_new_3_sketchpad","time_new_4_keyboard_response","time_new_4_sketchpad","time_new_5_keyboard_response","time_new_5_sketchpad","time_new_6_keyboard_response","time_new_6_sketchpad","time_new_7_keyboard_response","time_new_7_sketchpad","time_new_8_keyboard_response","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_mouse_response","time_new_pygaze_init","time_new_pygaze_log","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sketchpad","time_sentence_audio","time_trial_loop","time_trial_sequence","time_welcome","timeout","title","total_correct","total_response_time","total_responses","width"
"undefined","undefined","48_n.wav","undefined","undefined","black","256","psycho","psycho","psycho","non-restrictive","undefined","undefined","undefined","NA","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","NA","undefined","0","0","0","0","NA","0","0","0","NA","0","NA","NA","0","0","0","NA","0","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","0","participant_group2.csv","2","NA","NA","NA","Sun Jun 21 14:46:05 2026","NA","The main experiment item","False","VWP_trial_21_06-26.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2","False","mono","False","18","no","white","no","yes","1080","48","49_pos2_nosub.png","49_pos2_sub.png","psycho","0","0","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\subject-5.csv","psycho","Neonatal Nightingale","4.1.14","0","0","space","space","space","NA","NA","NA","NA","space","NA","space","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","5627.877799910493","17129.59360005334","6626.324199954979","NA","NA","NA","NA","5555.089200031944","NA","4212.044200045057","NA","5865.076999994926","NA","6011.813999968581","NA","10356.004000059329","NA","5627.877799910493","NA","NA","NA","27641.54940005392","space","1","2","psycho","The child will inlatecarry the balloon","1024","2","24000","-16","experiment","5","odd","2","154867.85349994898","5056.645400007255","93449.77099995594","110584.97690001968","NA","155144.9622999644","159175.21789995953","NA","NA","93444.69110004138","NA","NA","NA","162750.07339997683","NA","NA","159175.28820002917","117216.36139997281","NA","122775.270299986","NA","126994.28850004915","NA","132863.49050002173","NA","138879.35499998275","NA","149239.42540003918","NA","NA","NA","162775.31069994438","NA","32708.51260004565","159145.7320000045","155115.25320005603","NA","NA","159199.68379999045","154867.88689997047","155114.73290005233","5065.9204999683425","3000","SceneViewing","0","0","0","1920"
"100","100","37_n.wav","6441","6441","black","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","NA","undefined","0","0","0","0","NA","1","1","1","NA","0","NA","NA","1","1","0","NA","1","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","1","NA","0","1","1","1","1","1","0","1","0","participant_group2.csv","2","NA","NA","NA","Sun Jun 21 14:46:05 2026","NA","The main experiment item","False","VWP_trial_21_06-26.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2","False","mono","False","18","no","white","no","yes","1080","37","38_pos3_nosub.png","38_pos3_sub.png","psycho","1","1","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\subject-5.csv","psycho","Neonatal Nightingale","4.1.14","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","6441.36390008498","17129.59360005334","6626.324199954979","NA","6441.36390008498","NA","NA","5555.089200031944","NA","4212.044200045057","NA","5865.076999994926","NA","6011.813999968581","NA","10356.004000059329","NA","5627.877799910493","NA","NA","NA","27641.54940005392","space","2","2","psycho","The boy will move the banana","1024","2","24000","-16","experiment","5","odd","3","154867.85349994898","5056.645400007255","93449.77099995594","110584.97690001968","NA","169496.0957999574","173519.66690004338","169252.0864000544","NA","93444.69110004138","NA","NA","162810.0774999475","176410.22940003313","NA","NA","173519.73439997528","117216.36139997281","NA","122775.270299986","NA","126994.28850004915","NA","132863.49050002173","NA","138879.35499998275","NA","149239.42540003918","NA","NA","NA","176429.65910001658","NA","32708.51260004565","173496.5441999957","169482.36609995365","162781.85859997757","162809.86250005662","173538.5890000034","154867.88689997047","169481.8166999612","5065.9204999683425","3000","SceneViewing","1","6441.36390008498","1","1920"
"100","100","24_r.wav","5603","5603","black","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","NA","undefined","0","0","0","0","NA","2","2","2","NA","0","NA","NA","2","2","0","NA","2","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","2","NA","0","2","2","2","2","2","0","2","0","participant_group2.csv","2","NA","NA","NA","Sun Jun 21 14:46:05 2026","NA","The main experiment item","False","VWP_trial_21_06-26.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2","False","mono","False","18","no","white","no","yes","1080","24","25_pos2_nosub.png","25_pos2_sub.png","psycho","2","2","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\subject-5.csv","psycho","Neonatal Nightingale","4.1.14","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","4766.543000005186","17129.59360005334","6626.324199954979","NA","4766.543000005186","NA","NA","5555.089200031944","NA","4212.044200045057","NA","5865.076999994926","NA","6011.813999968581","NA","10356.004000059329","NA","5627.877799910493","NA","NA","NA","27641.54940005392","space","3","2","psycho","The girl will groom the rabbit","1024","2","24000","-16","experiment","5","odd","2","154867.85349994898","5056.645400007255","93449.77099995594","110584.97690001968","NA","181456.99650002643","185479.94600003585","181228.0952000292","NA","93444.69110004138","NA","NA","176460.81139997113","188480.020100018","NA","NA","185479.99569994863","117216.36139997281","NA","122775.270299986","NA","126994.28850004915","NA","132863.49050002173","NA","138879.35499998275","NA","149239.42540003918","NA","NA","NA","188500.27209997643","NA","32708.51260004565","185457.64419995248","181443.63600004","176450.48720005434","176460.7030999614","185499.73569996655","154867.88689997047","181443.04130005185","5065.9204999683425","3000","SceneViewing","2","11207.906900090165","2","1920"
"100","100","16_r.wav","4541","4541","black","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","NA","undefined","0","0","0","0","NA","3","3","3","NA","0","NA","NA","3","3","0","NA","3","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","3","NA","0","3","3","3","3","3","0","3","0","participant_group2.csv","2","NA","NA","NA","Sun Jun 21 14:46:05 2026","NA","The main experiment item","False","VWP_trial_21_06-26.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2","False","mono","False","18","no","white","no","yes","1080","16","17_pos2_nosub.png","17_pos2_sub.png","psycho","3","3","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\subject-5.csv","psycho","Neonatal Nightingale","4.1.14","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","2415.592100005597","17129.59360005334","6626.324199954979","NA","2415.592100005597","NA","NA","5555.089200031944","NA","4212.044200045057","NA","5865.076999994926","NA","6011.813999968581","NA","10356.004000059329","NA","5627.877799910493","NA","NA","NA","27641.54940005392","space","4","2","psycho","The woman will wear the dress","1024","2","24000","-16","experiment","5","odd","2","154867.85349994898","5056.645400007255","93449.77099995594","110584.97690001968","NA","191161.71310003847","195184.9874999607","190932.17659997754","NA","93444.69110004138","NA","NA","188515.77459997497","198149.9736000551","NA","NA","195185.057100025","117216.36139997281","NA","122775.270299986","NA","126994.28850004915","NA","132863.49050002173","NA","138879.35499998275","NA","149239.42540003918","NA","NA","NA","198169.60819996893","NA","32708.51260004565","195161.8631000165","191148.60059996136","188506.86490000226","188515.678799944","195203.9516000077","154867.88689997047","191147.98719994724","5065.9204999683425","3000","SceneViewing","3","13623.499000095762","3","1920"
"100","100","27_n.wav","4287","4287","black","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","NA","undefined","0","0","0","0","NA","4","4","4","NA","0","NA","NA","4","4","0","NA","4","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","4","NA","0","4","4","4","4","4","0","4","0","participant_group2.csv","2","NA","NA","NA","Sun Jun 21 14:46:05 2026","NA","The main experiment item","False","VWP_trial_21_06-26.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2","False","mono","False","18","no","white","no","yes","1080","27","28_pos1_nosub.png","28_pos1_sub.png","psycho","4","4","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\subject-5.csv","psycho","Neonatal Nightingale","4.1.14","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","3524.7905999422073","17129.59360005334","6626.324199954979","NA","3524.7905999422073","NA","NA","5555.089200031944","NA","4212.044200045057","NA","5865.076999994926","NA","6011.813999968581","NA","10356.004000059329","NA","5627.877799910493","NA","NA","NA","27641.54940005392","space","5","2","psycho","The boy will touch the lamp","1024","2","24000","-16","experiment","5","odd","1","154867.85349994898","5056.645400007255","93449.77099995594","110584.97690001968","NA","201975.8916000137","206001.62150000688","201723.900699988","NA","93444.69110004138","NA","NA","198198.47790000495","208730.14779994264","NA","NA","206001.73569994513","117216.36139997281","NA","122775.270299986","NA","126994.28850004915","NA","132863.49050002173","NA","138879.35499998275","NA","149239.42540003918","NA","NA","NA","208749.2610999616","NA","32708.51260004565","205976.15839994978","201962.61619997676","198188.87950002681","198198.37760005612","206021.46960003302","154867.88689997047","201961.76450001076","5065.9204999683425","3000","SceneViewing","4","17148.28960003797","4","1920"
"100","100","2_r.wav","4258","4258","black","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","NA","undefined","0","0","0","0","NA","5","5","5","NA","0","NA","NA","5","5","0","NA","5","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","5","NA","0","5","5","5","5","5","0","5","0","participant_group2.csv","2","NA","NA","NA","Sun Jun 21 14:46:05 2026","NA","The main experiment item","False","VWP_trial_21_06-26.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2","False","mono","False","18","no","white","no","yes","1080","2","3_pos4_nosub.png","3_pos4_sub.png","psycho","5","5","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\subject-5.csv","psycho","Neonatal Nightingale","4.1.14","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","4145.205400069244","17129.59360005334","6626.324199954979","NA","4145.205400069244","NA","NA","5555.089200031944","NA","4212.044200045057","NA","5865.076999994926","NA","6011.813999968581","NA","10356.004000059329","NA","5627.877799910493","NA","NA","NA","27641.54940005392","space","6","2","psycho","The policeman will arrest the man","1024","2","24000","-16","experiment","5","odd","4","154867.85349994898","5056.645400007255","93449.77099995594","110584.97690001968","NA","213131.2992000021","217154.07110005617","212916.0173999844","NA","93444.69110004138","NA","NA","208770.1156999683","220420.15829996672","NA","NA","217154.12059996743","117216.36139997281","NA","122775.270299986","NA","126994.28850004915","NA","132863.49050002173","NA","138879.35499998275","NA","149239.42540003918","NA","NA","NA","220439.0943000326","NA","32708.51260004565","217131.91440002993","213114.96539996006","208760.40399994235","208770.0214999495","217173.24659996666","154867.88689997047","213114.37920003664","5065.9204999683425","3000","SceneViewing","5","21293.495000107214","5","1920"
"100","100","41_n.wav","4063","4063","black","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","NA","undefined","0","0","0","0","NA","6","6","6","NA","0","NA","NA","6","6","0","NA","6","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","6","NA","0","6","6","6","6","6","0","6","0","participant_group2.csv","2","NA","NA","NA","Sun Jun 21 14:46:05 2026","NA","The main experiment item","False","VWP_trial_21_06-26.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2","False","mono","False","18","no","white","no","yes","1080","41","42_pos3_nosub.png","42_pos3_sub.png","psycho","6","6","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\subject-5.csv","psycho","Neonatal Nightingale","4.1.14","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","3086.453599971719","17129.59360005334","6626.324199954979","NA","3086.453599971719","NA","NA","5555.089200031944","NA","4212.044200045057","NA","5865.076999994926","NA","6011.813999968581","NA","10356.004000059329","NA","5627.877799910493","NA","NA","NA","27641.54940005392","space","7","2","psycho","The boy will move the orange","1024","2","24000","-16","experiment","5","odd","3","154867.85349994898","5056.645400007255","93449.77099995594","110584.97690001968","NA","223812.7450000029","227835.94619994983","223556.06530001387","NA","93444.69110004138","NA","NA","220468.90530001838","230720.34200001508","NA","NA","227836.0419999808","117216.36139997281","NA","122775.270299986","NA","126994.28850004915","NA","132863.49050002173","NA","138879.35499998275","NA","149239.42540003918","NA","NA","NA","230740.03320001066","NA","32708.51260004565","227812.88380001206","223796.9331999775","220459.44120001514","220468.79519999493","227855.36279994994","154867.88689997047","223796.24179995153","5065.9204999683425","3000","SceneViewing","6","24379.948600078933","6","1920"
"100","100","43_n.wav","4014","4014","black","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","NA","undefined","0","0","0","0","NA","7","7","7","NA","0","NA","NA","7","7","0","NA","7","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","7","NA","0","7","7","7","7","7","0","7","0","participant_group2.csv","2","NA","NA","NA","Sun Jun 21 14:46:05 2026","NA","The main experiment item","False","VWP_trial_21_06-26.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2","False","mono","False","18","no","white","no","yes","1080","43","44_pos1_nosub.png","44_pos1_sub.png","psycho","7","7","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\subject-5.csv","psycho","Neonatal Nightingale","4.1.14","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","3719.0623000497","17129.59360005334","6626.324199954979","NA","3719.0623000497","NA","NA","5555.089200031944","NA","4212.044200045057","NA","5865.076999994926","NA","6011.813999968581","NA","10356.004000059329","NA","5627.877799910493","NA","NA","NA","27641.54940005392","space","8","2","psycho","The man will wipe the safe","1024","2","24000","-16","experiment","5","odd","1","154867.85349994898","5056.645400007255","93449.77099995594","110584.97690001968","NA","234715.0333999889","238738.46360004973","234476.01410001516","NA","93444.69110004138","NA","NA","230756.2789999647","241450.41080005467","NA","NA","238738.52090002038","117216.36139997281","NA","122775.270299986","NA","126994.28850004915","NA","132863.49050002173","NA","138879.35499998275","NA","149239.42540003918","NA","NA","NA","241469.83189997263","NA","32708.51260004565","238715.65599995665","234700.17850003205","230746.48620001972","230756.1845999444","238757.56679999176","154867.88689997047","234699.4549999945","5065.9204999683425","3000","SceneViewing","7","28099.010900128633","7","1920"
"100","100","20_r.wav","3889","3889","black","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","NA","undefined","0","0","0","0","NA","8","8","8","NA","0","NA","NA","8","8","0","NA","8","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","8","NA","0","8","8","8","8","8","0","8","0","participant_group2.csv","2","NA","NA","NA","Sun Jun 21 14:46:05 2026","NA","The main experiment item","False","VWP_trial_21_06-26.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2","False","mono","False","18","no","white","no","yes","1080","20","21_pos2_nosub.png","21_pos2_sub.png","psycho","8","8","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\subject-5.csv","psycho","Neonatal Nightingale","4.1.14","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","3016.2695000180975","17129.59360005334","6626.324199954979","NA","3016.2695000180975","NA","NA","5555.089200031944","NA","4212.044200045057","NA","5865.076999994926","NA","6011.813999968581","NA","10356.004000059329","NA","5627.877799910493","NA","NA","NA","27641.54940005392","space","9","2","psycho","The baby will hug the kitten","1024","2","24000","-16","experiment","5","odd","2","154867.85349994898","5056.645400007255","93449.77099995594","110584.97690001968","NA","244759.63220000267","248783.54239999317","244516.04030001909","NA","93444.69110004138","NA","NA","241498.98769997526","251840.12690000236","NA","NA","248783.60109997448","117216.36139997281","NA","122775.270299986","NA","126994.28850004915","NA","132863.49050002173","NA","138879.35499998275","NA","149239.42540003918","NA","NA","NA","251859.78339996655","NA","32708.51260004565","248760.33990003634","244745.93189998996","241489.17870002333","241498.8893000409","248803.3987999661","154867.88689997047","244745.43649994303","5065.9204999683425","3000","SceneViewing","8","31115.28040014673","8","1920"
"100","100","4_r.wav","3907","3907","black","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","NA","undefined","0","0","0","0","NA","9","9","9","NA","0","NA","NA","9","9","0","NA","9","0","NA","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","9","NA","0","9","9","9","9","9","0","9","0","participant_group2.csv","2","NA","NA","NA","Sun Jun 21 14:46:05 2026","NA","The main experiment item","False","VWP_trial_21_06-26.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2","False","mono","False","18","no","white","no","yes","1080","4","5_pos2_nosub.png","5_pos2_sub.png","psycho","9","9","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\subject-5.csv","psycho","Neonatal Nightingale","4.1.14","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","4048.8781000021845","17129.59360005334","6626.324199954979","NA","4048.8781000021845","NA","NA","5555.089200031944","NA","4212.044200045057","NA","5865.076999994926","NA","6011.813999968581","NA","10356.004000059329","NA","5627.877799910493","NA","NA","NA","27641.54940005392","space","10","2","psycho","The boy will bounce the ball","1024","2","24000","-16","experiment","5","odd","2","154867.85349994898","5056.645400007255","93449.77099995594","110584.97690001968","NA","256168.4523000149","260191.56369997654","255940.1196000399","NA","93444.69110004138","NA","NA","251890.41919994634","263039.9240000406","NA","NA","260191.62599998526","117216.36139997281","NA","122775.270299986","NA","126994.28850004915","NA","132863.49050002173","NA","138879.35499998275","NA","149239.42540003918","NA","NA","NA","263059.16970002","NA","32708.51260004565","260168.63269999158","256154.24479998183","251880.1959999837","251890.31899999827","260211.68750000652","154867.88689997047","256153.56040000916","5065.9204999683425","3000","SceneViewing","9","35164.158500148915","9","1920"
