CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
102073	685.56415	9394185317685	0.47888	0.42369	685.41003	0.15411	2014	1	0.48209	0.42525	1	0.49044	0.42716	1	0.48626	0.42620	1	0.38036	0.56708	21.65871	0.99502	1	0.63846	0.57116	20.41747	0.99502	1	-0.02993	-0.01549	0.65757	0.00422	1	0.03385	-0.01579	0.63589	0.00396	1	1.56055	0.67569	0	
102074	685.57068	9394185382662	0.47865	0.42448	685.41003	0.16064	2014	1	0.47762	0.41954	1	0.46859	0.46723	1	0.47311	0.44338	1	0.38064	0.56723	21.20817	1.00223	1	0.63862	0.57134	20.30162	1.00223	1	-0.02993	-0.01549	0.65757	0.00426	1	0.03385	-0.01579	0.63589	0.00397	1	1.56055	0.67569	0	START_TRIAL
102075	685.57751	9394185451228	0.47853	0.42431	685.41003	0.16748	2014	1	0.49666	0.40035	1	0.45447	0.43973	1	0.47556	0.42004	1	0.38086	0.56749	21.12689	1.00945	1	0.63869	0.57155	20.31782	1.00945	1	-0.02993	-0.01549	0.65757	0.00425	1	0.03385	-0.01579	0.63589	0.00396	1	1.56055	0.67569	0	
102076	685.58447	9394185520825	0.47840	0.42363	685.41003	0.17444	2014	1	0.49602	0.39320	1	0.45384	0.41844	1	0.47493	0.40582	1	0.38098	0.56777	21.15898	1.01667	1	0.63877	0.57182	20.19176	1.03219	1	-0.02997	-0.01581	0.66292	0.00426	1	0.03536	-0.01664	0.66230	0.00396	1	1.56055	0.67569	0	
102077	685.59119	9394185587625	0.47879	0.42348	685.41003	0.18115	2014	1	0.49111	0.39724	1	0.48749	0.44167	1	0.48930	0.41945	1	0.38146	0.56834	21.27542	1.03219	1	0.63904	0.57251	20.35391	1.04772	1	-0.02997	-0.01581	0.66292	0.00428	1	0.03536	-0.01664	0.66230	0.00395	1	1.56055	0.67569	0	
102078	685.59760	9394185652050	0.47824	0.42221	685.41003	0.18756	2014	1	0.48464	0.37773	1	0.44118	0.39581	1	0.46291	0.38677	1	0.38180	0.56866	21.28499	1.04772	1	0.63926	0.57256	20.27063	1.06325	1	-0.02997	-0.01581	0.66292	0.00430	1	0.03536	-0.01664	0.66230	0.00399	1	1.56055	0.67569	0	
102079	685.60431	9394185719175	0.47772	0.42101	685.41003	0.19427	2014	1	0.48386	0.36963	1	0.44144	0.40251	1	0.46265	0.38607	1	0.38207	0.56894	21.20852	1.05603	1	0.63948	0.57343	20.42083	1.05603	1	-0.02895	-0.01564	0.64572	0.00429	1	0.03434	-0.01641	0.63967	0.00397	1	1.56055	0.67569	0	
102080	685.61078	9394185784039	0.47775	0.42013	685.41003	0.20074	2014	1	0.45784	0.37245	1	0.49967	0.41512	1	0.47875	0.39379	1	0.38278	0.56934	21.12282	1.04882	1	0.63988	0.57398	20.44184	1.03329	1	-0.02895	-0.01564	0.64572	0.00422	1	0.03434	-0.01641	0.63967	0.00408	1	1.56055	0.67569	0	
102081	685.61768	9394185853001	0.47756	0.42026	685.41003	0.20764	2014	1	0.47573	0.38713	1	0.46726	0.46131	1	0.47150	0.42422	1	0.38314	0.56984	21.20879	1.02607	1	0.64021	0.57436	20.19710	1.01054	1	-0.02895	-0.01564	0.64572	0.00419	1	0.03434	-0.01641	0.63967	0.00402	1	1.56055	0.67569	0	
102082	685.62421	9394185918292	0.47742	0.42103	685.41003	0.21417	2014	1	0.47806	0.40954	1	0.46767	0.48212	1	0.47286	0.44583	1	0.38356	0.57020	21.18521	1.00333	1	0.64058	0.57492	20.18261	0.98780	1	-0.02846	-0.01592	0.64325	0.00421	1	0.03473	-0.01679	0.64163	0.00399	1	1.56055	0.67569	0	
102083	685.63135	9394185989447	0.47763	0.42146	685.41003	0.22131	2014	1	0.50055	0.41400	1	0.46912	0.45729	1	0.48483	0.43564	1	0.38439	0.57105	21.28905	0.98780	1	0.64107	0.57605	20.63923	0.98780	1	-0.02846	-0.01592	0.64325	0.00423	1	0.03473	-0.01679	0.64163	0.00400	1	1.56055	0.67569	0	
102084	685.63806	9394186056571	0.47760	0.42269	685.41003	0.22803	2014	1	0.48544	0.44834	1	0.46752	0.48050	1	0.47648	0.46442	1	0.38486	0.57133	21.20763	0.98780	1	0.64143	0.57632	20.23689	0.98780	1	-0.02846	-0.01592	0.64325	0.00427	1	0.03473	-0.01679	0.64163	0.00396	1	1.56055	0.67569	0	
102085	685.64471	9394186123417	0.47756	0.42357	685.41003	0.23468	2014	1	0.48472	0.44139	1	0.46726	0.46718	1	0.47599	0.45429	1	0.38514	0.57190	21.16852	0.99502	1	0.64190	0.57728	20.42282	1.00232	1	-0.02886	-0.01674	0.66249	0.00427	1	0.03596	-0.01767	0.65796	0.00395	1	1.56055	0.67569	0	
102086	685.65143	9394186190376	0.47756	0.42432	685.41003	0.24139	2014	1	0.49572	0.42277	1	0.45979	0.47983	1	0.47776	0.45130	1	0.38611	0.57273	21.24277	1.00954	1	0.64256	0.57810	20.22064	1.01685	1	-0.02886	-0.01674	0.66249	0.00427	1	0.03596	-0.01767	0.65796	0.00407	1	1.56055	0.67569	0	
102087	685.65814	9394186257613	0.47743	0.42374	685.41003	0.24811	2014	1	0.48068	0.36612	1	0.46433	0.43846	1	0.47250	0.40229	1	0.38669	0.57304	21.08344	1.02406	1	0.64292	0.57865	20.15223	1.03137	1	-0.02886	-0.01674	0.66249	0.00422	1	0.03596	-0.01767	0.65796	0.00402	1	1.56055	0.67569	0	
102088	685.66479	9394186324003	0.47729	0.42291	685.41003	0.25476	2014	1	0.47996	0.35876	1	0.46403	0.42420	1	0.47199	0.39148	1	0.38719	0.57353	21.11417	1.03137	1	0.64340	0.57949	20.07249	1.04690	1	-0.02704	-0.01627	0.63261	0.00428	1	0.03747	-0.01874	0.67894	0.00398	1	1.56055	0.67569	0	
102089	685.67157	9394186391871	0.47689	0.42187	685.41003	0.26154	2014	1	0.46003	0.38055	1	0.46284	0.38229	1	0.46143	0.38142	1	0.38818	0.57420	21.12621	1.03968	1	0.64418	0.58041	19.93366	1.04790	1	-0.02704	-0.01627	0.63261	0.00425	1	0.03747	-0.01874	0.67894	0.00406	1	1.56055	0.67569	0	
102090	685.67822	9394186458203	0.47700	0.42161	685.41003	0.26819	2014	1	0.48944	0.38175	1	0.47316	0.44028	1	0.48130	0.41101	1	0.38863	0.57478	21.10019	1.04069	1	0.64444	0.58111	20.29274	1.04891	1	-0.02704	-0.01627	0.63261	0.00423	1	0.03747	-0.01874	0.67894	0.00403	1	1.56055	0.67569	0	
102091	685.68494	9394186525530	0.47709	0.42134	685.41003	0.27490	2014	1	0.48869	0.37371	1	0.47325	0.44688	1	0.48097	0.41029	1	0.38919	0.57526	20.97519	1.04891	1	0.64504	0.58210	20.28055	1.04160	1	-0.02734	-0.01712	0.65220	0.00425	1	0.03596	-0.01823	0.64291	0.00395	1	1.56055	0.67569	0	
102092	685.69171	9394186593076	0.47718	0.42155	685.41003	0.28168	2014	1	0.48710	0.38833	1	0.47447	0.47278	1	0.48079	0.43055	1	0.39027	0.57614	21.06242	1.04882	1	0.64578	0.58305	20.42269	1.03329	1	-0.02734	-0.01712	0.65220	0.00425	1	0.03596	-0.01823	0.64291	0.00400	1	1.56055	0.67569	0	
