CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
356424	2414.90332	3244948629012	0.48781	0.54971	2414.80957	0.09375	6086	1	0.55686	0.55083	1	0.50854	0.60242	1	0.53270	0.57662	1	0.38772	0.64356	10.67693	1.02522	1	0.64994	0.62919	11.35156	1.01688	1	-0.03014	-0.03234	0.69659	0.00301	1	0.03857	-0.02815	0.67155	0.00303	1	0.32539	0.30000	0	
356425	2414.91016	3244948695819	0.49059	0.55259	2414.80957	0.10059	6086	1	0.55738	0.56652	1	0.50732	0.62522	1	0.53235	0.59587	1	0.38779	0.64336	10.23457	1.00014	1	0.65015	0.62849	10.34729	0.98446	1	-0.02991	-0.03210	0.69255	0.00312	1	0.03804	-0.02773	0.66142	0.00316	1	0.32539	0.30000	0	
356426	2414.91675	3244948761583	0.49315	0.55309	2414.80957	0.10718	6086	1	0.56460	0.55441	1	0.50362	0.56767	1	0.53411	0.56104	1	0.38781	0.64326	10.20453	0.97664	1	0.65033	0.62868	10.55928	0.96929	1	-0.02991	-0.03210	0.69255	0.00320	1	0.03804	-0.02773	0.66142	0.00315	1	0.32539	0.30000	0	
356427	2414.92334	3244948827480	0.49423	0.55294	2414.80957	0.11377	6086	1	0.52910	0.53552	1	0.49602	0.56528	1	0.51256	0.55040	1	0.38785	0.64280	9.95619	0.96148	1	0.65019	0.62847	10.53983	0.95413	1	-0.02991	-0.03210	0.69255	0.00332	1	0.03804	-0.02773	0.66142	0.00314	1	0.32539	0.30000	0	
356428	2414.92993	3244948894498	0.49521	0.55324	2414.80957	0.12036	6086	1	0.52974	0.54583	1	0.49580	0.57142	1	0.51277	0.55862	1	0.38759	0.64295	10.37844	0.94631	1	0.64992	0.62874	11.02738	0.94631	1	-0.02957	-0.03168	0.68456	0.00349	1	0.04001	-0.02913	0.69475	0.00314	1	0.32539	0.30000	0	
356429	2414.93628	3244948958586	0.49506	0.55510	2414.80957	0.12671	6086	1	0.52992	0.58456	1	0.45482	0.59653	1	0.49237	0.59055	1	0.38777	0.64334	10.42483	0.94631	1	0.64999	0.62867	11.27094	0.95367	1	-0.02957	-0.03168	0.68456	0.00322	1	0.04001	-0.02913	0.69475	0.00306	1	0.32539	0.30000	0	START_TRIAL
356430	2414.94360	3244949031164	0.49520	0.55543	2414.80957	0.13403	6086	1	0.53243	0.55305	1	0.46325	0.57096	1	0.49784	0.56200	1	0.38782	0.64306	10.21443	0.95367	1	0.65018	0.62852	11.62711	0.96102	1	-0.02957	-0.03168	0.68456	0.00332	1	0.04001	-0.02913	0.69475	0.00317	1	0.32539	0.30000	0	
356431	2414.94995	3244949094913	0.49531	0.55535	2414.80957	0.14038	6086	1	0.53214	0.54814	1	0.46320	0.55894	1	0.49767	0.55354	1	0.38750	0.64321	10.42503	0.96102	1	0.65056	0.62847	11.27075	0.97671	1	-0.02932	-0.03137	0.67894	0.00330	1	0.03992	-0.02903	0.69233	0.00326	1	0.32539	0.30000	0	
356432	2414.95679	3244949163623	0.49483	0.55553	2414.80957	0.14722	6086	1	0.50438	0.55387	1	0.46426	0.56535	1	0.48432	0.55961	1	0.38788	0.64318	11.32726	0.97671	1	0.65018	0.62875	11.75861	0.98504	1	-0.02932	-0.03137	0.67894	0.00296	1	0.03992	-0.02903	0.69233	0.00314	1	0.32539	0.30000	0	
356433	2414.96338	3244949229946	0.49482	0.55517	2414.80957	0.15381	6086	1	0.51509	0.51719	1	0.47383	0.57661	1	0.49446	0.54690	1	0.38806	0.64272	9.75185	0.98504	1	0.65031	0.62893	12.13704	0.99337	1	-0.02932	-0.03137	0.67894	0.00324	1	0.03992	-0.02903	0.69233	0.00305	1	0.32539	0.30000	0	
