"acc","accuracy","audio_file","average_response_time","avg_rt","background","block_size","canvas_backend","clock_backend","color_backend","condition","correct","correct_experiment_intro","correct_experiment_intro2","correct_new_1_keyboard_response","correct_new_2_keyboard_response","correct_new_2_sketchpad","correct_new_3_keyboard_response","correct_new_3_sketchpad","correct_new_4_keyboard_response","correct_new_4_sketchpad","correct_new_5_keyboard_response","correct_new_5_sketchpad","correct_new_6_keyboard_response","correct_new_7_keyboard_response","correct_new_7_sketchpad","correct_new_8_keyboard_response","correct_new_keyboard_response","correct_new_mouse_response","correct_welcome","count_audio_file_offset","count_audio_file_onset_log","count_definitions","count_experiment","count_experiment_intro","count_experiment_intro2","count_image_delay","count_image_nosub","count_image_sub","count_increment_roundCounter","count_instruction","count_instructions","count_log_instruction","count_new_1_inline_script","count_new_1_keyboard_response","count_new_1_sketchpad","count_new_2_keyboard_response","count_new_2_sketchpad","count_new_3_keyboard_response","count_new_3_sketchpad","count_new_4_keyboard_response","count_new_4_sketchpad","count_new_5_keyboard_response","count_new_5_sketchpad","count_new_6_keyboard_response","count_new_6_sketchpad","count_new_7_keyboard_response","count_new_7_sketchpad","count_new_8_keyboard_response","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_mouse_response","count_new_pygaze_init","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sketchpad","count_sentence_audio","count_subject_onset_log","count_trial_loop","count_trial_sequence","count_welcome","csv_filepath","csv_id","cursor_roi","cursor_x","cursor_y","datetime","delay_image_delay","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","id","image_nosub","image_sub","keyboard_backend","live_row","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","position1","position2","position3","position4","psychopy_screen","repeat_cycle","response","response_experiment_intro","response_experiment_intro2","response_instruction","response_new_1_keyboard_response","response_new_1_sketchpad","response_new_2_keyboard_response","response_new_2_sketchpad","response_new_3_keyboard_response","response_new_3_sketchpad","response_new_4_keyboard_response","response_new_4_sketchpad","response_new_5_keyboard_response","response_new_5_sketchpad","response_new_6_keyboard_response","response_new_6_sketchpad","response_new_7_keyboard_response","response_new_7_sketchpad","response_new_8_keyboard_response","response_new_keyboard_response","response_new_mouse_response","response_time","response_time_experiment_intro","response_time_experiment_intro2","response_time_instruction","response_time_new_1_keyboard_response","response_time_new_1_sketchpad","response_time_new_2_keyboard_response","response_time_new_2_sketchpad","response_time_new_3_keyboard_response","response_time_new_3_sketchpad","response_time_new_4_keyboard_response","response_time_new_4_sketchpad","response_time_new_5_keyboard_response","response_time_new_5_sketchpad","response_time_new_6_keyboard_response","response_time_new_6_sketchpad","response_time_new_7_keyboard_response","response_time_new_7_sketchpad","response_time_new_8_keyboard_response","response_time_new_keyboard_response","response_time_new_mouse_response","response_time_welcome","response_welcome","round","round_decimals","sampler_backend","sentence","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target_position","time_audio_file_offset","time_audio_file_onset_log","time_definitions","time_experiment","time_experiment_intro","time_experiment_intro2","time_image_delay","time_image_nosub","time_image_sub","time_increment_roundCounter","time_instruction","time_instructions","time_log_instruction","time_new_1_inline_script","time_new_1_keyboard_response","time_new_1_sketchpad","time_new_2_keyboard_response","time_new_2_sketchpad","time_new_3_keyboard_response","time_new_3_sketchpad","time_new_4_keyboard_response","time_new_4_sketchpad","time_new_5_keyboard_response","time_new_5_sketchpad","time_new_6_keyboard_response","time_new_6_sketchpad","time_new_7_keyboard_response","time_new_7_sketchpad","time_new_8_keyboard_response","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_mouse_response","time_new_pygaze_init","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sketchpad","time_sentence_audio","time_subject_onset_log","time_trial_loop","time_trial_sequence","time_welcome","timeout","title","total_correct","total_response_time","total_responses","width"
"undefined","undefined","36_n.wav","undefined","undefined","#dadada","256","psycho","psycho","psycho","non-restrictive","undefined","undefined","undefined","NA","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","0","0","0","0","0","NA","0","0","0","NA","0","NA","NA","0","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","0","participant_group6.csv","6","NA","NA","NA","Mon Jul 13 15:31:26 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","36","37_pos3_nosub.png","37_pos3_sub.png","psycho","0","0","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-5.csv","psycho","Neonatal Nightingale","4.1.14","boxes","clips","lego","papers","0","0","space","space","space","NA","NA","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","6747.253799985629","15386.433099978603","11969.218599959277","NA","NA","NA","NA","4148.2431999756955","NA","4660.16229998786","NA","3180.1069999928586","NA","8131.140100012999","NA","NA","NA","6747.253799985629","NA","NA","NA","5375.7611000328325","c","1","2","psycho","The kid will stack the lego","1024","2","24000","-16","experiment","5","odd","3","557795.3631000128","555005.3327999776","549876.9531999715","4922.047099971678","495625.95560000045","511019.12800001446","NA","550975.4435999785","555005.2599000046","NA","NA","495621.50890001794","NA","NA","NA","NA","NA","522992.20340000466","NA","527144.1868999973","NA","531808.3213000209","NA","534993.2230999693","NA","NA","NA","543129.1042999947","NA","NA","NA","557817.9843000253","NA","10309.813599975314","550083.2964999718","NA","NA","555032.452000014","554975.8653999888","549876.9903000211","550082.7767999726","4932.894499972463","3000","SceneViewing","0","0","0","2560"
"100","100","0_n.wav","4608","4608","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","1","1","0","0","0","0","NA","1","1","1","NA","0","NA","NA","1","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","1","NA","0","1","1","1","1","1","0","1","0","participant_group6.csv","6","NA","NA","NA","Mon Jul 13 15:31:26 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","0","1_pos3_nosub.png","1_pos3_sub.png","psycho","1","1","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-5.csv","psycho","Neonatal Nightingale","4.1.14","toy-train","ball","cake","toy-car","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","4608.64190000575","15386.433099978603","11969.218599959277","NA","4608.64190000575","NA","NA","4148.2431999756955","NA","4660.16229998786","NA","3180.1069999928586","NA","8131.140100012999","NA","NA","NA","6747.253799985629","NA","NA","NA","5375.7611000328325","c","2","2","psycho","The boy will move the cake","1024","2","24000","-16","experiment","5","odd","3","569105.223599996","566686.3196999766","549876.9531999715","4922.047099971678","495625.95560000045","511019.12800001446","NA","562661.5139999776","566686.2615999999","562461.192000017","NA","495621.50890001794","NA","NA","557851.9114999799","NA","NA","522992.20340000466","NA","527144.1868999973","NA","531808.3213000209","NA","534993.2230999693","NA","NA","NA","543129.1042999947","NA","NA","NA","569125.0671999878","NA","10309.813599975314","562645.7982999855","557825.0662999926","557851.7846000032","566705.7575000217","566661.9594999938","549876.9903000211","562645.1232000254","4932.894499972463","3000","SceneViewing","1","4608.64190000575","1","2560"
"100","100","6_n.wav","3539","3539","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","2","2","0","0","0","0","NA","2","2","2","NA","0","NA","NA","2","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","2","NA","0","2","2","2","2","2","0","2","0","participant_group6.csv","6","NA","NA","NA","Mon Jul 13 15:31:26 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","6","7_pos1_nosub.png","7_pos1_sub.png","psycho","2","2","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-5.csv","psycho","Neonatal Nightingale","4.1.14","mushrooms","knife","weighing-scales","jug","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","2470.798399997875","15386.433099978603","11969.218599959277","NA","2470.798399997875","NA","NA","4148.2431999756955","NA","4660.16229998786","NA","3180.1069999928586","NA","8131.140100012999","NA","NA","NA","6747.253799985629","NA","NA","NA","5375.7611000328325","c","3","2","psycho","The housewife will  wash the mushrooms","1024","2","24000","-16","experiment","5","odd","1","579175.1821999787","575858.6503000115","549876.9531999715","4922.047099971678","495625.95560000045","511019.12800001446","NA","571835.7530999929","575858.5937999887","571628.8789000246","NA","495621.50890001794","NA","NA","569157.5808000052","NA","NA","522992.20340000466","NA","527144.1868999973","NA","531808.3213000209","NA","534993.2230999693","NA","NA","NA","543129.1042999947","NA","NA","NA","579194.8387000011","NA","10309.813599975314","571820.679299999","569146.3776999735","569157.4243999785","575878.3048000187","575836.0392000177","549876.9903000211","571820.199800015","4932.894499972463","3000","SceneViewing","2","7079.440300003625","2","2560"
"100","100","2_n.wav","2936","2936","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","3","3","0","0","0","0","NA","3","3","3","NA","0","NA","NA","3","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","3","NA","0","3","3","3","3","3","0","3","0","participant_group6.csv","6","NA","NA","NA","Mon Jul 13 15:31:26 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","2","3_pos1_nosub.png","3_pos1_sub.png","psycho","3","3","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-5.csv","psycho","Neonatal Nightingale","4.1.14","man","car","houses","dustbin","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1729.365199978929","15386.433099978603","11969.218599959277","NA","1729.365199978929","NA","NA","4148.2431999756955","NA","4660.16229998786","NA","3180.1069999928586","NA","8131.140100012999","NA","NA","NA","6747.253799985629","NA","NA","NA","5375.7611000328325","c","4","2","psycho","The policeman will search the man","1024","2","24000","-16","experiment","5","odd","1","588135.2022999781","585164.2074999982","549876.9531999715","4922.047099971678","495625.95560000045","511019.12800001446","NA","581140.495700005","585164.1105000162","580941.0411000135","NA","495621.50890001794","NA","NA","579211.0455000075","NA","NA","522992.20340000466","NA","527144.1868999973","NA","531808.3213000209","NA","534993.2230999693","NA","NA","NA","543129.1042999947","NA","NA","NA","588155.1007999806","NA","10309.813599975314","581125.2430999884","579201.0393000091","579210.908900015","585183.902800025","585140.8902999829","549876.9903000211","581124.4530999684","4932.894499972463","3000","SceneViewing","3","8808.805499982554","3","2560"
"100","100","34_n.wav","2460","2460","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","4","4","0","0","0","0","NA","4","4","4","NA","0","NA","NA","4","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","4","NA","0","4","4","4","4","4","0","4","0","participant_group6.csv","6","NA","NA","NA","Mon Jul 13 15:31:26 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","34","35_pos1_nosub.png","35_pos1_sub.png","psycho","4","4","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-5.csv","psycho","Neonatal Nightingale","4.1.14","radio","puzzle","notebook","pillow","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1034.37579999445","15386.433099978603","11969.218599959277","NA","1034.37579999445","NA","NA","4148.2431999756955","NA","4660.16229998786","NA","3180.1069999928586","NA","8131.140100012999","NA","NA","NA","6747.253799985629","NA","NA","NA","5375.7611000328325","c","5","2","psycho","The boy will move the radio","1024","2","24000","-16","experiment","5","odd","1","596195.1225000084","593461.7375999806","549876.9531999715","4922.047099971678","495625.95560000045","511019.12800001446","NA","589437.3368999804","593461.6191000096","589228.9729000186","NA","495621.50890001794","NA","NA","588194.0437000012","NA","NA","522992.20340000466","NA","527144.1868999973","NA","531808.3213000209","NA","534993.2230999693","NA","NA","NA","543129.1042999947","NA","NA","NA","596214.0364000225","NA","10309.813599975314","589420.96269998","588184.2796999845","588193.9265999827","593480.9129000059","593437.9696999677","549876.9903000211","589420.544499997","4932.894499972463","3000","SceneViewing","4","9843.181299977005","4","2560"
"100","100","46_n.wav","2139","2139","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","5","5","0","0","0","0","NA","5","5","5","NA","0","NA","NA","5","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","5","NA","0","5","5","5","5","5","0","5","0","participant_group6.csv","6","NA","NA","NA","Mon Jul 13 15:31:26 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","46","47_pos1_nosub.png","47_pos1_sub.png","psycho","5","5","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-5.csv","psycho","Neonatal Nightingale","4.1.14","violin","bow","gum","stand","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","856.3401999999769","15386.433099978603","11969.218599959277","NA","856.3401999999769","NA","NA","4148.2431999756955","NA","4660.16229998786","NA","3180.1069999928586","NA","8131.140100012999","NA","NA","NA","6747.253799985629","NA","NA","NA","5375.7611000328325","c","6","2","psycho","The musician will move the violin","1024","2","24000","-16","experiment","5","odd","1","604625.2263999777","601325.8995999931","549876.9531999715","4922.047099971678","495625.95560000045","511019.12800001446","NA","597300.7076000213","601325.8405000088","597101.3672999688","NA","495621.50890001794","NA","NA","596244.2275999929","NA","NA","522992.20340000466","NA","527144.1868999973","NA","531808.3213000209","NA","534993.2230999693","NA","NA","NA","543129.1042999947","NA","NA","NA","604644.4495000178","NA","10309.813599975314","597284.9637999898","596233.4304000251","596244.0212999936","601345.6689000013","601301.449200022","549876.9903000211","597284.3684999971","4932.894499972463","3000","SceneViewing","5","10699.521499976981","5","2560"
"100","100","29_r.wav","1940","1940","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","6","6","0","0","0","0","NA","6","6","6","NA","0","NA","NA","6","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","6","NA","0","6","6","6","6","6","0","6","0","participant_group6.csv","6","NA","NA","NA","Mon Jul 13 15:31:26 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","29","30_pos4_nosub.png","30_pos4_sub.png","psycho","6","6","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-5.csv","psycho","Neonatal Nightingale","4.1.14","comb","eraser","tissue","newspaper","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","943.467499979306","15386.433099978603","11969.218599959277","NA","943.467499979306","NA","NA","4148.2431999756955","NA","4660.16229998786","NA","3180.1069999928586","NA","8131.140100012999","NA","NA","NA","6747.253799985629","NA","NA","NA","5375.7611000328325","c","7","2","psycho","The grandmother will read the newspaper","1024","2","24000","-16","experiment","5","odd","4","612535.1455999771","609832.8240999836","549876.9531999715","4922.047099971678","495625.95560000045","511019.12800001446","NA","605809.6932999906","609832.7545999782","605605.0627999939","NA","495621.50890001794","NA","NA","604660.8923000167","NA","NA","522992.20340000466","NA","527144.1868999973","NA","531808.3213000209","NA","534993.2230999693","NA","NA","NA","543129.1042999947","NA","NA","NA","612554.4394999743","NA","10309.813599975314","605794.2414999707","604651.1503999936","604660.7863000245","609852.053700015","609809.9561000126","549876.9903000211","605793.5374000226","4932.894499972463","3000","SceneViewing","6","11642.988999956287","6","2560"
"100","100","47_r.wav","1896","1896","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","7","7","0","0","0","0","NA","7","7","7","NA","0","NA","NA","7","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","7","NA","0","7","7","7","7","7","0","7","0","participant_group6.csv","6","NA","NA","NA","Mon Jul 13 15:31:26 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","47","48_pos2_nosub.png","48_pos2_sub.png","psycho","7","7","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-5.csv","psycho","Neonatal Nightingale","4.1.14","footstool","carpet","dustpan","roller","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1633.070999989286","15386.433099978603","11969.218599959277","NA","1633.070999989286","NA","NA","4148.2431999756955","NA","4660.16229998786","NA","3180.1069999928586","NA","8131.140100012999","NA","NA","NA","6747.253799985629","NA","NA","NA","5375.7611000328325","c","8","2","psycho","The girl will vacuum the carpet","1024","2","24000","-16","experiment","5","odd","2","621455.4193000076","618431.4606999978","549876.9531999715","4922.047099971678","495625.95560000045","511019.12800001446","NA","614407.5775999809","618431.4107000246","614205.1051000017","NA","495621.50890001794","NA","NA","612571.3725999813","NA","NA","522992.20340000466","NA","527144.1868999973","NA","531808.3213000209","NA","534993.2230999693","NA","NA","NA","543129.1042999947","NA","NA","NA","621474.840299983","NA","10309.813599975314","614390.6640000059","612560.3376000072","612571.1983999936","618450.6992999814","618408.2324000192","549876.9903000211","614389.9342999794","4932.894499972463","3000","SceneViewing","7","13276.059999945574","7","2560"
"100","100","30_n.wav","1837","1837","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","8","8","0","0","0","0","NA","8","8","8","NA","0","NA","NA","8","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","8","NA","0","8","8","8","8","8","0","8","0","participant_group6.csv","6","NA","NA","NA","Mon Jul 13 15:31:26 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","30","31_pos1_nosub.png","31_pos1_sub.png","psycho","8","8","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-5.csv","psycho","Neonatal Nightingale","4.1.14","dice","cap","watch","headphones","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1421.8895999947563","15386.433099978603","11969.218599959277","NA","1421.8895999947563","NA","NA","4148.2431999756955","NA","4660.16229998786","NA","3180.1069999928586","NA","8131.140100012999","NA","NA","NA","6747.253799985629","NA","NA","NA","5375.7611000328325","c","9","2","psycho","The girl will grab the dice","1024","2","24000","-16","experiment","5","odd","1","629845.3030000092","627140.6049000216","549876.9531999715","4922.047099971678","495625.95560000045","511019.12800001446","NA","623115.1277999743","627140.5124000157","622916.9679000042","NA","495621.50890001794","NA","NA","621494.4445000147","NA","NA","522992.20340000466","NA","527144.1868999973","NA","531808.3213000209","NA","534993.2230999693","NA","NA","NA","543129.1042999947","NA","NA","NA","629864.8655000143","NA","10309.813599975314","623100.158700021","621484.8656000104","621494.3485999829","627159.6174999722","627115.6384000205","549876.9903000211","623099.5136999991","4932.894499972463","3000","SceneViewing","8","14697.94959994033","8","2560"
"100","100","49_r.wav","1840","1840","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","9","9","0","0","0","0","NA","9","9","9","NA","0","NA","NA","9","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","9","NA","0","9","9","9","9","9","0","9","0","participant_group6.csv","6","NA","NA","NA","Mon Jul 13 15:31:26 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","49","50_pos4_nosub.png","50_pos4_sub.png","psycho","9","9","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-5.csv","psycho","Neonatal Nightingale","4.1.14","envelope","rubberband","scissors","stamp","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1867.4927999963984","15386.433099978603","11969.218599959277","NA","1867.4927999963984","NA","NA","4148.2431999756955","NA","4660.16229998786","NA","3180.1069999928586","NA","8131.140100012999","NA","NA","NA","6747.253799985629","NA","NA","NA","5375.7611000328325","c","10","2","psycho","The man will lick the stamp","1024","2","24000","-16","experiment","5","odd","4","638525.1934999833","635966.2994000246","549876.9531999715","4922.047099971678","495625.95560000045","511019.12800001446","NA","631942.4986999948","635966.2407999858","631748.9663999877","NA","495621.50890001794","NA","NA","629880.8228999842","NA","NA","522992.20340000466","NA","527144.1868999973","NA","531808.3213000209","NA","534993.2230999693","NA","NA","NA","543129.1042999947","NA","NA","NA","638544.6279000025","NA","10309.813599975314","631927.5199999684","629871.5999000124","629880.7254999992","635985.2721000207","635942.8169999737","549876.9903000211","631926.9248999772","4932.894499972463","3000","SceneViewing","9","16565.442399936728","9","2560"
