"acc","accuracy","audio_file","average_response_time","avg_rt","background","block_size","canvas_backend","clock_backend","color_backend","condition","correct","correct_experiment_intro","correct_experiment_intro2","correct_new_1_keyboard_response","correct_new_2_keyboard_response","correct_new_2_sketchpad","correct_new_3_keyboard_response","correct_new_3_sketchpad","correct_new_4_keyboard_response","correct_new_4_sketchpad","correct_new_5_keyboard_response","correct_new_5_sketchpad","correct_new_6_keyboard_response","correct_new_7_keyboard_response","correct_new_7_sketchpad","correct_new_8_keyboard_response","correct_new_keyboard_response","correct_new_mouse_response","correct_welcome","count_audio_file_offset","count_audio_file_onset_log","count_definitions","count_experiment","count_experiment_intro","count_experiment_intro2","count_image_delay","count_image_nosub","count_image_sub","count_increment_roundCounter","count_instruction","count_instructions","count_log_instruction","count_new_1_inline_script","count_new_1_keyboard_response","count_new_1_sketchpad","count_new_2_keyboard_response","count_new_2_sketchpad","count_new_3_keyboard_response","count_new_3_sketchpad","count_new_4_keyboard_response","count_new_4_sketchpad","count_new_5_keyboard_response","count_new_5_sketchpad","count_new_6_keyboard_response","count_new_6_sketchpad","count_new_7_keyboard_response","count_new_7_sketchpad","count_new_8_keyboard_response","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_mouse_response","count_new_pygaze_init","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sketchpad","count_sentence_audio","count_subject_onset_log","count_trial_loop","count_trial_sequence","count_welcome","csv_filepath","csv_id","cursor_roi","cursor_x","cursor_y","datetime","delay_image_delay","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","id","image_nosub","image_sub","keyboard_backend","live_row","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","position1","position2","position3","position4","psychopy_screen","repeat_cycle","response","response_experiment_intro","response_experiment_intro2","response_instruction","response_new_1_keyboard_response","response_new_1_sketchpad","response_new_2_keyboard_response","response_new_2_sketchpad","response_new_3_keyboard_response","response_new_3_sketchpad","response_new_4_keyboard_response","response_new_4_sketchpad","response_new_5_keyboard_response","response_new_5_sketchpad","response_new_6_keyboard_response","response_new_6_sketchpad","response_new_7_keyboard_response","response_new_7_sketchpad","response_new_8_keyboard_response","response_new_keyboard_response","response_new_mouse_response","response_time","response_time_experiment_intro","response_time_experiment_intro2","response_time_instruction","response_time_new_1_keyboard_response","response_time_new_1_sketchpad","response_time_new_2_keyboard_response","response_time_new_2_sketchpad","response_time_new_3_keyboard_response","response_time_new_3_sketchpad","response_time_new_4_keyboard_response","response_time_new_4_sketchpad","response_time_new_5_keyboard_response","response_time_new_5_sketchpad","response_time_new_6_keyboard_response","response_time_new_6_sketchpad","response_time_new_7_keyboard_response","response_time_new_7_sketchpad","response_time_new_8_keyboard_response","response_time_new_keyboard_response","response_time_new_mouse_response","response_time_welcome","response_welcome","round","round_decimals","sampler_backend","sentence","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target_position","time_audio_file_offset","time_audio_file_onset_log","time_definitions","time_experiment","time_experiment_intro","time_experiment_intro2","time_image_delay","time_image_nosub","time_image_sub","time_increment_roundCounter","time_instruction","time_instructions","time_log_instruction","time_new_1_inline_script","time_new_1_keyboard_response","time_new_1_sketchpad","time_new_2_keyboard_response","time_new_2_sketchpad","time_new_3_keyboard_response","time_new_3_sketchpad","time_new_4_keyboard_response","time_new_4_sketchpad","time_new_5_keyboard_response","time_new_5_sketchpad","time_new_6_keyboard_response","time_new_6_sketchpad","time_new_7_keyboard_response","time_new_7_sketchpad","time_new_8_keyboard_response","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_mouse_response","time_new_pygaze_init","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sketchpad","time_sentence_audio","time_subject_onset_log","time_trial_loop","time_trial_sequence","time_welcome","timeout","title","total_correct","total_response_time","total_responses","width"
"undefined","undefined","13_r.wav","undefined","undefined","#dadada","256","psycho","psycho","psycho","restrictive","undefined","undefined","undefined","NA","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","0","0","0","0","0","NA","0","0","0","NA","0","NA","NA","0","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","0","participant_group4.csv","4","NA","NA","NA","Mon Jul 13 14:12:41 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","13","14_pos3_nosub.png","14_pos3_sub.png","psycho","0","0","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-3.csv","psycho","Neonatal Nightingale","4.1.14","briefcase","glasses","cigarettes","filofax","0","0","space","space","space","NA","NA","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","2379.920499981381","1082.0906000444666","15650.24279995123","NA","NA","NA","NA","3603.510599990841","NA","3500.0798999681138","NA","3348.203099973034","NA","3027.846999990288","NA","NA","NA","2379.920499981381","NA","NA","NA","2991.822100011632","c","1","2","psycho","The man will smoke the cigarettes","1024","2","24000","-16","experiment","3","odd","3","82060.90979999863","79180.91019999702","74880.4361000075","4844.488299975637","42261.83549995767","43349.62170000654","NA","75151.8668999779","79180.84539996926","NA","NA","42257.3824999854","NA","NA","NA","NA","NA","59004.39359998563","NA","62611.82220000774","NA","66115.73469999712","NA","69468.05129997665","NA","NA","NA","72499.96290000854","NA","NA","NA","82087.73949998431","NA","7849.22390000429","75115.16339995433","NA","NA","79208.00709998002","79152.13850000873","74880.4669000092","75114.70999999437","4856.1020999914035","3000","SceneViewing","0","0","0","2560"
"100","100","1_r.wav","2977","2977","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","1","1","0","0","0","0","NA","1","1","1","NA","0","NA","NA","1","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","1","NA","0","1","1","1","1","1","0","1","0","participant_group4.csv","4","NA","NA","NA","Mon Jul 13 14:12:41 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","1","2_pos3_nosub.png","2_pos3_sub.png","psycho","1","1","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-3.csv","psycho","Neonatal Nightingale","4.1.14","chair","lipstick","wine","cheese","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","2977.1267999894917","1082.0906000444666","15650.24279995123","NA","2977.1267999894917","NA","NA","3603.510599990841","NA","3500.0798999681138","NA","3348.203099973034","NA","3027.846999990288","NA","NA","NA","2379.920499981381","NA","NA","NA","2991.822100011632","c","2","2","psycho","The woman will drink the wine","1024","2","24000","-16","experiment","3","odd","3","91981.18119995343","89318.93599999603","74880.4361000075","4844.488299975637","42261.83549995767","43349.62170000654","NA","85295.41029996471","89318.86010000017","85096.46490000887","NA","42257.3824999854","NA","NA","82118.7452999875","NA","NA","59004.39359998563","NA","62611.82220000774","NA","66115.73469999712","NA","69468.05129997665","NA","NA","NA","72499.96290000854","NA","NA","NA","92000.53209997714","NA","7849.22390000429","85280.13769997051","82096.4735999587","82118.61820000922","89338.42699998058","89296.01559997536","74880.4669000092","85279.64369999245","4856.1020999914035","3000","SceneViewing","1","2977.1267999894917","1","2560"
"100","100","33_r.wav","2188","2188","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","2","2","0","0","0","0","NA","2","2","2","NA","0","NA","NA","2","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","2","NA","0","2","2","2","2","2","0","2","0","participant_group4.csv","4","NA","NA","NA","Mon Jul 13 14:12:41 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","33","34_pos3_nosub.png","34_pos3_sub.png","psycho","2","2","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-3.csv","psycho","Neonatal Nightingale","4.1.14","box","gift","suitcase","envelope","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1400.6252000108361","1082.0906000444666","15650.24279995123","NA","1400.6252000108361","NA","NA","3603.510599990841","NA","3500.0798999681138","NA","3348.203099973034","NA","3027.846999990288","NA","NA","NA","2379.920499981381","NA","NA","NA","2991.822100011632","c","3","2","psycho","The boy will unzip the suitcase","1024","2","24000","-16","experiment","3","odd","3","100750.95729995519","97661.15949995583","74880.4361000075","4844.488299975637","42261.83549995767","43349.62170000654","NA","93638.11110000825","97661.10289999051","93432.45089997072","NA","42257.3824999854","NA","NA","92031.25269996235","NA","NA","59004.39359998563","NA","62611.82220000774","NA","66115.73469999712","NA","69468.05129997665","NA","NA","NA","72499.96290000854","NA","NA","NA","100770.29700001003","NA","7849.22390000429","93622.67849995987","92020.78919997439","92031.10219998052","97680.47059996752","97638.4856000077","74880.4669000092","93622.17619997682","4856.1020999914035","3000","SceneViewing","2","4377.752000000328","2","2560"
"100","100","32_n.wav","1922","1922","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","3","3","0","0","0","0","NA","3","3","3","NA","0","NA","NA","3","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","3","NA","0","3","3","3","3","3","0","3","0","participant_group4.csv","4","NA","NA","NA","Mon Jul 13 14:12:41 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","32","33_pos2_nosub.png","33_pos2_sub.png","psycho","3","3","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-3.csv","psycho","Neonatal Nightingale","4.1.14","kettle","beer","mug","biscuit","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1390.63639997039","1082.0906000444666","15650.24279995123","NA","1390.63639997039","NA","NA","3603.510599990841","NA","3500.0798999681138","NA","3348.203099973034","NA","3027.846999990288","NA","NA","NA","2379.920499981381","NA","NA","NA","2991.822100011632","c","4","2","psycho","The woman will carry the beer","1024","2","24000","-16","experiment","3","odd","2","109110.83299998427","106418.31559996353","74880.4361000075","4844.488299975637","42261.83549995767","43349.62170000654","NA","102394.48019996053","106418.2636999758","102192.57079996169","NA","42257.3824999854","NA","NA","100801.24739999883","NA","NA","59004.39359998563","NA","62611.82220000774","NA","66115.73469999712","NA","69468.05129997665","NA","NA","NA","72499.96290000854","NA","NA","NA","109130.42269996367","NA","7849.22390000429","102377.87399999797","100790.98849999718","100801.0916999774","106437.09339998895","106395.01959999325","74880.4669000092","102377.18409998342","4856.1020999914035","3000","SceneViewing","3","5768.388399970718","3","2560"
"100","100","46_n.wav","1906","1906","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","4","4","0","0","0","0","NA","4","4","4","NA","0","NA","NA","4","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","4","NA","0","4","4","4","4","4","0","4","0","participant_group4.csv","4","NA","NA","NA","Mon Jul 13 14:12:41 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","46","47_pos4_nosub.png","47_pos4_sub.png","psycho","4","4","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-3.csv","psycho","Neonatal Nightingale","4.1.14","bow","gum","stand","violin","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1855.7325000292622","1082.0906000444666","15650.24279995123","NA","1855.7325000292622","NA","NA","3603.510599990841","NA","3500.0798999681138","NA","3348.203099973034","NA","3027.846999990288","NA","NA","NA","2379.920499981381","NA","NA","NA","2991.822100011632","c","5","2","psycho","The musician will move the violin","1024","2","24000","-16","experiment","3","odd","4","118541.14699998172","115241.56219995348","74880.4361000075","4844.488299975637","42261.83549995767","43349.62170000654","NA","111217.7670999663","115241.49970000144","111016.4158999687","NA","42257.3824999854","NA","NA","109160.14549997635","NA","NA","59004.39359998563","NA","62611.82220000774","NA","66115.73469999712","NA","69468.05129997665","NA","NA","NA","72499.96290000854","NA","NA","NA","118560.30149996514","NA","7849.22390000429","111202.09749997593","109149.58919998026","109159.99279997777","115260.56129997596","115218.3764000074","74880.4669000092","111201.53749996098","4856.1020999914035","3000","SceneViewing","4","7624.12089999998","4","2560"
"100","100","18_n.wav","1711","1711","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","5","5","0","0","0","0","NA","5","5","5","NA","0","NA","NA","5","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","5","NA","0","5","5","5","5","5","0","5","0","participant_group4.csv","4","NA","NA","NA","Mon Jul 13 14:12:41 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","18","19_pos4_nosub.png","19_pos4_sub.png","psycho","5","5","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-3.csv","psycho","Neonatal Nightingale","4.1.14","stick","feather","leaf","football","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","931.4220999949612","1082.0906000444666","15650.24279995123","NA","931.4220999949612","NA","NA","3603.510599990841","NA","3500.0798999681138","NA","3348.203099973034","NA","3027.846999990288","NA","NA","NA","2379.920499981381","NA","NA","NA","2991.822100011632","c","6","2","psycho","The boy will touch the football","1024","2","24000","-16","experiment","3","odd","4","126371.08769995393","123762.07729999442","74880.4361000075","4844.488299975637","42261.83549995767","43349.62170000654","NA","119738.69989998639","123762.01479998417","119536.48319997592","NA","42257.3824999854","NA","NA","118604.47570000542","NA","NA","59004.39359998563","NA","62611.82220000774","NA","66115.73469999712","NA","69468.05129997665","NA","NA","NA","72499.96290000854","NA","NA","NA","126390.41110000107","NA","7849.22390000429","119724.49699998833","118594.3408999592","118604.36769999797","123781.35669999756","123739.06449996866","74880.4669000092","119724.0318999975","4856.1020999914035","3000","SceneViewing","5","8555.542999994941","5","2560"
"100","100","20_n.wav","1609","1609","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","6","6","0","0","0","0","NA","6","6","6","NA","0","NA","NA","6","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","6","NA","0","6","6","6","6","6","0","6","0","participant_group4.csv","4","NA","NA","NA","Mon Jul 13 14:12:41 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","20","21_pos2_nosub.png","21_pos2_sub.png","psycho","6","6","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-3.csv","psycho","Neonatal Nightingale","4.1.14","cup","kitten","block","crayon","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1103.8612999836914","1082.0906000444666","15650.24279995123","NA","1103.8612999836914","NA","NA","3603.510599990841","NA","3500.0798999681138","NA","3348.203099973034","NA","3027.846999990288","NA","NA","NA","2379.920499981381","NA","NA","NA","2991.822100011632","c","7","2","psycho","The baby will grab the kitten","1024","2","24000","-16","experiment","3","odd","2","134650.9376000031","131756.7904999596","74880.4361000075","4844.488299975637","42261.83549995767","43349.62170000654","NA","127731.36969999177","131756.7124000052","127528.531799966","NA","42257.3824999854","NA","NA","126423.98839996895","NA","NA","59004.39359998563","NA","62611.82220000774","NA","66115.73469999712","NA","69468.05129997665","NA","NA","NA","72499.96290000854","NA","NA","NA","134670.28829996707","NA","7849.22390000429","127716.77900000941","126413.20449998602","126423.81539999042","131776.56589995604","131732.1210000082","74880.4669000092","127716.26239997568","4856.1020999914035","3000","SceneViewing","6","9659.404299978632","6","2560"
"100","100","3_r.wav","1540","1540","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","7","7","0","0","0","0","NA","7","7","7","NA","0","NA","NA","7","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","7","NA","0","7","7","7","7","7","0","7","0","participant_group4.csv","4","NA","NA","NA","Mon Jul 13 14:12:41 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","3","4_pos1_nosub.png","4_pos1_sub.png","psycho","7","7","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-3.csv","psycho","Neonatal Nightingale","4.1.14","baby","plant","stool","rocking-horse","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1124.6799999498762","1082.0906000444666","15650.24279995123","NA","1124.6799999498762","NA","NA","3603.510599990841","NA","3500.0798999681138","NA","3348.203099973034","NA","3027.846999990288","NA","NA","NA","2379.920499981381","NA","NA","NA","2991.822100011632","c","8","2","psycho","The woman will bathe the baby","1024","2","24000","-16","experiment","3","odd","1","142920.79000000376","140050.56489998242","74880.4361000075","4844.488299975637","42261.83549995767","43349.62170000654","NA","136026.20799996657","140050.49039999722","135824.91919997847","NA","42257.3824999854","NA","NA","134699.2195000057","NA","NA","59004.39359998563","NA","62611.82220000774","NA","66115.73469999712","NA","69468.05129997665","NA","NA","NA","72499.96290000854","NA","NA","NA","142940.271999978","NA","7849.22390000429","136011.1154000042","134688.80169995828","134699.11429996137","140069.4775999873","140026.61060000537","74880.4669000092","136010.5158999795","4856.1020999914035","3000","SceneViewing","7","10784.084299928509","7","2560"
"100","100","38_n.wav","1484","1484","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","8","8","0","0","0","0","NA","8","8","8","NA","0","NA","NA","8","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","8","NA","0","8","8","8","8","8","0","8","0","participant_group4.csv","4","NA","NA","NA","Mon Jul 13 14:12:41 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","38","39_pos4_nosub.png","39_pos4_sub.png","psycho","8","8","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-3.csv","psycho","Neonatal Nightingale","4.1.14","mop","broom","cloth","apron","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1092.9468999966048","1082.0906000444666","15650.24279995123","NA","1092.9468999966048","NA","NA","3603.510599990841","NA","3500.0798999681138","NA","3348.203099973034","NA","3027.846999990288","NA","NA","NA","2379.920499981381","NA","NA","NA","2991.822100011632","c","9","2","psycho","The woman will carry the apron","1024","2","24000","-16","experiment","3","odd","4","151111.00749997422","148279.16549996007","74880.4361000075","4844.488299975637","42261.83549995767","43349.62170000654","NA","144255.35160000436","148279.10869999323","144056.41899997136","NA","42257.3824999854","NA","NA","142962.88549999008","NA","NA","59004.39359998563","NA","62611.82220000774","NA","66115.73469999712","NA","69468.05129997665","NA","NA","NA","72499.96290000854","NA","NA","NA","151130.88869996136","NA","7849.22390000429","144239.76599995513","142952.92379998136","142962.7646000008","148298.2371999533","148255.76609995915","74880.4669000092","144239.13109995192","4856.1020999914035","3000","SceneViewing","8","11877.031199925113","8","2560"
"100","100","9_r.wav","1375","1375","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","9","9","0","0","0","0","NA","9","9","9","NA","0","NA","NA","9","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","9","NA","0","9","9","9","9","9","0","9","0","participant_group4.csv","4","NA","NA","NA","Mon Jul 13 14:12:41 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","9","10_pos3_nosub.png","10_pos3_sub.png","psycho","9","9","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-3.csv","psycho","Neonatal Nightingale","4.1.14","cup","bag","book","door","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","499.8508999706246","1082.0906000444666","15650.24279995123","NA","499.8508999706246","NA","NA","3603.510599990841","NA","3500.0798999681138","NA","3348.203099973034","NA","3027.846999990288","NA","NA","NA","2379.920499981381","NA","NA","NA","2991.822100011632","c","10","2","psycho","The woman will read the book","1024","2","24000","-16","experiment","3","odd","3","158280.94949998194","155885.34419995267","74880.4361000075","4844.488299975637","42261.83549995767","43349.62170000654","NA","151861.96789995302","155885.2840999607","151664.4612000091","NA","42257.3824999854","NA","NA","151163.9607999823","NA","NA","59004.39359998563","NA","62611.82220000774","NA","66115.73469999712","NA","69468.05129997665","NA","NA","NA","72499.96290000854","NA","NA","NA","158300.10669998592","NA","7849.22390000429","151848.27799996128","151153.24969997164","151163.80139999092","155904.72319995752","155862.53419995774","74880.4669000092","151847.03859995352","4856.1020999914035","3000","SceneViewing","9","12376.882099895738","9","2560"
