id,word,SentenceRole,WordRole,start,end,sentence
0,The,restrictive,det,0.021,0.063,The boy will eat the cake
0,boy,restrictive,nsubj,0.147,0.42,The boy will eat the cake
0,will,restrictive,aux,0.546,0.672,The boy will eat the cake
0,eat,restrictive,ROOT,0.819,0.945,The boy will eat the cake
0,the,restrictive,det,1.05,1.113,The boy will eat the cake
0,cake,restrictive,dobj,1.197,2.394,The boy will eat the cake
0,The,non-restrictive,det,0.021,0.063,The boy will move the cake
0,boy,non-restrictive,nsubj,0.147,0.441,The boy will move the cake
0,will,non-restrictive,aux,0.567,0.714,The boy will move the cake
0,move,non-restrictive,ROOT,0.798,1.05,The boy will move the cake
0,the,non-restrictive,det,1.134,1.176,The boy will move the cake
0,cake,non-restrictive,dobj,1.281,2.478,The boy will move the cake
1,The,restrictive,det,0.021,0.063,The woman will drink the wine
1,woman,restrictive,nsubj,0.189,0.525,The woman will drink the wine
1,will,restrictive,aux,0.651,0.777,The woman will drink the wine
1,drink,restrictive,ROOT,0.882,1.197,The woman will drink the wine
1,the,restrictive,det,1.323,1.407,The woman will drink the wine
1,wine,restrictive,dobj,1.512,2.751,The woman will drink the wine
1,The,non-restrictive,det,0.021,0.063,The woman will try the wine
1,woman,non-restrictive,nsubj,0.189,0.504,The woman will try the wine
1,will,non-restrictive,aux,0.672,0.777,The woman will try the wine
1,try,non-restrictive,ROOT,0.882,1.155,The woman will try the wine
1,the,non-restrictive,det,1.26,1.323,The woman will try the wine
1,wine,non-restrictive,dobj,1.449,2.688,The woman will try the wine
2,The,restrictive,det,0.021,0.063,The policeman will arrest the man
2,policeman,restrictive,nsubj,0.147,0.903,The policeman will arrest the man
2,will,restrictive,aux,1.05,1.176,The policeman will arrest the man
2,arrest,restrictive,ROOT,1.26,1.722,The policeman will arrest the man
2,the,restrictive,det,1.827,1.89,The policeman will arrest the man
2,man,restrictive,dobj,1.974,3.192,The policeman will arrest the man
2,The,non-restrictive,det,0.021,0.063,The policeman will search the man
2,policeman,non-restrictive,nsubj,0.147,0.882,The policeman will search the man
2,will,non-restrictive,aux,0.987,1.134,The policeman will search the man
2,search,non-restrictive,ROOT,1.26,1.533,The policeman will search the man
2,the,non-restrictive,det,1.659,1.722,The policeman will search the man
2,man,non-restrictive,dobj,1.827,3.066,The policeman will search the man
3,The,restrictive,det,0.021,0.063,The woman will bathe the baby
3,woman,restrictive,nsubj,0.189,0.525,The woman will bathe the baby
3,will,restrictive,aux,0.672,0.798,The woman will bathe the baby
3,bathe,restrictive,ROOT,0.924,1.197,The woman will bathe the baby
3,the,restrictive,det,1.428,1.47,The woman will bathe the baby
3,baby,restrictive,dobj,1.596,2.94,The woman will bathe the baby
3,The,non-restrictive,det,0.021,0.063,The woman will touch the baby
3,woman,non-restrictive,nsubj,0.189,0.525,The woman will touch the baby
3,will,non-restrictive,aux,0.651,0.777,The woman will touch the baby
3,touch,non-restrictive,ROOT,0.861,1.155,The woman will touch the baby
3,the,non-restrictive,det,1.302,1.365,The woman will touch the baby
3,baby,non-restrictive,dobj,1.491,2.814,The woman will touch the baby
4,The,restrictive,det,0.021,0.063,The boy will bounce the ball
4,boy,restrictive,nsubj,0.147,0.42,The boy will bounce the ball
4,will,restrictive,aux,0.546,0.693,The boy will bounce the ball
4,bounce,restrictive,ROOT,0.777,1.218,The boy will bounce the ball
4,the,restrictive,det,1.281,1.344,The boy will bounce the ball
4,ball,restrictive,dobj,1.449,2.625,The boy will bounce the ball
4,The,non-restrictive,det,0.021,0.063,The boy will throw the ball
4,boy,non-restrictive,nsubj,0.147,0.42,The boy will throw the ball
4,will,non-restrictive,aux,0.546,0.693,The boy will throw the ball
4,throw,non-restrictive,ROOT,0.84,1.134,The boy will throw the ball
