subject_id,trial,sentence_id,condition,target_position,prop_target,prop_distractor_mean,target_advantage,no_object_gaze
subject-1,0,6,non-restrictive,3,0.0,0.0,0.0,True
subject-1,1,39,restrictive,4,0.0,0.0,0.0,True
subject-1,2,15,restrictive,4,0.0,0.0,0.0,True
subject-1,3,22,non-restrictive,3,0.0,0.0,0.0,True
subject-1,4,37,restrictive,2,0.0,0.0,0.0,True
subject-1,5,8,non-restrictive,1,0.0,0.0,0.0,True
subject-1,6,18,non-restrictive,3,0.0,0.0,0.0,True
subject-1,7,40,non-restrictive,1,0.0,0.0,0.0,True
subject-1,8,3,restrictive,4,0.0,0.0,0.0,True
subject-1,9,41,restrictive,2,0.0,0.3333,-0.3333,False
subject-1,10,42,non-restrictive,3,1.0,0.0,1.0,False
subject-1,11,11,restrictive,4,0.0,0.0,0.0,True
subject-1,12,36,non-restrictive,1,0.0,0.3333,-0.3333,False
subject-1,13,7,restrictive,4,0.0,0.0,0.0,True
subject-1,14,45,restrictive,2,0.0,0.0,0.0,True
subject-1,15,25,restrictive,2,0.0,0.0,0.0,True
subject-1,16,21,restrictive,2,0.0,0.0,0.0,True
subject-1,17,13,restrictive,2,0.0,0.0,0.0,True
subject-1,18,16,non-restrictive,1,0.0,0.3333,-0.3333,False
subject-1,19,24,non-restrictive,1,0.0,0.0,0.0,True
subject-1,20,20,non-restrictive,1,0.0,0.0,0.0,True
subject-1,22,48,non-restrictive,1,0.0,0.0,0.0,True
subject-1,23,0,non-restrictive,1,0.0,0.0,0.0,True
subject-1,24,2,non-restrictive,3,0.0,0.0,0.0,True
subject-1,25,17,restrictive,2,0.0,0.0,0.0,True
subject-1,26,43,restrictive,4,0.0,0.0,0.0,True
subject-1,27,33,restrictive,2,0.0,0.0,0.0,True
subject-1,28,12,non-restrictive,1,0.0,0.0,0.0,True
subject-1,29,5,restrictive,2,0.0,0.0,0.0,True
subject-1,30,14,non-restrictive,3,0.0,0.0,0.0,True
subject-1,31,47,restrictive,4,0.0,0.0,0.0,True
subject-1,32,26,non-restrictive,3,0.0,0.0,0.0,True
subject-1,33,32,non-restrictive,1,0.0,0.0,0.0,True
subject-1,34,28,non-restrictive,1,0.0,0.0,0.0,True
subject-1,35,23,restrictive,4,0.0,0.0,0.0,True
subject-1,36,29,restrictive,2,0.0,0.0,0.0,True
subject-1,37,34,non-restrictive,3,0.0,0.0,0.0,True
subject-1,38,49,restrictive,2,0.0,0.0,0.0,True
subject-1,39,1,restrictive,2,1.0,0.0,1.0,False
subject-1,41,30,non-restrictive,3,0.0,0.0,0.0,True
subject-1,42,46,non-restrictive,3,1.0,0.0,1.0,False
