subject_id,condition,n_trials,pct_on_target,mean_latency_ms
subject-1,non-restrictive,25,4.0,173.0
subject-1,restrictive,25,0.0,160.0
subject-19,non-restrictive,25,0.0,261.0
subject-19,restrictive,25,0.0,226.0
subject-20,non-restrictive,25,0.0,231.0
subject-20,restrictive,24,0.0,298.0
subject-21,non-restrictive,25,0.0,161.0
subject-21,restrictive,25,0.0,273.0
subject-7,non-restrictive,25,4.0,105.0
subject-7,restrictive,25,8.0,85.0
subject-8,non-restrictive,24,0.0,252.0
subject-8,restrictive,24,4.2,418.0
