subject_id,trial,sentence_id,condition,target_position,found_tight,before_noun_tight,found_pieslice,before_noun_pieslice
subject-1,0,6,non-restrictive,3,False,False,True,False
subject-1,1,15,restrictive,4,True,False,True,False
subject-1,2,39,restrictive,4,True,False,True,False
subject-1,3,21,restrictive,2,True,False,True,False
subject-1,4,38,non-restrictive,3,True,False,True,False
subject-1,5,4,non-restrictive,1,True,True,True,True
subject-1,6,29,restrictive,2,True,True,True,True
subject-1,7,23,restrictive,4,False,False,True,False
subject-1,8,19,restrictive,4,True,True,True,True
subject-1,9,22,non-restrictive,3,True,False,True,False
subject-1,10,7,restrictive,4,True,False,True,False
subject-1,11,43,restrictive,4,True,False,True,False
subject-1,12,8,non-restrictive,1,True,True,True,True
subject-1,13,30,non-restrictive,3,True,False,True,False
subject-1,14,36,non-restrictive,1,False,False,True,False
subject-1,15,20,non-restrictive,1,True,True,True,True
subject-1,16,5,restrictive,2,True,True,True,True
subject-1,17,1,restrictive,2,True,False,True,False
subject-1,18,32,non-restrictive,1,True,False,True,False
subject-1,19,3,restrictive,4,True,True,True,True
subject-1,20,2,non-restrictive,3,False,False,False,False
subject-1,21,46,non-restrictive,3,True,False,True,False
subject-1,22,16,non-restrictive,1,True,False,True,False
subject-1,23,18,non-restrictive,3,True,True,True,True
subject-1,24,27,restrictive,4,True,True,True,True
subject-1,25,13,restrictive,2,False,False,True,True
subject-1,26,24,non-restrictive,1,True,True,True,True
subject-1,27,42,non-restrictive,3,False,False,True,True
subject-1,28,12,non-restrictive,1,True,False,True,False
subject-1,29,48,non-restrictive,1,True,False,True,False
subject-1,30,49,restrictive,2,False,False,True,False
subject-1,31,10,non-restrictive,3,True,False,True,False
subject-1,32,9,restrictive,2,True,False,True,False
subject-1,33,37,restrictive,2,False,False,True,False
subject-1,34,31,restrictive,4,False,False,True,False
subject-1,35,28,non-restrictive,1,True,False,True,False
subject-1,36,33,restrictive,2,False,False,False,False
subject-1,37,25,restrictive,2,False,False,True,False
subject-1,38,17,restrictive,2,False,False,True,False
subject-1,39,14,non-restrictive,3,True,False,True,False
subject-1,40,35,restrictive,4,True,False,True,False
subject-1,41,44,non-restrictive,1,True,True,True,True
subject-1,42,11,restrictive,4,True,False,True,False
subject-1,43,34,non-restrictive,3,True,True,True,True
subject-1,44,47,restrictive,4,True,False,True,False
subject-1,45,45,restrictive,2,False,False,True,False
subject-1,46,26,non-restrictive,3,False,False,False,False
subject-1,47,41,restrictive,2,True,False,True,False
subject-1,48,0,non-restrictive,1,True,False,True,False
subject-1,49,40,non-restrictive,1,True,False,True,False
subject-10,0,37,non-restrictive,3,True,False,True,False
subject-10,2,45,non-restrictive,3,True,True,True,True
subject-10,3,47,non-restrictive,1,True,False,True,False
subject-10,4,12,restrictive,2,True,False,True,True
subject-10,5,5,non-restrictive,3,True,False,True,False
subject-10,6,39,non-restrictive,1,True,False,True,False
subject-10,7,20,restrictive,2,False,False,True,False
subject-10,8,24,restrictive,2,True,False,True,False
subject-10,9,1,non-restrictive,3,False,False,True,False
subject-10,10,43,non-restrictive,1,True,False,True,False
subject-10,11,26,restrictive,4,True,False,True,False
subject-10,12,8,restrictive,2,True,False,True,False
subject-10,13,32,restrictive,2,True,False,True,False
subject-10,14,16,restrictive,2,False,False,False,False
subject-10,15,48,restrictive,2,True,False,True,False
subject-10,16,9,non-restrictive,3,False,False,False,False
subject-10,17,44,restrictive,2,True,False,True,False
subject-10,18,18,restrictive,4,True,False,True,False
subject-10,19,46,restrictive,4,True,False,True,False
subject-10,20,22,restrictive,4,True,False,True,False
subject-10,21,10,restrictive,4,True,True,True,True
subject-10,22,49,non-restrictive,3,True,False,True,False
subject-10,23,40,restrictive,2,False,False,True,False
subject-10,24,31,non-restrictive,1,True,False,True,False
subject-10,25,23,non-restrictive,1,True,False,True,False
subject-10,26,41,non-restrictive,3,True,False,True,False
subject-10,27,36,restrictive,2,True,False,True,False
subject-10,28,27,non-restrictive,1,True,False,True,False
subject-10,29,6,restrictive,4,True,False,True,False
subject-10,30,4,restrictive,2,True,False,True,False
subject-10,31,19,non-restrictive,1,True,False,True,False
subject-10,32,0,restrictive,2,False,False,False,False
subject-10,33,38,restrictive,4,True,False,True,False
subject-10,34,14,restrictive,4,True,False,True,False
subject-10,35,29,non-restrictive,3,True,False,True,False
subject-10,36,42,restrictive,4,True,False,True,False
subject-10,37,28,restrictive,2,False,False,True,False
subject-10,38,3,non-restrictive,1,True,False,True,False
subject-10,39,25,non-restrictive,3,True,False,True,False
subject-10,40,17,non-restrictive,3,True,False,True,False
subject-10,41,13,non-restrictive,3,True,False,True,False
subject-10,42,7,non-restrictive,1,True,False,True,False
subject-10,43,33,non-restrictive,3,True,False,True,False
subject-10,44,21,non-restrictive,3,True,False,True,False
subject-10,45,15,non-restrictive,1,True,False,True,False
subject-10,46,11,non-restrictive,1,True,False,True,False
subject-10,47,2,restrictive,4,True,False,True,False
subject-10,48,30,restrictive,4,True,False,True,False
subject-10,49,35,non-restrictive,1,True,False,True,False
subject-11,0,10,non-restrictive,4,True,True,True,True
subject-11,1,32,non-restrictive,2,True,True,True,True
subject-11,2,14,non-restrictive,4,True,False,True,False
subject-11,3,43,restrictive,1,True,False,True,False
subject-11,4,19,restrictive,1,True,False,True,False
subject-11,5,30,non-restrictive,4,True,False,True,False
subject-11,6,1,restrictive,3,False,False,True,False
subject-11,7,22,non-restrictive,4,True,False,True,False
subject-11,8,5,restrictive,3,True,False,True,True
subject-11,9,29,restrictive,3,True,False,True,False
subject-11,10,37,restrictive,3,True,False,True,False
subject-11,11,23,restrictive,1,False,False,True,False
subject-11,12,41,restrictive,3,False,False,False,False
subject-11,13,2,non-restrictive,4,True,False,True,False
subject-11,14,40,non-restrictive,2,True,False,True,False
subject-11,15,16,non-restrictive,2,True,False,True,False
subject-11,16,9,restrictive,3,True,True,True,True
subject-11,17,3,restrictive,1,True,False,True,False
subject-11,18,6,non-restrictive,4,True,False,True,False
subject-11,19,21,restrictive,3,True,False,True,True
subject-11,20,27,restrictive,1,True,False,True,False
subject-11,21,26,non-restrictive,4,False,False,True,False
subject-11,22,44,non-restrictive,2,False,False,True,False
subject-11,23,24,non-restrictive,2,False,False,True,False
subject-11,24,20,non-restrictive,2,True,False,True,False
subject-11,25,17,restrictive,3,True,False,True,False
subject-11,26,8,non-restrictive,2,True,True,True,True
subject-11,27,42,non-restrictive,4,True,False,True,False
subject-11,28,18,non-restrictive,4,True,False,True,False
subject-11,29,4,non-restrictive,2,True,False,True,False
subject-11,30,7,restrictive,1,True,False,True,False
subject-11,31,46,non-restrictive,4,False,False,True,False
subject-11,32,48,non-restrictive,2,True,False,True,False
subject-11,33,36,non-restrictive,2,True,False,True,False
subject-11,34,31,restrictive,1,True,False,True,False
subject-11,35,15,restrictive,1,False,False,True,False
subject-11,36,0,non-restrictive,2,True,False,True,False
subject-11,37,11,restrictive,1,False,False,False,False
subject-11,38,35,restrictive,1,True,False,True,False
subject-11,39,33,restrictive,3,True,False,True,True
subject-11,40,39,restrictive,1,False,False,True,False
subject-11,41,38,non-restrictive,4,True,False,True,False
subject-11,42,34,non-restrictive,4,False,False,False,False
subject-11,43,12,non-restrictive,2,False,False,True,False
subject-11,44,45,restrictive,3,True,False,True,False
subject-11,45,49,restrictive,3,False,False,True,False
subject-11,46,25,restrictive,3,True,False,True,False
subject-11,47,47,restrictive,1,True,False,True,False
subject-11,48,13,restrictive,3,False,False,True,False
subject-11,49,28,non-restrictive,2,True,False,True,False
subject-12,0,3,non-restrictive,2,True,False,True,False
subject-12,1,31,non-restrictive,2,False,False,True,False
subject-12,2,22,restrictive,1,True,False,True,False
subject-12,3,23,non-restrictive,2,True,False,True,False
subject-12,4,27,non-restrictive,2,False,False,False,False
subject-12,5,28,restrictive,3,True,False,True,False
subject-12,6,46,restrictive,1,True,False,True,False
subject-12,7,7,non-restrictive,2,True,False,True,False
subject-12,8,44,restrictive,3,True,False,True,False
subject-12,9,18,restrictive,1,True,False,True,False
subject-12,10,24,restrictive,3,True,False,True,False
subject-12,11,36,restrictive,3,True,False,True,False
subject-12,12,40,restrictive,3,False,False,True,False
subject-12,13,21,non-restrictive,4,True,False,True,False
subject-12,14,37,non-restrictive,4,True,False,True,False
subject-12,15,25,non-restrictive,4,True,False,True,False
subject-12,16,47,non-restrictive,2,True,False,True,False
subject-12,17,39,non-restrictive,2,True,False,True,False
subject-12,18,12,restrictive,3,True,False,True,False
subject-12,19,4,restrictive,3,True,False,True,False
subject-12,20,30,restrictive,1,True,False,True,False
subject-12,21,19,non-restrictive,2,True,False,True,False
subject-12,22,32,restrictive,3,True,False,True,False
subject-12,23,6,restrictive,1,True,False,True,False
subject-12,24,35,non-restrictive,2,True,False,True,False
subject-12,25,15,non-restrictive,2,False,False,True,False
subject-12,26,33,non-restrictive,4,True,False,True,False
subject-12,27,49,non-restrictive,4,True,False,True,False
subject-12,28,11,non-restrictive,2,True,False,True,True
subject-12,29,2,restrictive,1,True,False,True,True
subject-12,30,10,restrictive,1,True,True,True,True
subject-12,31,0,restrictive,3,False,False,False,False
subject-12,32,13,non-restrictive,4,True,False,True,False
subject-12,33,42,restrictive,1,True,False,True,False
subject-12,34,26,restrictive,1,True,False,True,False
subject-12,35,14,restrictive,1,True,False,True,False
subject-12,36,1,non-restrictive,4,True,False,True,False
subject-12,37,48,restrictive,3,True,False,True,False
subject-12,38,29,non-restrictive,4,True,False,True,False
subject-12,39,9,non-restrictive,4,False,False,False,False
subject-12,40,45,non-restrictive,4,True,False,True,False
subject-12,41,17,non-restrictive,4,True,False,True,False
subject-12,43,38,restrictive,1,True,False,True,False
subject-12,44,16,restrictive,3,True,False,True,False
subject-12,45,20,restrictive,3,True,False,True,False
subject-12,46,43,non-restrictive,2,True,False,True,True
subject-12,47,5,non-restrictive,4,True,False,True,False
subject-12,48,41,non-restrictive,4,True,False,True,False
subject-12,49,8,restrictive,3,False,False,False,False
subject-13,0,11,restrictive,2,False,False,False,False
subject-13,1,2,non-restrictive,1,False,False,False,False
subject-13,2,33,restrictive,4,False,False,False,False
subject-13,3,30,non-restrictive,1,False,False,False,False
subject-13,4,15,restrictive,2,False,False,False,False
subject-13,5,38,non-restrictive,1,True,True,False,False
subject-13,6,39,restrictive,2,False,False,True,False
subject-13,7,23,restrictive,2,False,False,False,False
subject-13,8,41,restrictive,4,True,False,True,False
subject-13,9,8,non-restrictive,3,True,False,True,False
subject-13,10,13,restrictive,4,True,False,True,True
subject-13,11,35,restrictive,2,False,False,True,False
subject-13,12,42,non-restrictive,1,True,False,True,False
subject-13,13,24,non-restrictive,3,False,False,False,False
subject-13,14,9,restrictive,4,True,False,True,False
subject-13,15,0,non-restrictive,3,False,False,False,False
subject-13,16,43,restrictive,2,True,False,True,False
subject-13,17,6,non-restrictive,1,True,False,True,False
subject-13,18,37,restrictive,4,True,False,True,False
subject-13,19,17,restrictive,4,True,False,True,False
subject-13,20,31,restrictive,2,True,False,True,False
subject-13,21,46,non-restrictive,1,True,True,True,True
subject-13,22,16,non-restrictive,3,False,False,False,False
subject-13,23,12,non-restrictive,3,True,True,True,True
subject-13,24,7,restrictive,2,True,False,True,True
subject-13,25,47,restrictive,2,False,False,True,False
subject-13,26,44,non-restrictive,3,False,False,False,False
subject-13,27,28,non-restrictive,3,False,False,False,False
subject-13,28,14,non-restrictive,1,True,False,True,False
subject-13,29,22,non-restrictive,1,True,False,True,False
subject-13,30,18,non-restrictive,1,True,True,True,True
subject-13,31,10,non-restrictive,1,False,False,False,False
subject-13,32,19,restrictive,2,True,False,True,False
subject-13,33,25,restrictive,4,False,False,True,False
subject-13,34,1,restrictive,4,True,False,True,False
subject-13,35,45,restrictive,4,True,False,True,True
subject-13,36,26,non-restrictive,1,True,False,True,False
subject-13,37,29,restrictive,4,False,False,False,False
subject-13,38,4,non-restrictive,3,True,False,True,False
subject-13,39,32,non-restrictive,3,True,False,True,False
subject-13,40,40,non-restrictive,3,True,True,True,True
subject-13,41,48,non-restrictive,3,False,False,False,False
subject-13,42,3,restrictive,2,True,True,True,True
subject-13,43,36,non-restrictive,3,False,False,False,False
subject-13,44,34,non-restrictive,1,True,False,True,True
subject-13,45,49,restrictive,4,True,True,True,True
subject-13,46,5,restrictive,4,True,False,True,False
subject-13,47,27,restrictive,2,False,False,False,False
subject-13,48,20,non-restrictive,3,False,False,False,False
subject-13,49,21,restrictive,4,True,False,True,False
subject-14,0,33,non-restrictive,1,True,False,True,False
subject-14,1,45,non-restrictive,1,True,False,True,True
subject-14,2,2,restrictive,2,False,False,True,False
subject-14,3,36,restrictive,4,True,False,True,False
subject-14,4,13,non-restrictive,1,True,False,True,False
subject-14,5,46,restrictive,2,False,False,True,False
subject-14,6,28,restrictive,4,True,False,True,False
subject-14,7,10,restrictive,2,True,True,True,True
subject-14,8,32,restrictive,4,True,False,True,False
subject-14,9,31,non-restrictive,3,True,False,True,True
subject-14,10,25,non-restrictive,1,True,False,True,False
subject-14,11,47,non-restrictive,3,True,True,True,True
subject-14,12,3,non-restrictive,3,True,False,True,False
subject-14,13,48,restrictive,4,False,False,True,False
subject-14,14,6,restrictive,2,True,False,True,False
subject-14,15,4,restrictive,4,True,False,True,False
subject-14,16,21,non-restrictive,1,False,False,False,False
subject-14,17,0,restrictive,4,True,False,True,False
subject-14,18,39,non-restrictive,3,True,False,True,False
subject-14,19,37,non-restrictive,1,True,False,False,False
subject-14,20,16,restrictive,4,False,False,False,False
subject-14,21,8,restrictive,4,False,False,False,False
subject-14,22,18,restrictive,2,True,False,True,False
subject-14,23,7,non-restrictive,3,False,False,False,False
subject-14,24,24,restrictive,4,True,True,True,True
subject-14,25,12,restrictive,4,True,False,True,False
subject-14,26,19,non-restrictive,3,False,False,False,False
subject-14,27,11,non-restrictive,3,False,False,False,False
subject-14,28,20,restrictive,4,False,False,False,False
subject-14,29,30,restrictive,2,True,False,True,False
subject-14,30,14,restrictive,2,True,False,True,False
subject-14,32,22,restrictive,2,False,False,False,False
subject-14,33,5,non-restrictive,1,True,False,True,False
subject-14,34,35,non-restrictive,3,True,False,True,False
subject-14,35,29,non-restrictive,1,True,False,True,False
subject-14,36,17,non-restrictive,1,False,False,False,False
subject-14,37,27,non-restrictive,3,False,False,True,False
subject-14,38,40,restrictive,4,False,False,False,False
subject-14,39,44,restrictive,4,True,False,True,False
subject-14,40,49,non-restrictive,1,False,False,False,False
subject-14,41,23,non-restrictive,3,True,False,True,False
subject-14,42,9,non-restrictive,1,False,False,False,False
subject-14,43,1,non-restrictive,1,True,False,True,False
subject-14,44,38,restrictive,2,False,False,True,True
subject-14,45,26,restrictive,2,True,True,True,True
subject-14,46,43,non-restrictive,3,True,False,True,False
subject-14,47,41,non-restrictive,1,True,False,True,False
subject-14,48,42,restrictive,2,False,False,False,False
subject-14,49,15,non-restrictive,3,True,False,True,False
subject-15,0,0,non-restrictive,4,True,False,True,False
subject-15,1,29,restrictive,1,True,False,True,False
subject-15,2,36,non-restrictive,4,True,False,True,False
subject-15,3,43,restrictive,3,True,False,True,False
subject-15,4,11,restrictive,3,True,False,True,False
subject-15,5,34,non-restrictive,2,True,False,True,False
subject-15,6,42,non-restrictive,2,True,False,True,False
subject-15,7,44,non-restrictive,4,False,False,False,False
subject-15,8,14,non-restrictive,2,False,False,True,False
subject-15,9,48,non-restrictive,4,True,False,True,False
subject-15,10,45,restrictive,1,True,False,True,False
subject-15,11,47,restrictive,3,True,False,True,False
subject-15,12,39,restrictive,3,False,False,True,False
subject-15,13,7,restrictive,3,False,False,True,False
subject-15,14,38,non-restrictive,2,False,False,False,False
subject-15,15,25,restrictive,1,True,False,True,False
subject-15,16,12,non-restrictive,4,True,False,True,False
subject-15,17,6,non-restrictive,2,True,False,True,False
subject-15,18,41,restrictive,1,True,False,True,False
subject-15,19,10,non-restrictive,2,True,False,True,False
subject-15,20,37,restrictive,1,True,False,True,False
subject-15,21,5,restrictive,1,True,False,True,False
subject-15,22,9,restrictive,1,True,False,True,False
subject-15,23,13,restrictive,1,True,False,True,False
subject-15,24,1,restrictive,1,True,False,True,False
subject-15,25,26,non-restrictive,2,True,False,True,False
subject-15,26,33,restrictive,1,True,False,True,False
subject-15,27,28,non-restrictive,4,True,False,True,False
subject-15,28,35,restrictive,3,False,False,True,False
subject-15,29,27,restrictive,3,True,False,True,False
subject-15,30,46,non-restrictive,2,True,False,True,False
subject-15,31,40,non-restrictive,4,True,False,True,False
subject-15,32,32,non-restrictive,4,True,False,True,False
subject-15,33,8,non-restrictive,4,True,False,True,False
subject-15,34,4,non-restrictive,4,False,False,True,False
subject-15,35,16,non-restrictive,4,True,False,True,False
subject-15,36,17,restrictive,1,True,False,True,False
subject-15,37,31,restrictive,3,True,False,True,False
subject-15,38,19,restrictive,3,True,False,True,False
subject-15,39,24,non-restrictive,4,True,False,True,False
subject-15,40,30,non-restrictive,2,True,False,True,False
subject-15,41,2,non-restrictive,2,True,False,True,False
subject-15,42,23,restrictive,3,True,False,True,False
subject-15,43,49,restrictive,1,True,False,True,False
subject-15,44,22,non-restrictive,2,False,False,False,False
subject-15,45,3,restrictive,3,True,False,True,False
subject-15,46,21,restrictive,1,True,False,True,False
subject-15,47,15,restrictive,3,True,False,True,False
subject-15,48,20,non-restrictive,4,True,False,True,False
subject-15,49,18,non-restrictive,2,True,False,True,False
subject-16,0,14,restrictive,3,True,False,True,False
subject-16,1,27,non-restrictive,4,True,False,True,False
subject-16,2,20,restrictive,1,True,False,True,False
subject-16,3,44,restrictive,1,True,True,True,True
subject-16,4,7,non-restrictive,4,False,False,False,False
subject-16,5,5,non-restrictive,2,True,True,True,True
subject-16,6,6,restrictive,3,True,False,True,False
subject-16,7,36,restrictive,1,True,False,True,False
subject-16,8,49,non-restrictive,2,True,True,True,True
subject-16,9,11,non-restrictive,4,True,False,True,False
subject-16,10,37,non-restrictive,2,False,False,True,False
subject-16,11,33,non-restrictive,2,True,False,True,False
subject-16,12,18,restrictive,3,True,False,True,False
subject-16,13,46,restrictive,3,False,False,True,False
subject-16,14,31,non-restrictive,4,True,False,True,False
subject-16,15,29,non-restrictive,2,True,False,True,False
subject-16,16,24,restrictive,1,True,False,True,False
subject-16,17,35,non-restrictive,4,True,False,True,False
subject-16,18,8,restrictive,1,True,False,True,False
subject-16,19,2,restrictive,3,False,False,True,False
subject-16,20,43,non-restrictive,4,True,False,True,False
subject-16,21,21,non-restrictive,2,True,False,True,False
subject-16,22,17,non-restrictive,2,False,False,True,False
subject-16,23,19,non-restrictive,4,True,False,True,False
subject-16,24,0,restrictive,1,True,False,True,False
subject-16,25,40,restrictive,1,True,False,True,False
subject-16,26,9,non-restrictive,2,False,False,False,False
subject-16,27,15,non-restrictive,4,True,False,True,False
subject-16,28,32,restrictive,1,True,False,True,False
subject-16,29,48,restrictive,1,True,False,True,False
subject-16,30,28,restrictive,1,True,True,True,True
subject-16,31,23,non-restrictive,4,True,False,True,False
subject-16,32,16,restrictive,1,True,False,True,False
subject-16,33,13,non-restrictive,2,True,False,True,False
subject-16,34,1,non-restrictive,2,True,False,True,False
subject-16,35,45,non-restrictive,2,True,True,True,True
subject-16,37,12,restrictive,1,True,False,True,False
subject-16,38,25,non-restrictive,2,True,False,True,False
subject-16,39,3,non-restrictive,4,True,False,True,False
subject-16,40,38,restrictive,3,True,False,True,False
subject-16,41,26,restrictive,3,True,False,True,False
subject-16,42,30,restrictive,3,True,False,True,False
subject-16,43,4,restrictive,1,True,False,True,False
subject-16,44,42,restrictive,3,True,False,True,False
subject-16,45,10,restrictive,3,True,False,True,False
subject-16,46,39,non-restrictive,4,True,False,True,False
subject-16,47,41,non-restrictive,2,True,False,True,False
subject-16,48,47,non-restrictive,4,True,False,True,False
subject-16,49,22,restrictive,3,False,False,True,False
subject-17,0,36,non-restrictive,1,False,False,False,False
subject-17,1,3,restrictive,4,True,True,True,True
subject-17,2,11,restrictive,4,True,False,True,False
subject-17,3,48,non-restrictive,1,True,False,True,False
subject-17,4,9,restrictive,2,True,False,True,False
subject-17,5,41,restrictive,2,True,False,True,False
subject-17,6,34,non-restrictive,3,True,False,True,False
subject-17,7,31,restrictive,4,True,False,True,False
subject-17,8,30,non-restrictive,3,False,False,True,False
subject-17,9,44,non-restrictive,1,True,False,True,False
subject-17,10,37,restrictive,2,True,False,True,False
subject-17,11,15,restrictive,4,True,False,True,False
subject-17,12,24,non-restrictive,1,True,False,True,False
subject-17,13,27,restrictive,4,False,False,True,False
subject-17,14,20,non-restrictive,1,True,False,True,False
subject-17,15,40,non-restrictive,1,True,False,True,False
subject-17,16,14,non-restrictive,3,False,False,False,False
subject-17,17,33,restrictive,2,True,False,True,True
subject-17,18,10,non-restrictive,3,False,False,True,True
subject-17,19,49,restrictive,2,True,False,True,False
subject-17,20,38,non-restrictive,3,False,False,True,False
subject-17,21,19,restrictive,4,True,False,True,False
subject-17,22,29,restrictive,2,False,False,True,False
subject-17,23,32,non-restrictive,1,True,False,True,False
subject-17,24,5,restrictive,2,True,True,True,True
subject-17,25,8,non-restrictive,1,True,False,True,False
subject-17,26,4,non-restrictive,1,True,False,True,False
subject-17,27,45,restrictive,2,True,False,True,False
subject-17,28,42,non-restrictive,3,True,False,True,False
subject-17,29,46,non-restrictive,3,True,False,True,False
subject-17,30,25,restrictive,2,False,False,False,False
subject-17,31,17,restrictive,2,True,True,True,True
subject-17,32,35,restrictive,4,True,False,True,False
subject-17,33,6,non-restrictive,3,False,False,True,False
subject-17,34,47,restrictive,4,True,False,True,False
subject-17,35,12,non-restrictive,1,True,False,True,False
subject-17,36,28,non-restrictive,1,True,False,True,True
subject-17,37,23,restrictive,4,False,False,False,False
subject-17,38,21,restrictive,2,True,False,True,False
subject-17,39,22,non-restrictive,3,False,False,True,False
subject-17,40,1,restrictive,2,True,False,True,False
subject-17,41,13,restrictive,2,True,True,True,True
subject-17,42,2,non-restrictive,3,False,False,True,False
subject-17,43,7,restrictive,4,True,False,True,False
subject-17,44,39,restrictive,4,True,False,True,False
subject-17,45,0,non-restrictive,1,True,False,True,False
subject-17,46,26,non-restrictive,3,True,False,True,False
subject-17,47,43,restrictive,4,True,False,True,True
subject-17,48,18,non-restrictive,3,True,False,True,False
subject-17,49,16,non-restrictive,1,True,False,True,False
subject-18,0,14,restrictive,4,True,False,True,False
subject-18,1,22,restrictive,4,True,False,True,False
subject-18,2,4,restrictive,2,True,False,True,False
subject-18,3,39,non-restrictive,1,False,False,False,False
subject-18,4,19,non-restrictive,1,True,False,True,False
subject-18,5,12,restrictive,2,True,False,True,False
subject-18,6,32,restrictive,2,True,False,True,False
subject-18,7,28,restrictive,2,True,False,True,True
subject-18,8,45,non-restrictive,3,True,False,True,False
subject-18,9,15,non-restrictive,1,True,False,True,False
subject-18,10,41,non-restrictive,3,True,False,True,False
subject-18,11,25,non-restrictive,3,False,False,False,False
subject-18,12,44,restrictive,2,True,False,True,False
subject-18,13,49,non-restrictive,3,True,True,True,True
subject-18,14,1,non-restrictive,3,True,False,True,False
subject-18,15,46,restrictive,4,True,False,True,False
subject-18,16,21,non-restrictive,3,True,False,True,False
subject-18,17,10,restrictive,4,True,True,True,True
subject-18,18,8,restrictive,2,True,False,True,False
subject-18,19,26,restrictive,4,True,False,True,False
subject-18,20,27,non-restrictive,1,True,False,True,False
subject-18,21,5,non-restrictive,3,False,False,True,False
subject-18,22,17,non-restrictive,3,False,False,True,False
subject-18,23,0,restrictive,2,True,False,True,False
subject-18,24,42,restrictive,4,True,False,True,False
subject-18,25,29,non-restrictive,3,True,False,True,True
subject-18,26,40,restrictive,2,True,False,True,False
subject-18,27,18,restrictive,4,True,False,True,False
subject-18,28,36,restrictive,2,True,False,True,False
subject-18,29,11,non-restrictive,1,True,False,True,False
subject-18,30,33,non-restrictive,3,False,False,True,False
subject-18,31,30,restrictive,4,False,False,False,False
subject-18,32,47,non-restrictive,1,True,False,True,False
subject-18,33,37,non-restrictive,3,True,False,True,False
subject-18,34,3,non-restrictive,1,True,False,True,False
subject-18,35,6,restrictive,4,True,False,True,False
subject-18,36,38,restrictive,4,False,False,False,False
subject-18,37,43,non-restrictive,1,True,False,True,False
subject-18,38,9,non-restrictive,3,False,False,False,False
subject-18,40,2,restrictive,4,False,False,True,False
subject-18,41,13,non-restrictive,3,True,False,True,False
subject-18,42,7,non-restrictive,1,True,False,True,False
subject-18,43,16,restrictive,2,True,False,True,False
subject-18,44,48,restrictive,2,True,False,True,False
subject-18,45,23,non-restrictive,1,True,False,True,False
subject-18,46,24,restrictive,2,True,False,True,False
subject-18,47,35,non-restrictive,1,True,False,True,False
subject-18,48,31,non-restrictive,1,True,False,True,False
subject-18,49,20,restrictive,2,True,False,True,False
subject-19,0,48,non-restrictive,2,True,False,True,False
subject-19,1,31,restrictive,1,True,False,True,False
subject-19,2,23,restrictive,1,True,False,True,False
subject-19,3,40,non-restrictive,2,True,False,True,False
subject-19,4,36,non-restrictive,2,True,False,True,False
subject-19,5,35,restrictive,1,True,False,True,False
subject-19,6,33,restrictive,3,True,False,True,True
subject-19,7,37,restrictive,3,True,False,True,False
subject-19,8,44,non-restrictive,2,True,True,True,True
subject-19,9,5,restrictive,3,True,True,True,True
subject-19,10,27,restrictive,1,False,False,False,False
subject-19,11,29,restrictive,3,True,False,True,False
subject-19,12,17,restrictive,3,True,False,True,False
subject-19,13,6,non-restrictive,4,True,False,True,False
subject-19,14,11,restrictive,1,True,False,True,False
subject-19,15,20,non-restrictive,2,True,False,True,False
subject-19,16,42,non-restrictive,4,True,False,True,False
