subject_id,condition,rawsample_prop_pos1,rawsample_prop_pos2,rawsample_prop_pos3,rawsample_prop_pos4,saccade_prop_pos1,saccade_prop_pos2,saccade_prop_pos3,saccade_prop_pos4
subject-1,non-restrictive,0.0,0.0,1.0,0.0,,,,
subject-1,restrictive,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0
subject-2,non-restrictive,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5
subject-2,restrictive,0.056,0.572,0.0,0.372,0.25,0.75,0.0,0.0
subject-3,non-restrictive,0.277,0.272,0.125,0.326,0.188,0.375,0.125,0.312
subject-3,restrictive,0.3,0.1,0.5,0.1,0.429,0.0,0.571,0.0
subject-4,non-restrictive,0.294,0.368,0.303,0.035,0.333,0.264,0.319,0.083
subject-4,restrictive,0.274,0.094,0.509,0.123,0.306,0.111,0.375,0.208
subject-5,non-restrictive,0.125,0.233,0.517,0.125,0.25,0.25,0.5,0.0
subject-5,restrictive,0.13,0.207,0.457,0.206,0.2,0.2,0.2,0.4
