subject_id,condition,n_trials,pct_on_target,mean_latency_ms
subject-1,non-restrictive,24,25.0,371.0
subject-1,restrictive,25,8.0,402.0
subject-10,non-restrictive,24,12.5,883.0
subject-10,restrictive,23,30.4,832.0
subject-11,non-restrictive,24,8.3,711.0
subject-11,restrictive,24,41.7,646.0
subject-12,non-restrictive,25,16.0,688.0
subject-12,restrictive,23,17.4,573.0
subject-13,non-restrictive,19,21.1,441.0
subject-13,restrictive,21,14.3,457.0
subject-14,non-restrictive,22,9.1,658.0
subject-14,restrictive,24,29.2,628.0
subject-15,non-restrictive,25,28.0,1062.0
subject-15,restrictive,25,44.0,982.0
subject-16,non-restrictive,23,30.4,925.0
subject-16,restrictive,24,33.3,822.0
subject-17,non-restrictive,25,12.0,493.0
subject-17,restrictive,25,36.0,387.0
subject-18,non-restrictive,24,20.8,859.0
subject-18,restrictive,24,41.7,907.0
subject-19,non-restrictive,24,20.8,685.0
subject-19,restrictive,24,54.2,749.0
subject-2,non-restrictive,23,17.4,1008.0
subject-2,restrictive,21,42.9,833.0
subject-20,non-restrictive,21,14.3,984.0
subject-20,restrictive,17,23.5,958.0
subject-21,non-restrictive,25,16.0,676.0
subject-21,restrictive,25,40.0,742.0
subject-22,non-restrictive,23,8.7,882.0
subject-22,restrictive,22,50.0,940.0
subject-23,non-restrictive,23,0.0,422.0
subject-23,restrictive,25,8.0,486.0
subject-3,non-restrictive,24,37.5,1019.0
subject-3,restrictive,22,54.5,823.0
subject-4,non-restrictive,25,24.0,806.0
subject-4,restrictive,24,20.8,571.0
subject-5,non-restrictive,23,30.4,933.0
subject-5,restrictive,23,43.5,812.0
subject-6,non-restrictive,22,31.8,941.0
subject-6,restrictive,23,8.7,887.0
subject-7,non-restrictive,25,20.0,911.0
subject-7,restrictive,25,20.0,741.0
subject-8,non-restrictive,23,13.0,608.0
subject-8,restrictive,24,25.0,705.0
subject-9,non-restrictive,25,28.0,502.0
subject-9,restrictive,25,32.0,369.0
