subject_id,trial,sentence_id,condition,sentence,target_position,n_saccades_detected,n_saccades_after_verb_onset,first_saccade_latency_s,first_saccade_duration_s,first_saccade_peak_vel_deg_s,first_saccade_landing_aoi,first_saccade_is_target,first_saccade_is_object,rawsample_prop_pos1,saccade_prop_pos1,rawsample_prop_pos2,saccade_prop_pos2,rawsample_prop_pos3,saccade_prop_pos3,rawsample_prop_pos4,saccade_prop_pos4,prop_target_critical_window,saccade_prop_target,no_object_gaze_critical_window,n_saccades_landed_critical_window,target_object,first_saccade_chosen_object,critical_window_favors_target,methods_agree
subject-1,5,4,non-restrictive,The boy will throw the ball,1,8,4,0.1514,0.0464,287.9,pos1,True,True,1.0,,0.0,,0.0,,0.0,,1.0,,False,0,ball,ball,True,True
subject-1,7,23,restrictive,The girl will knit the scarf,4,11,5,0.2723,0.0469,374.5,elsewhere,False,False,1.0,,0.0,,0.0,,0.0,,0.0,,False,1,scarf,elsewhere,False,True
subject-1,8,19,restrictive,The chef will slice the bread,4,11,2,0.1109,0.0535,486.4,elsewhere,False,False,0.0,,0.0,,0.0,,1.0,,1.0,,False,0,bread,elsewhere,True,False
subject-1,12,8,non-restrictive,The woman will dust the piano,1,11,6,0.1495,0.0537,404.8,pos1,True,True,1.0,,0.0,,0.0,,0.0,,1.0,,False,1,piano,piano,True,True
subject-1,15,20,non-restrictive,The baby will grab the kitten,1,13,3,0.6155,0.0469,365.3,pos1,True,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,1,kitten,kitten,True,True
subject-1,17,1,restrictive,The woman will drink the wine,2,9,2,0.1763,0.0737,326.7,pos1,False,True,1.0,,0.0,,0.0,,0.0,,0.0,,False,0,wine,lipstick,False,True
subject-1,19,3,restrictive,The woman will bathe the baby,4,11,3,0.5426,0.0474,380.4,elsewhere,False,False,0.0,,0.0,,0.0,,1.0,,1.0,,False,1,baby,elsewhere,True,False
subject-1,22,16,non-restrictive,The woman will  carry the dress,1,15,4,0.117,0.0535,296.2,pos4,False,True,0.0,,0.0,,0.0,,1.0,,0.0,,False,1,dress,ribbon,False,True
subject-1,23,18,non-restrictive,The boy will touch the football,3,11,1,0.2069,0.0535,446.3,pos3,True,True,0.0,,0.0,,1.0,,0.0,,1.0,,False,0,football,football,True,True
subject-1,25,13,restrictive,The man will smoke the cigarettes,2,14,2,0.4329,0.0464,358.9,pos2,True,True,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,False,1,cigarettes,cigarettes,True,True
subject-1,26,24,non-restrictive,The girl will lift the rabbit,1,13,3,0.2349,0.0535,410.5,pos1,True,True,1.0,,0.0,,0.0,,0.0,,1.0,,False,0,rabbit,rabbit,True,True
subject-1,27,42,non-restrictive,The woman will wash the shirt,3,11,5,0.0816,0.0198,428.2,elsewhere,False,False,0.6393,,0.0,,0.2009,,0.1598,,0.2009,,False,2,shirt,elsewhere,False,True
subject-1,28,12,non-restrictive,The man will watch the boat,1,11,4,0.5543,0.0669,286.9,pos3,False,True,0.0,,0.0,,1.0,,0.0,,0.0,,False,0,boat,sun,False,True
subject-1,31,10,non-restrictive,The man will wipe the washing machine,3,13,4,0.8604,0.0537,344.5,subject,False,False,0.9779,0.0,0.0,0.0,0.0,0.0,0.0221,1.0,0.0,0.0,False,2,washing-machine,subject,False,True
subject-1,33,37,restrictive,The boy will peel the banana,2,15,5,0.6227,0.0271,124.7,elsewhere,False,False,1.0,,0.0,,0.0,,0.0,,0.0,,False,0,banana,elsewhere,False,True
subject-1,34,31,restrictive,The woman will open the bottle,4,15,3,0.4449,0.0139,321.5,pos3,False,True,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,1,bottle,seed,False,True
subject-1,35,28,non-restrictive,The cat will push the milk,1,14,4,0.315,0.04,347.2,elsewhere,False,False,0.0,,0.0,,1.0,,0.0,,0.0,,False,1,milk,elsewhere,False,True
subject-1,36,33,restrictive,The boy will unzip the suitcase,2,11,3,0.284,0.0337,320.7,subject,False,False,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1,suitcase,subject,False,True
subject-1,37,25,restrictive,The man will paint the canvas,2,17,6,0.3338,0.0464,227.8,pos4,False,True,0.0,0.0,0.0,0.0,0.3341,0.0,0.6659,1.0,0.0,0.0,False,1,canvas,peach,False,True
subject-1,39,14,non-restrictive,The boy will feed the dog,3,14,7,0.0755,0.0469,426.2,pos1,False,True,0.8544,,0.1456,,0.0,,0.0,,0.0,,False,1,dog,ball,False,True
subject-1,40,35,restrictive,The girl will apply the mascara,4,17,7,0.0919,0.0269,418.4,elsewhere,False,False,0.0,,0.0,,1.0,,0.0,,0.0,,False,0,mascara,elsewhere,False,True
subject-1,41,44,non-restrictive,The baker will inspect the dough,1,10,3,0.1651,0.0537,409.5,pos1,True,True,1.0,,0.0,,0.0,,0.0,,1.0,,False,0,dough,dough,True,True
subject-1,43,34,non-restrictive,The boy will move the radio,3,13,4,0.2381,0.0403,530.6,elsewhere,False,False,0.0,,0.0,,1.0,,0.0,,1.0,,False,1,radio,elsewhere,True,False
subject-1,44,47,restrictive,The girl will vacuum the carpet,4,7,3,0.1812,0.0737,358.1,pos2,False,True,0.2095,,0.7905,,0.0,,0.0,,0.0,,False,0,carpet,roller,False,True
subject-1,45,45,restrictive,The chef will grate the carrot,2,14,5,0.6527,0.0334,267.9,pos2,True,True,1.0,,0.0,,0.0,,0.0,,0.0,,False,0,carrot,carrot,False,False
subject-1,46,26,non-restrictive,The woman will blow grab the candle,3,12,4,0.336,0.0205,269.6,elsewhere,False,False,0.0,,1.0,,0.0,,0.0,,0.0,,False,0,candle,elsewhere,False,True
subject-1,47,41,restrictive,The boy will squeeze the orange,2,9,5,0.8619,0.0335,285.3,pos3,False,True,0.0,,1.0,,0.0,,0.0,,1.0,,False,0,orange,stone,True,False
subject-1,49,40,non-restrictive,The girl will hold the blouse,1,11,6,0.0682,0.0403,538.5,pos4,False,True,0.0,0.0,0.0,0.0,0.8182,1.0,0.1818,0.0,0.0,0.0,False,1,blouse,iron,False,True
subject-10,2,45,non-restrictive,The chef will carry the carrot,3,13,1,0.4671,0.0399,637.2,pos3,True,True,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,False,1,carrot,carrot,True,True
subject-10,6,39,non-restrictive,The boy will move the shoelace,1,7,5,0.2544,0.0335,244.8,pos3,False,True,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,1,shoelace,mat,False,True
subject-10,21,10,restrictive,The man will repair the washing machine,4,8,2,1.066,0.0406,346.1,pos3,False,True,0.0,0.0,0.0,0.0,0.6998,1.0,0.3002,0.0,0.3002,0.0,False,2,washing-machine,wastebin,True,False
subject-11,0,10,non-restrictive,The man will wipe the washing machine,4,12,2,0.9748,0.0402,305.2,elsewhere,False,False,0.0,0.0,0.0,0.0,0.8294,0.0,0.1706,1.0,0.1706,1.0,False,2,washing-machine,elsewhere,False,True
subject-11,1,32,non-restrictive,The woman will carry the beer,2,16,4,0.2582,0.0536,350.7,pos1,False,True,0.7966,,0.2034,,0.0,,0.0,,0.2034,,False,1,beer,kettle,False,True
subject-11,3,43,restrictive,The man will lock the safe,1,11,4,0.3599,0.0333,307.7,elsewhere,False,False,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,2,safe,elsewhere,False,True
subject-11,8,5,restrictive,The hiker will climb the mountain,3,11,2,0.4358,0.0469,428.5,elsewhere,False,False,0.0,,0.0,,1.0,,0.0,,1.0,,False,1,mountain,elsewhere,True,False
subject-11,9,29,restrictive,The grandmother will read the newspaper,3,10,3,0.3605,0.0468,236.3,pos1,False,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1,newspaper,eraser,False,True
subject-11,13,2,non-restrictive,The policeman will search the man,4,13,3,0.0129,0.0269,297.1,pos1,False,True,1.0,,0.0,,0.0,,0.0,,0.0,,False,0,man,car,False,True
subject-11,15,16,non-restrictive,The woman will  carry the dress,2,8,4,0.2979,0.0401,441.2,pos3,False,True,0.0,,0.0,,1.0,,0.0,,0.0,,False,0,dress,lantern,False,True
subject-11,16,9,restrictive,The woman will read the book,3,10,2,0.0136,0.0536,322.4,pos2,False,True,0.0,0.0,0.7027,0.0,0.2973,1.0,0.0,0.0,0.2973,1.0,False,1,book,bag,True,False
subject-11,18,6,non-restrictive,The housewife will  wash the mushrooms,4,11,4,0.536,0.0334,359.9,subject,False,False,0.0,,0.0,,1.0,,0.0,,0.0,,False,1,mushrooms,subject,False,True
subject-11,19,21,restrictive,The woman will water the flower,3,11,4,0.4934,0.0469,377.4,elsewhere,False,False,0.0,,0.0,,1.0,,0.0,,1.0,,False,1,flower,elsewhere,True,False
subject-11,20,27,restrictive,The boy will dim the lamp,1,8,4,0.0662,0.0268,290.2,elsewhere,False,False,0.0,0.0,0.7313,1.0,0.2687,0.0,0.0,0.0,0.0,0.0,False,1,lamp,elsewhere,False,True
subject-11,21,26,non-restrictive,The woman will blow grab the candle,4,12,4,0.2552,0.0274,291.0,subject,False,False,0.0,,0.0,,1.0,,0.0,,0.0,,False,0,candle,subject,False,True
subject-11,23,24,non-restrictive,The girl will lift the rabbit,2,6,3,0.007,0.0403,376.9,pos4,False,True,0.0,,0.0,,0.0,,1.0,,0.0,,False,0,rabbit,potato,False,True
subject-11,24,20,non-restrictive,The baby will grab the kitten,2,11,2,1.4264,0.06,293.1,elsewhere,False,False,1.0,,0.0,,0.0,,0.0,,0.0,,False,0,kitten,elsewhere,False,True
subject-11,26,8,non-restrictive,The woman will dust the piano,2,9,3,0.2769,0.0266,229.7,pos2,True,True,0.0,,1.0,,0.0,,0.0,,1.0,,False,0,piano,piano,True,True
subject-11,27,42,non-restrictive,The woman will wash the shirt,4,11,4,0.7448,0.0267,168.0,pos2,False,True,0.0,,0.0,,1.0,,0.0,,0.0,,False,0,shirt,chalk,False,True
subject-11,32,48,non-restrictive,The child will carry the balloon,2,4,2,0.0896,0.0469,222.5,pos3,False,True,0.0,,0.0,,1.0,,0.0,,0.0,,False,0,balloon,pump,False,True
subject-11,33,36,non-restrictive,The kid will stack the lego,2,8,3,1.0212,0.0335,373.2,pos4,False,True,0.0,,0.0,,1.0,,0.0,,0.0,,False,0,lego,boxes,False,True
subject-11,39,33,restrictive,The boy will unzip the suitcase,3,10,2,0.7532,0.0469,296.2,pos3,True,True,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,False,1,suitcase,suitcase,True,True
subject-11,45,49,restrictive,The man will lick the stamp,3,12,4,0.2993,0.0272,168.5,pos1,False,True,0.6106,1.0,0.3894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1,stamp,rubberband,False,True
subject-11,48,13,restrictive,The man will smoke the cigarettes,3,14,2,0.9082,0.0333,156.2,elsewhere,False,False,0.0,,0.0,,1.0,,0.0,,1.0,,False,0,cigarettes,elsewhere,True,False
subject-12,9,18,restrictive,The boy will kick the football,1,7,3,0.6743,0.0334,217.1,pos3,False,True,0.0,,1.0,,0.0,,0.0,,0.0,,False,0,football,feather,False,True
subject-12,26,33,non-restrictive,The boy will open the suitcase,4,10,2,0.9731,0.0606,244.5,elsewhere,False,False,0.0,,0.0,,1.0,,0.0,,0.0,,False,0,suitcase,elsewhere,False,True
subject-12,28,11,non-restrictive,The baby will kick the bell,2,13,6,0.1546,0.0339,149.8,pos2,True,True,0.0,,0.9714,,0.0286,,0.0,,0.9714,,False,1,bell,bell,True,True
subject-12,29,2,restrictive,The policeman will arrest the man,1,10,5,0.0396,0.02,111.7,subject,False,False,0.2107,,0.7893,,0.0,,0.0,,0.2107,,False,1,man,subject,False,True
subject-12,30,10,restrictive,The man will repair the washing machine,1,10,4,0.5572,0.0402,293.6,elsewhere,False,False,1.0,,0.0,,0.0,,0.0,,1.0,,False,2,washing-machine,elsewhere,True,False
subject-12,35,14,restrictive,The boy will walk the dog,1,7,2,0.3227,0.0333,201.5,pos3,False,True,0.0,0.0,0.1658,0.0,0.8342,1.0,0.0,0.0,0.0,0.0,False,1,dog,ball,False,True
subject-12,39,9,non-restrictive,The woman will open the book,4,8,3,0.0083,0.0535,301.7,pos3,False,True,0.0,0.0,0.7502,0.5,0.2498,0.5,0.0,0.0,0.0,0.0,False,2,book,bag,False,True
subject-12,49,8,restrictive,The woman will play the piano,3,8,1,1.9524,0.0532,317.6,subject,False,False,0.0,,0.0,,1.0,,0.0,,1.0,,False,0,piano,subject,True,False
subject-13,5,38,non-restrictive,The woman will carry the apron,1,8,6,0.0499,0.0738,268.3,elsewhere,False,False,0.5925,,0.4075,,0.0,,0.0,,0.5925,,False,1,apron,elsewhere,True,False
subject-13,8,41,restrictive,The boy will squeeze the orange,4,8,3,0.2586,0.0134,147.6,pos3,False,True,0.0,,0.0,,1.0,,0.0,,0.0,,False,0,orange,shell,False,True
subject-13,9,8,non-restrictive,The woman will dust the piano,3,8,1,0.9734,0.0602,247.9,pos3,True,True,1.0,,0.0,,0.0,,0.0,,0.0,,False,0,piano,piano,False,False
subject-13,10,13,restrictive,The man will smoke the cigarettes,4,8,3,0.513,0.0269,206.5,elsewhere,False,False,0.0,,0.0,,0.6895,,0.3105,,0.3105,,False,1,cigarettes,elsewhere,True,False
subject-13,11,35,restrictive,The girl will apply the mascara,2,4,1,1.8734,0.0402,270.0,pos2,True,True,0.0,,1.0,,0.0,,0.0,,1.0,,False,0,mascara,mascara,True,True
subject-13,12,42,non-restrictive,The woman will wash the shirt,1,11,3,0.1758,0.0198,291.9,pos2,False,True,0.0,0.0,0.741,0.0,0.259,1.0,0.0,0.0,0.0,0.0,False,1,shirt,apple,False,True
subject-13,14,9,restrictive,The woman will read the book,4,9,4,0.1608,0.0137,138.6,pos3,False,True,0.0,,0.0,,1.0,,0.0,,0.0,,False,1,book,bag,False,True
subject-13,16,43,restrictive,The man will lock the safe,2,14,4,0.0116,0.0402,257.5,elsewhere,False,False,0.0,0.0,0.0,0.0,0.1265,0.0,0.8735,1.0,0.0,0.0,False,1,safe,elsewhere,False,True
subject-13,17,6,non-restrictive,The housewife will  wash the mushrooms,1,9,2,0.7436,0.0397,305.9,pos3,False,True,1.0,,0.0,,0.0,,0.0,,1.0,,False,0,mushrooms,weighing-scales,True,False
subject-13,18,37,restrictive,The boy will peel the banana,4,12,2,0.5017,0.0335,286.1,pos3,False,True,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,1,banana,key,False,True
subject-13,19,17,restrictive,The man will chop the wood,4,7,2,1.1436,0.0536,319.5,pos3,False,True,1.0,,0.0,,0.0,,0.0,,0.0,,False,0,wood,rope,False,True
subject-13,20,31,restrictive,The woman will open the bottle,2,10,4,0.1237,0.0402,223.2,pos3,False,True,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,1,bottle,lemon,False,True
subject-13,21,46,non-restrictive,The musician will move the violin,1,16,2,0.273,0.0536,241.0,pos1,True,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,1,violin,violin,True,True
subject-13,23,12,non-restrictive,The man will watch the boat,3,8,4,0.2522,0.034,244.9,pos3,True,True,0.0,,0.0,,1.0,,0.0,,1.0,,False,0,boat,boat,True,True
subject-13,24,7,restrictive,The doctor will inject the child,2,7,3,0.2043,0.0734,364.4,elsewhere,False,False,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,False,1,child,elsewhere,True,False
subject-13,29,22,non-restrictive,The girl will hang the coat,1,14,2,0.0689,0.0132,157.8,elsewhere,False,False,0.0,,1.0,,0.0,,0.0,,0.0,,False,0,coat,elsewhere,False,True
subject-13,30,18,non-restrictive,The boy will touch the football,1,16,5,0.2273,0.0267,236.6,elsewhere,False,False,0.7537,,0.2463,,0.0,,0.0,,0.7537,,False,1,football,elsewhere,True,False
subject-13,31,10,non-restrictive,The man will wipe the washing machine,1,13,4,0.2372,0.0469,279.6,pos4,False,True,0.0,0.0,0.4353,0.0,0.3704,0.5,0.1943,0.5,0.0,0.0,False,3,washing-machine,wastebin,False,True
subject-13,32,19,restrictive,The chef will slice the bread,2,11,4,0.4662,0.0402,208.7,elsewhere,False,False,0.0,,0.611,,0.389,,0.0,,0.611,,False,1,bread,elsewhere,True,False
subject-13,33,25,restrictive,The man will paint the canvas,4,10,2,0.1331,0.0866,238.9,elsewhere,False,False,1.0,,0.0,,0.0,,0.0,,0.0,,False,0,canvas,elsewhere,False,True
subject-13,34,1,restrictive,The woman will drink the wine,4,15,5,0.0154,0.0336,277.8,pos3,False,True,0.0,,0.0,,1.0,,0.0,,0.0,,False,0,wine,lipstick,False,True
subject-13,35,45,restrictive,The chef will grate the carrot,4,14,5,0.0303,0.04,256.2,elsewhere,False,False,0.0,0.0,0.0,0.0,0.0669,1.0,0.9331,0.0,0.9331,0.0,False,1,carrot,elsewhere,True,False
subject-13,38,4,non-restrictive,The boy will throw the ball,3,16,4,0.4059,0.0335,258.9,pos2,False,True,0.0,0.0,0.5122,1.0,0.4878,0.0,0.0,0.0,0.4878,0.0,False,1,ball,shuttle-cock,True,False
subject-13,39,32,non-restrictive,The woman will carry the beer,3,16,4,0.0778,0.0335,332.9,pos2,False,True,0.0,,0.8155,,0.0,,0.1845,,0.0,,False,1,beer,kettle,False,True
subject-13,40,40,non-restrictive,The girl will hold the blouse,3,12,3,0.1687,0.0402,225.0,pos3,True,True,0.0,,0.0,,1.0,,0.0,,1.0,,False,0,blouse,blouse,True,True
subject-13,42,3,restrictive,The woman will bathe the baby,2,11,1,0.0811,0.0468,227.2,pos2,True,True,0.0,,1.0,,0.0,,0.0,,1.0,,False,0,baby,baby,True,True
subject-13,43,36,non-restrictive,The kid will stack the lego,3,11,2,0.3852,0.0533,208.1,elsewhere,False,False,1.0,,0.0,,0.0,,0.0,,0.0,,False,1,lego,elsewhere,False,True
subject-13,44,34,non-restrictive,The boy will move the radio,1,20,6,0.0435,0.0268,350.4,subject,False,False,0.1117,0.0,0.8883,1.0,0.0,0.0,0.0,0.0,0.1117,0.0,False,2,radio,subject,False,True
subject-13,45,49,restrictive,The man will lick the stamp,4,10,3,0.1255,0.0537,253.0,elsewhere,False,False,0.0,,0.0,,0.0,,1.0,,1.0,,False,1,stamp,elsewhere,True,False
subject-13,49,21,restrictive,The woman will water the flower,4,9,3,0.2521,0.0402,313.9,pos2,False,True,0.0,,1.0,,0.0,,0.0,,0.0,,False,0,flower,vase,False,True
subject-14,1,45,non-restrictive,The chef will carry the carrot,1,17,6,0.2794,0.0335,222.3,subject,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,False,1,carrot,subject,False,True
subject-14,5,46,restrictive,The musician will tune the violin,2,12,3,0.0898,0.0471,390.9,pos3,False,True,0.0,,0.0,,1.0,,0.0,,0.0,,False,0,violin,bow,False,True
subject-14,6,28,restrictive,The cat will drink the milk,4,9,3,0.3379,0.0134,299.0,elsewhere,False,False,0.0,,1.0,,0.0,,0.0,,0.0,,False,1,milk,elsewhere,False,True
subject-14,7,10,restrictive,The man will repair the washing machine,2,15,7,0.7046,0.0335,314.5,pos2,True,True,0.3604,0.0,0.5772,0.5,0.0,0.0,0.0624,0.5,0.5772,0.5,False,3,washing-machine,washing-machine,True,True
subject-14,8,32,restrictive,The woman will brew the beer,4,11,3,0.8662,0.0469,182.3,pos2,False,True,0.0,,0.0,,1.0,,0.0,,0.0,,False,0,beer,biscuit,False,True
subject-14,9,31,non-restrictive,The woman will examine the bottle,3,15,5,0.7031,0.0536,337.8,elsewhere,False,False,0.0,,0.0,,0.0,,1.0,,0.0,,False,1,bottle,elsewhere,False,True
subject-14,11,47,non-restrictive,The girl will move the carpet,3,12,5,0.0921,0.0467,182.7,pos2,False,True,0.0,0.0,0.6571,0.0,0.3429,1.0,0.0,0.0,0.3429,1.0,False,1,carpet,footstool,True,False
subject-14,12,3,non-restrictive,The woman will touch the baby,3,10,4,0.5992,0.0735,336.5,pos1,False,True,0.0,,0.0,,0.0,,1.0,,0.0,,False,0,baby,stool,False,True
subject-14,13,48,restrictive,The child will inflate the balloon,4,17,6,0.5037,0.0405,363.2,subject,False,False,1.0,,0.0,,0.0,,0.0,,0.0,,False,1,balloon,subject,False,True
subject-14,16,21,non-restrictive,The woman will move the flower,1,11,2,0.5515,0.0402,222.3,subject,False,False,1.0,,0.0,,0.0,,0.0,,1.0,,False,0,flower,subject,True,False
