subject_id,condition,rawsample_prop_pos1,rawsample_prop_pos2,rawsample_prop_pos3,rawsample_prop_pos4,saccade_prop_pos1,saccade_prop_pos2,saccade_prop_pos3,saccade_prop_pos4
subject-1,non-restrictive,0.467,0.072,0.376,0.085,0.333,0.0,0.333,0.333
subject-1,restrictive,0.401,0.215,0.18,0.205,0.25,0.25,0.25,0.25
subject-10,non-restrictive,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
subject-10,restrictive,0.0,0.0,0.7,0.3,0.0,0.0,1.0,0.0
subject-11,non-restrictive,0.215,0.093,0.525,0.167,0.0,0.0,0.0,1.0
subject-11,restrictive,0.261,0.182,0.557,0.0,0.333,0.167,0.5,0.0
subject-12,non-restrictive,0.0,0.574,0.426,0.0,0.0,0.5,0.5,0.0
subject-12,restrictive,0.202,0.326,0.472,0.0,0.0,0.0,1.0,0.0
subject-13,non-restrictive,0.321,0.356,0.301,0.022,0.2,0.4,0.3,0.1
subject-13,restrictive,0.118,0.33,0.369,0.183,0.0,0.2,0.6,0.2
subject-14,non-restrictive,0.17,0.236,0.149,0.444,0.333,0.0,0.333,0.333
subject-14,restrictive,0.136,0.184,0.562,0.118,0.0,0.2,0.4,0.4
subject-15,non-restrictive,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0
subject-15,restrictive,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
subject-16,non-restrictive,0.0,0.667,0.333,0.0,0.0,0.667,0.333,0.0
subject-16,restrictive,0.0,0.0,0.0,1.0,,,,
subject-17,non-restrictive,0.23,0.061,0.284,0.424,0.0,0.5,0.0,0.5
subject-17,restrictive,0.1,0.357,0.252,0.291,0.0,0.143,0.571,0.286
subject-18,non-restrictive,0.0,0.0,1.0,0.0,,,,
subject-18,restrictive,0.0,1.0,0.0,0.0,,,,
subject-19,non-restrictive,0.625,0.25,0.121,0.004,0.0,0.0,1.0,0.0
subject-19,restrictive,0.556,0.0,0.266,0.178,0.0,0.0,1.0,0.0
subject-2,non-restrictive,,,,,,,,
subject-2,restrictive,,,,,,,,
subject-20,non-restrictive,0.5,0.25,0.25,0.0,0.0,1.0,0.0,0.0
subject-20,restrictive,0.0,0.0,0.0,1.0,,,,
subject-21,non-restrictive,0.206,0.294,0.0,0.5,0.0,1.0,0.0,0.0
subject-21,restrictive,0.25,0.25,0.5,0.0,0.0,0.5,0.5,0.0
subject-22,non-restrictive,0.333,0.667,0.0,0.0,1.0,0.0,0.0,0.0
subject-22,restrictive,,,,,,,,
subject-23,non-restrictive,0.209,0.469,0.158,0.164,0.0,0.25,0.5,0.25
subject-23,restrictive,0.091,0.419,0.399,0.091,0.333,0.333,0.333,0.0
subject-3,non-restrictive,,,,,,,,
subject-3,restrictive,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
subject-4,non-restrictive,0.191,0.0,0.809,0.0,0.0,0.0,1.0,0.0
subject-4,restrictive,0.0,0.015,0.593,0.392,0.0,0.167,0.667,0.167
subject-5,non-restrictive,0.321,0.282,0.368,0.028,0.3,0.4,0.3,0.0
subject-5,restrictive,0.083,0.685,0.232,0.0,0.0,0.6,0.4,0.0
subject-6,non-restrictive,1.0,0.0,0.0,0.0,,,,
subject-6,restrictive,0.0,1.0,0.0,0.0,,,,
subject-7,non-restrictive,0.51,0.159,0.331,0.0,0.5,0.5,0.0,0.0
subject-7,restrictive,0.714,0.0,0.063,0.222,1.0,0.0,0.0,0.0
subject-8,non-restrictive,0.125,0.625,0.195,0.055,0.0,0.0,0.5,0.5
subject-8,restrictive,0.278,0.029,0.42,0.273,0.25,0.125,0.375,0.25
subject-9,non-restrictive,0.185,0.25,0.356,0.209,0.091,0.182,0.409,0.318
subject-9,restrictive,0.15,0.317,0.333,0.2,0.1,0.4,0.3,0.2
