CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
27459	185.33144	195454403083	0.50704	0.94227	185.19083	0.14061	479	1	0.53113	0.95614	1	0.50043	0.91085	1	0.51578	0.93349	1	0.29709	0.57942	21.79045	1.08274	1	0.56726	0.57995	16.40314	1.09025	1	-0.05255	-0.01706	0.68309	0.00416	1	0.01656	-0.01652	0.65543	0.00325	1	1.37422	0.80694	0	
27460	185.33815	195454470155	0.50721	0.94263	185.19083	0.14732	479	1	0.51067	0.99464	1	0.51095	0.90665	1	0.51081	0.95064	1	0.29695	0.57946	21.55125	1.09881	1	0.56729	0.58002	16.68006	1.10631	1	-0.05255	-0.01706	0.68309	0.00418	1	0.01656	-0.01652	0.65543	0.00328	1	1.37422	0.80694	0	
27461	185.34489	195454537631	0.50734	0.94295	185.19083	0.15407	479	1	0.50960	0.99397	1	0.51095	0.90665	1	0.51027	0.95031	1	0.29678	0.57956	21.52388	1.10631	1	0.56709	0.57977	16.36654	1.10631	1	-0.05112	-0.01650	0.66253	0.00414	1	0.01609	-0.01609	0.63854	0.00321	1	1.37422	0.80694	0	START_TRIAL
27462	185.35158	195454604500	0.50726	0.94266	185.19083	0.16075	479	1	0.48503	0.99002	1	0.52600	0.88106	1	0.50552	0.93554	1	0.29652	0.57941	21.69433	1.09775	1	0.56695	0.57968	15.95134	1.09025	1	-0.05112	-0.01650	0.66253	0.00414	1	0.01609	-0.01609	0.63854	0.00326	1	1.37422	0.80694	0	
27463	185.35817	195454670434	0.50733	0.94409	185.19083	0.16734	479	1	0.49981	0.98458	1	0.51820	0.97529	1	0.50901	0.97993	1	0.29638	0.57937	21.74035	1.08169	1	0.56687	0.57953	16.17386	1.07418	1	-0.05112	-0.01650	0.66253	0.00415	1	0.01609	-0.01609	0.63854	0.00322	1	1.37422	0.80694	0	
27464	185.36494	195454738185	0.50744	0.94549	185.19083	0.17412	479	1	0.50347	0.98693	1	0.51723	0.97700	1	0.51035	0.98197	1	0.29625	0.57931	21.64445	1.05801	1	0.56663	0.57949	16.68801	1.05801	1	-0.04896	-0.01574	0.63401	0.00414	1	0.01641	-0.01646	0.65715	0.00320	1	1.37422	0.80694	0	
27465	185.37155	195454804149	0.50795	0.94502	185.19083	0.18073	479	1	0.51952	0.95691	1	0.52405	0.90750	1	0.52179	0.93220	1	0.29623	0.57911	21.46288	1.05041	1	0.56652	0.57933	16.20587	1.05791	1	-0.04896	-0.01574	0.63401	0.00416	1	0.01641	-0.01646	0.65715	0.00325	1	1.37422	0.80694	0	
27466	185.37817	195454870478	0.50742	0.94351	185.19083	0.18735	479	1	0.49842	0.93076	1	0.48655	0.87164	1	0.49248	0.90120	1	0.29593	0.57846	21.57689	1.05030	1	0.56642	0.57863	15.65631	1.05781	1	-0.04896	-0.01574	0.63401	0.00421	1	0.01641	-0.01646	0.65715	0.00321	1	1.37422	0.80694	0	
27467	185.38483	195454936896	0.50692	0.94210	185.19083	0.19400	479	1	0.49843	0.93078	1	0.48654	0.87166	1	0.49249	0.90122	1	0.29556	0.57678	21.96314	1.05020	1	0.56584	0.57654	16.01271	1.05771	1	-0.04888	-0.01530	0.63168	0.00428	1	0.01634	-0.01614	0.66225	0.00329	1	1.37422	0.80694	0	
27468	185.39110	195454999601	0.50563	0.93496	185.19083	0.20027	479	1	0.46546	0.71936	1	0.46799	0.72219	1	0.46673	0.72077	1	0.29507	0.57403	20.64938	1.05771	1	0.56497	0.57413	15.55949	1.05771	1	-0.04888	-0.01530	0.63168	0.00431	1	0.01634	-0.01614	0.66225	0.00296	1	1.37422	0.80694	0	
