"acc","accuracy","audio_file","average_response_time","avg_rt","background","block_size","canvas_backend","clock_backend","color_backend","condition","correct","correct_experiment_intro","correct_experiment_intro2","correct_new_1_keyboard_response","correct_new_2_keyboard_response","correct_new_2_sketchpad","correct_new_3_keyboard_response","correct_new_3_sketchpad","correct_new_4_keyboard_response","correct_new_4_sketchpad","correct_new_5_keyboard_response","correct_new_5_sketchpad","correct_new_6_keyboard_response","correct_new_7_keyboard_response","correct_new_7_sketchpad","correct_new_8_keyboard_response","correct_new_keyboard_response","correct_new_mouse_response","correct_welcome","count_accuracy_output","count_audio_file_offset","count_audio_file_onset_log","count_definitions","count_experiment","count_experiment_intro","count_experiment_intro2","count_image_delay","count_image_nosub","count_image_sub","count_increment_roundCounter","count_instruction","count_instructions","count_log_instruction","count_new_1_inline_script","count_new_1_keyboard_response","count_new_1_sketchpad","count_new_2_keyboard_response","count_new_2_sketchpad","count_new_3_keyboard_response","count_new_3_sketchpad","count_new_4_keyboard_response","count_new_4_sketchpad","count_new_5_keyboard_response","count_new_5_sketchpad","count_new_6_keyboard_response","count_new_6_sketchpad","count_new_7_keyboard_response","count_new_7_sketchpad","count_new_8_keyboard_response","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_mouse_response","count_new_pygaze_init","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sketchpad","count_sentence_audio","count_subject_onset_log","count_trial_loop","count_trial_sequence","count_welcome","csv_filepath","csv_id","cursor_roi","cursor_x","cursor_y","datetime","delay_image_delay","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","id","image_nosub","image_sub","keyboard_backend","live_row","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","position1","position2","position3","position4","psychopy_screen","repeat_cycle","response","response_experiment_intro","response_experiment_intro2","response_instruction","response_new_1_keyboard_response","response_new_1_sketchpad","response_new_2_keyboard_response","response_new_2_sketchpad","response_new_3_keyboard_response","response_new_3_sketchpad","response_new_4_keyboard_response","response_new_4_sketchpad","response_new_5_keyboard_response","response_new_5_sketchpad","response_new_6_keyboard_response","response_new_6_sketchpad","response_new_7_keyboard_response","response_new_7_sketchpad","response_new_8_keyboard_response","response_new_keyboard_response","response_new_mouse_response","response_time","response_time_experiment_intro","response_time_experiment_intro2","response_time_instruction","response_time_new_1_keyboard_response","response_time_new_1_sketchpad","response_time_new_2_keyboard_response","response_time_new_2_sketchpad","response_time_new_3_keyboard_response","response_time_new_3_sketchpad","response_time_new_4_keyboard_response","response_time_new_4_sketchpad","response_time_new_5_keyboard_response","response_time_new_5_sketchpad","response_time_new_6_keyboard_response","response_time_new_6_sketchpad","response_time_new_7_keyboard_response","response_time_new_7_sketchpad","response_time_new_8_keyboard_response","response_time_new_keyboard_response","response_time_new_mouse_response","response_time_welcome","response_welcome","round","round_decimals","sampler_backend","sentence","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target_position","time_accuracy_output","time_audio_file_offset","time_audio_file_onset_log","time_definitions","time_experiment","time_experiment_intro","time_experiment_intro2","time_image_delay","time_image_nosub","time_image_sub","time_increment_roundCounter","time_instruction","time_instructions","time_log_instruction","time_new_1_inline_script","time_new_1_keyboard_response","time_new_1_sketchpad","time_new_2_keyboard_response","time_new_2_sketchpad","time_new_3_keyboard_response","time_new_3_sketchpad","time_new_4_keyboard_response","time_new_4_sketchpad","time_new_5_keyboard_response","time_new_5_sketchpad","time_new_6_keyboard_response","time_new_6_sketchpad","time_new_7_keyboard_response","time_new_7_sketchpad","time_new_8_keyboard_response","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_mouse_response","time_new_pygaze_init","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sketchpad","time_sentence_audio","time_subject_onset_log","time_trial_loop","time_trial_sequence","time_welcome","timeout","title","total_correct","total_response_time","total_responses","width"
"undefined","undefined","33_n.wav","undefined","undefined","#dadada","256","psycho","psycho","psycho","non-restrictive","undefined","undefined","undefined","NA","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","0","0","0","0","0","0","NA","0","0","0","NA","0","NA","NA","0","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","0","participant_group7.csv","7","NA","NA","NA","Tue Aug  4 17:09:51 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","33","34_pos1_nosub.png","34_pos1_sub.png","psycho","0","0","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-14.csv","psycho","Neonatal Nightingale","4.1.14","suitcase","envelope","box","gift","0","0","space","space","space","NA","NA","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","5483.878099999856","5842.320399999153","8009.7258999994665","NA","NA","NA","NA","3228.1457999997656","NA","4307.583900001191","NA","4116.232299998956","NA","3587.45479999925","NA","NA","NA","5483.878099999856","NA","NA","NA","9548.38209999798","c","1","2","psycho","The boy will open the suitcase","1024","2","24000","-16","experiment","14","even","1","90508.48869999754","132893.0908000002","129958.69729999686","125115.8566999984","4956.46239999769","90512.81000000017","96361.38759999812","NA","125928.67539999861","129958.64299999812","NA","NA","90508.56519999797","NA","NA","NA","NA","NA","104374.9805999978","NA","107607.58129999886","NA","111918.9065999999","NA","116039.67949999787","NA","NA","NA","119631.25969999965","NA","NA","NA","132916.85979999966","NA","14516.249199998128","125378.17379999979","NA","NA","129983.19339999944","129929.03819999992","125115.88349999874","125377.56569999692","4966.7532999992545","3000","SceneViewing","0","0","0","2560"
"100","100","45_n.wav","4036","4036","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","1","1","0","0","0","0","NA","1","1","1","NA","0","NA","NA","1","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","1","NA","0","1","1","1","1","1","0","1","0","participant_group7.csv","7","NA","NA","NA","Tue Aug  4 17:09:51 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","45","46_pos1_nosub.png","46_pos1_sub.png","psycho","1","1","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-14.csv","psycho","Neonatal Nightingale","4.1.14","carrot","laddle","peeler","pot","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","4036.20950000186","5842.320399999153","8009.7258999994665","NA","4036.20950000186","NA","NA","3228.1457999997656","NA","4307.583900001191","NA","4116.232299998956","NA","3587.45479999925","NA","NA","NA","5483.878099999856","NA","NA","NA","9548.38209999798","c","2","2","psycho","The chef will carry the carrot","1024","2","24000","-16","experiment","14","even","1","90508.48869999754","143833.02769999864","141227.0893999994","125115.8566999984","4956.46239999769","90512.81000000017","96361.38759999812","NA","137203.24939999773","141227.03669999828","136987.97379999814","NA","90508.56519999797","NA","NA","132950.93369999813","NA","NA","104374.9805999978","NA","107607.58129999886","NA","111918.9065999999","NA","116039.67949999787","NA","NA","NA","119631.25969999965","NA","NA","NA","143852.5998999976","NA","14516.249199998128","137187.13879999996","132926.71639999753","132950.76419999896","141246.33819999872","141203.48549999835","125115.88349999874","137186.7069999971","4966.7532999992545","3000","SceneViewing","1","4036.20950000186","1","2560"
"100","100","2_r.wav","3412","3412","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","2","2","0","0","0","0","NA","2","2","2","NA","0","NA","NA","2","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","2","NA","0","2","2","2","2","2","0","2","0","participant_group7.csv","7","NA","NA","NA","Tue Aug  4 17:09:51 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","2","3_pos2_nosub.png","3_pos2_sub.png","psycho","2","2","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-14.csv","psycho","Neonatal Nightingale","4.1.14","dustbin","man","car","houses","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","2788.86109999803","5842.320399999153","8009.7258999994665","NA","2788.86109999803","NA","NA","3228.1457999997656","NA","4307.583900001191","NA","4116.232299998956","NA","3587.45479999925","NA","NA","NA","5483.878099999856","NA","NA","NA","9548.38209999798","c","3","2","psycho","The policeman will arrest the man","1024","2","24000","-16","experiment","14","even","2","90508.48869999754","153982.94759999771","150897.5845999994","125115.8566999984","4956.46239999769","90512.81000000017","96361.38759999812","NA","146873.8212999997","150897.52499999668","146659.69669999686","NA","90508.56519999797","NA","NA","143870.30389999927","NA","NA","104374.9805999978","NA","107607.58129999886","NA","111918.9065999999","NA","116039.67949999787","NA","NA","NA","119631.25969999965","NA","NA","NA","154002.4369999992","NA","14516.249199998128","146858.28209999818","143859.89199999676","143870.16649999714","150916.86189999746","150874.26699999924","125115.88349999874","146857.74200000014","4966.7532999992545","3000","SceneViewing","2","6825.07059999989","2","2560"
"100","100","36_r.wav","3472","3472","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","3","3","0","0","0","0","NA","3","3","3","NA","0","NA","NA","3","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","3","NA","0","3","3","3","3","3","0","3","0","participant_group7.csv","7","NA","NA","NA","Tue Aug  4 17:09:51 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","36","37_pos4_nosub.png","37_pos4_sub.png","psycho","3","3","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-14.csv","psycho","Neonatal Nightingale","4.1.14","papers","boxes","clips","lego","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","3593.684999999823","5842.320399999153","8009.7258999994665","NA","3593.684999999823","NA","NA","3228.1457999997656","NA","4307.583900001191","NA","4116.232299998956","NA","3587.45479999925","NA","NA","NA","5483.878099999856","NA","NA","NA","9548.38209999798","c","4","2","psycho","The kid will build the lego","1024","2","24000","-16","experiment","14","even","4","90508.48869999754","164693.23219999933","161866.0577999981","125115.8566999984","4956.46239999769","90512.81000000017","96361.38759999812","NA","157842.0393999986","161866.00669999825","157627.7915999999","NA","90508.56519999797","NA","NA","154033.47379999832","NA","NA","104374.9805999978","NA","107607.58129999886","NA","111918.9065999999","NA","116039.67949999787","NA","NA","NA","119631.25969999965","NA","NA","NA","164712.4425999973","NA","14516.249199998128","157826.65759999873","154023.01689999877","154033.2819999967","161885.6425999984","161842.4175","125115.88349999874","157826.08189999883","4966.7532999992545","3000","SceneViewing","3","10418.755599999713","3","2560"
"100","100","13_n.wav","3071","3071","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","4","4","0","0","0","0","NA","4","4","4","NA","0","NA","NA","4","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","4","NA","0","4","4","4","4","4","0","4","0","participant_group7.csv","7","NA","NA","NA","Tue Aug  4 17:09:51 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","13","14_pos1_nosub.png","14_pos1_sub.png","psycho","4","4","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-14.csv","psycho","Neonatal Nightingale","4.1.14","cigarettes","filofax","briefcase","glasses","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1866.4592999994056","5842.320399999153","8009.7258999994665","NA","1866.4592999994056","NA","NA","3228.1457999997656","NA","4307.583900001191","NA","4116.232299998956","NA","3587.45479999925","NA","NA","NA","5483.878099999856","NA","NA","NA","9548.38209999798","c","5","2","psycho","The man will  collect the cigarettes","1024","2","24000","-16","experiment","14","even","1","90508.48869999754","173892.96249999825","170863.89659999986","125115.8566999984","4956.46239999769","90512.81000000017","96361.38759999812","NA","166839.4726999977","170863.7843999968","166619.88719999863","NA","90508.56519999797","NA","NA","164752.71509999948","NA","NA","104374.9805999978","NA","107607.58129999886","NA","111918.9065999999","NA","116039.67949999787","NA","NA","NA","119631.25969999965","NA","NA","NA","173912.0296000001","NA","14516.249199998128","166822.7881999992","164742.8151999993","164752.59979999828","170883.2274999986","170839.60250000018","125115.88349999874","166821.93469999766","4966.7532999992545","3000","SceneViewing","4","12285.214899999119","4","2560"
"100","100","46_r.wav","3081","3081","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","5","5","0","0","0","0","NA","5","5","5","NA","0","NA","NA","5","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","5","NA","0","5","5","5","5","5","0","5","0","participant_group7.csv","7","NA","NA","NA","Tue Aug  4 17:09:51 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","46","47_pos2_nosub.png","47_pos2_sub.png","psycho","5","5","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-14.csv","psycho","Neonatal Nightingale","4.1.14","stand","violin","bow","gum","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","3121.6827999996895","5842.320399999153","8009.7258999994665","NA","3121.6827999996895","NA","NA","3228.1457999997656","NA","4307.583900001191","NA","4116.232299998956","NA","3587.45479999925","NA","NA","NA","5483.878099999856","NA","NA","NA","9548.38209999798","c","6","2","psycho","The musician will tune the violin","1024","2","24000","-16","experiment","14","even","2","90508.48869999754","184493.01209999976","181325.26609999695","125115.8566999984","4956.46239999769","90512.81000000017","96361.38759999812","NA","177300.79479999767","181325.21239999915","177067.8870999982","NA","90508.56519999797","NA","NA","173945.39839999925","NA","NA","104374.9805999978","NA","107607.58129999886","NA","111918.9065999999","NA","116039.67949999787","NA","NA","NA","119631.25969999965","NA","NA","NA","184512.4810999987","NA","14516.249199998128","177273.2483999971","173936.31729999834","173945.27689999813","181344.38809999847","181301.85899999924","125115.88349999874","177272.38429999852","4966.7532999992545","3000","SceneViewing","5","15406.897699998808","5","2560"
"100","100","28_r.wav","2802","2802","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","6","6","0","0","0","0","NA","6","6","6","NA","0","NA","NA","6","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","6","NA","0","6","6","6","6","6","0","6","0","participant_group7.csv","7","NA","NA","NA","Tue Aug  4 17:09:51 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","28","29_pos4_nosub.png","29_pos4_sub.png","psycho","6","6","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-14.csv","psycho","Neonatal Nightingale","4.1.14","glove","nut","sock","milk","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1405.3357000011601","5842.320399999153","8009.7258999994665","NA","1405.3357000011601","NA","NA","3228.1457999997656","NA","4307.583900001191","NA","4116.232299998956","NA","3587.45479999925","NA","NA","NA","5483.878099999856","NA","NA","NA","9548.38209999798","c","7","2","psycho","The cat will drink the milk","1024","2","24000","-16","experiment","14","even","4","90508.48869999754","192662.93589999987","190190.52389999706","125115.8566999984","4956.46239999769","90512.81000000017","96361.38759999812","NA","186166.11919999923","190190.47109999883","185955.61029999953","NA","90508.56519999797","NA","NA","184549.77919999874","NA","NA","104374.9805999978","NA","107607.58129999886","NA","111918.9065999999","NA","116039.67949999787","NA","NA","NA","119631.25969999965","NA","NA","NA","192682.6747999985","NA","14516.249199998128","186149.81309999712","184539.9432999984","184549.67289999695","190209.79579999766","190166.6241999992","125115.88349999874","186149.2827999973","4966.7532999992545","3000","SceneViewing","6","16812.23339999997","6","2560"
"100","100","10_r.wav","2592","2592","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","7","7","0","0","0","0","NA","7","7","7","NA","0","NA","NA","7","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","7","NA","0","7","7","7","7","7","0","7","0","participant_group7.csv","7","NA","NA","NA","Tue Aug  4 17:09:51 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","10","11_pos2_nosub.png","11_pos2_sub.png","psycho","7","7","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-14.csv","psycho","Neonatal Nightingale","4.1.14","wastebin","washing-machine","mirror","dog","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1337.6229999994393","5842.320399999153","8009.7258999994665","NA","1337.6229999994393","NA","NA","3228.1457999997656","NA","4307.583900001191","NA","4116.232299998956","NA","3587.45479999925","NA","NA","NA","5483.878099999856","NA","NA","NA","9548.38209999798","c","8","2","psycho","The man will repair the washing machine","1024","2","24000","-16","experiment","14","even","2","90508.48869999754","201793.04649999904","198318.64169999972","125115.8566999984","4956.46239999769","90512.81000000017","96361.38759999812","NA","194293.564399999","198318.54459999886","194051.7390999994","NA","90508.56519999797","NA","NA","192713.4909999986","NA","NA","104374.9805999978","NA","107607.58129999886","NA","111918.9065999999","NA","116039.67949999787","NA","NA","NA","119631.25969999965","NA","NA","NA","201812.63899999976","NA","14516.249199998128","194267.5285999976","192702.9842999982","192713.283699999","198337.67729999818","198294.94349999732","125115.88349999874","194266.08839999972","4966.7532999992545","3000","SceneViewing","7","18149.856399999408","7","2560"
"100","100","32_r.wav","2402","2402","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","8","8","0","0","0","0","NA","8","8","8","NA","0","NA","NA","8","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","8","NA","0","8","8","8","8","8","0","8","0","participant_group7.csv","7","NA","NA","NA","Tue Aug  4 17:09:51 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","32","33_pos4_nosub.png","33_pos4_sub.png","psycho","8","8","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-14.csv","psycho","Neonatal Nightingale","4.1.14","mug","biscuit","kettle","beer","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1071.2265000001935","5842.320399999153","8009.7258999994665","NA","1071.2265000001935","NA","NA","3228.1457999997656","NA","4307.583900001191","NA","4116.232299998956","NA","3587.45479999925","NA","NA","NA","5483.878099999856","NA","NA","NA","9548.38209999798","c","9","2","psycho","The woman will brew the beer","1024","2","24000","-16","experiment","14","even","4","90508.48869999754","209733.099699999","207149.5051999991","125115.8566999984","4956.46239999769","90512.81000000017","96361.38759999812","NA","203124.57959999665","207149.42379999775","202915.9596999998","NA","90508.56519999797","NA","NA","201843.93519999867","NA","NA","104374.9805999978","NA","107607.58129999886","NA","111918.9065999999","NA","116039.67949999787","NA","NA","NA","119631.25969999965","NA","NA","NA","209752.1416999989","NA","14516.249199998128","203109.41669999738","201833.5647999993","201843.77889999814","207168.69919999954","207125.18949999867","125115.88349999874","203108.83659999672","4966.7532999992545","3000","SceneViewing","8","19221.0828999996","8","2560"
"100","100","31_n.wav","2261","2261","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","9","9","0","0","0","0","NA","9","9","9","NA","0","NA","NA","9","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","9","NA","0","9","9","9","9","9","0","9","0","participant_group7.csv","7","NA","NA","NA","Tue Aug  4 17:09:51 2026","NA","The main experiment item","False","VWP_finalSetup_22_7.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","31","32_pos3_nosub.png","32_pos3_sub.png","psycho","9","9","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-14.csv","psycho","Neonatal Nightingale","4.1.14","sponge","seed","bottle","lemon","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1129.2670000002545","5842.320399999153","8009.7258999994665","NA","1129.2670000002545","NA","NA","3228.1457999997656","NA","4307.583900001191","NA","4116.232299998956","NA","3587.45479999925","NA","NA","NA","5483.878099999856","NA","NA","NA","9548.38209999798","c","10","2","psycho","The woman will examine the bottle","1024","2","24000","-16","experiment","14","even","3","90508.48869999754","218133.01779999892","215140.35839999997","125115.8566999984","4956.46239999769","90512.81000000017","96361.38759999812","NA","211116.35629999728","215140.30419999835","210899.8681999983","NA","90508.56519999797","NA","NA","209769.8421999994","NA","NA","104374.9805999978","NA","107607.58129999886","NA","111918.9065999999","NA","116039.67949999787","NA","NA","NA","119631.25969999965","NA","NA","NA","218152.6116999994","NA","14516.249199998128","211100.46739999962","209760.17460000003","209769.7264999988","215159.49289999844","215116.7295999985","125115.88349999874","211099.93819999727","4966.7532999992545","3000","SceneViewing","9","20350.349899999856","9","2560"
