CNT	TIME	TIME_TICK	FPOGX	FPOGY	FPOGS	FPOGD	FPOGID	FPOGV	LPOGX	LPOGY	LPOGV	RPOGX	RPOGY	RPOGV	BPOGX	BPOGY	BPOGV	LPCX	LPCY	LPD	LPS	LPV	RPCX	RPCY	RPD	RPS	RPV	LEYEX	LEYEY	LEYEZ	LPUPILD	LPUPILV	REYEX	REYEY	REYEZ	RPUPILD	RPUPILV	CX	CY	CS	USER
244989	1673.21936	746705286729	0.00000	0.00000	1673.03186	0.08716	2354	0	0.52778	0.59619	0	0.50280	0.39439	0	0.50280	0.39439	0	0.31308	0.63130	13.94496	1.05871	0	0.31299	0.63322	11.94823	1.05871	0	-0.04864	-0.02876	0.67997	0.00292	1	-0.04865	-0.02852	0.68015	0.00289	1	-0.13229	0.28583	0	0
244990	1673.22607	746705353167	0.00000	0.00000	1673.03186	0.08716	2354	0	0.52778	0.59619	0	0.50280	0.39439	0	0.50280	0.39439	0	0.31308	0.63130	13.94496	1.05871	0	0.31299	0.63322	11.94823	1.05871	0	-0.04864	-0.02876	0.67997	0.00292	1	-0.04865	-0.02852	0.68015	0.00289	1	-0.13229	0.28583	0	START_TRIAL
244991	1673.23279	746705419996	0.00000	0.00000	1673.03186	0.08716	2354	0	0.52778	0.59619	0	0.50280	0.39439	0	0.50280	0.39439	0	0.31308	0.63130	13.94496	1.05871	0	0.31299	0.63322	11.94823	1.05871	0	-0.04864	-0.02876	0.67997	0.00292	1	-0.04865	-0.02852	0.68015	0.00289	1	-0.13229	0.28583	0	
244992	1673.23938	746705486717	0.00000	0.00000	1673.03186	0.08716	2354	0	0.52778	0.59619	0	0.50280	0.39439	0	0.50280	0.39439	0	0.31308	0.63130	13.94496	1.05871	0	0.31299	0.63322	11.94823	1.05871	0	-0.04864	-0.02876	0.67997	0.00292	1	-0.04865	-0.02852	0.68015	0.00289	1	-0.13229	0.28583	0	
244993	1673.24609	746705553029	0.00000	0.00000	1673.03186	0.08716	2354	0	0.52778	0.59619	0	0.50280	0.39439	0	0.50280	0.39439	0	0.31308	0.63130	13.94496	1.05871	0	0.31299	0.63322	11.94823	1.05871	0	-0.04864	-0.02876	0.67997	0.00292	1	-0.04865	-0.02852	0.68015	0.00289	1	-0.13229	0.28583	0	
244994	1673.25305	746705623202	0.00000	0.00000	1673.03186	0.08716	2354	0	0.52778	0.59619	0	0.50280	0.39439	0	0.50280	0.39439	0	0.31308	0.63130	13.94496	1.05871	0	0.31299	0.63322	11.94823	1.05871	0	-0.04864	-0.02876	0.67997	0.00292	1	-0.04865	-0.02852	0.68015	0.00289	1	-0.13229	0.28583	0	
244995	1673.25977	746705689730	0.00000	0.00000	1673.03186	0.08716	2354	0	0.52778	0.59619	0	0.50280	0.39439	0	0.50280	0.39439	0	0.31308	0.63130	13.94496	1.05871	0	0.31299	0.63322	11.94823	1.05871	0	-0.04864	-0.02876	0.67997	0.00292	1	-0.04865	-0.02852	0.68015	0.00289	1	-0.13229	0.28583	0	
244996	1673.26599	746705752049	0.00000	0.00000	1673.03186	0.08716	2354	0	0.52778	0.59619	0	0.50280	0.39439	0	0.50280	0.39439	0	0.31308	0.63130	13.94496	1.05871	0	0.31299	0.63322	11.94823	1.05871	0	-0.04864	-0.02876	0.67997	0.00292	1	-0.04865	-0.02852	0.68015	0.00289	1	-0.13229	0.28583	0	
244997	1673.27246	746705817426	0.00000	0.00000	1673.03186	0.08716	2354	0	0.52778	0.59619	0	0.50280	0.39439	0	0.50280	0.39439	0	0.31308	0.63130	13.94496	1.05871	0	0.31299	0.63322	11.94823	1.05871	0	-0.04864	-0.02876	0.67997	0.00292	1	-0.04865	-0.02852	0.68015	0.00289	1	-0.13229	0.28583	0	
244998	1673.27942	746705887041	0.00000	0.00000	1673.03186	0.08716	2354	0	0.52778	0.59619	0	0.50280	0.39439	0	0.50280	0.39439	0	0.31308	0.63130	13.94496	1.05871	0	0.31299	0.63322	11.94823	1.05871	0	-0.04864	-0.02876	0.67997	0.00292	1	-0.04865	-0.02852	0.68015	0.00289	1	-0.13229	0.28583	0	
244999	1673.28650	746705957125	0.00000	0.00000	1673.03186	0.08716	2354	0	0.52778	0.59619	0	0.50280	0.39439	0	0.50280	0.39439	0	0.31308	0.63130	13.94496	1.05871	0	0.31299	0.63322	11.94823	1.05871	0	-0.04864	-0.02876	0.67997	0.00292	1	-0.04865	-0.02852	0.68015	0.00289	1	-0.13229	0.28583	0	
245000	1673.29285	746706021182	0.23071	0.25773	1673.03186	0.08716	2354	0	0.52778	0.59619	0	0.46143	0.51546	1	0.46143	0.51546	1	0.31431	0.63084	14.91285	1.05871	0	0.31431	0.63084	14.91285	1.05871	1	-0.04864	-0.02876	0.67997	0.00292	1	-0.04865	-0.02852	0.68015	0.00307	1	-0.13229	0.28583	0	
