FPOGID,FPOGX,FPOGY,FPOGS,FPOGD,fix_end_s,clip_start_s,clip_end_s,clip_dur_ms,aoi,trial,condition,subject_nr,target_word,target_position
11741,0.49677891304347827,0.09693880434782608,7099.5625,0.60938,7100.17188,7100.15272,7100.17188,19.15999999982887,subject,0,restrictive,6,man,1
11742,0.4982208695652174,0.10130239130434783,7100.17871,0.30225,7100.48096,7100.17871,7100.36272,184.00999999994383,subject,0,restrictive,6,man,1
11798,0.5060293442622951,0.09628622950819672,7135.23047,0.81055,7136.041020000001,7135.70828,7136.002280000001,294.0000000007785,subject,1,non-restrictive,6,orange,4
11834,0.2240404411764706,0.33221779411764707,7145.65283,0.42871,7146.08154,7145.79424,7145.9832400000005,189.0000000003056,pos4,2,non-restrictive,6,blouse,3
11863,0.50262859375,0.08729171875,7154.22656,0.42188,7154.64844,7154.51984,7154.64844,128.60000000000582,subject,3,restrictive,6,rabbit,3
11864,0.6942625,0.28160125,7154.65527,0.08057,7154.73584,7154.65527,7154.73584,80.57000000007974,elsewhere,3,restrictive,6,rabbit,3
11865,0.776015,0.4678382142857143,7154.7627,0.16064,7154.92334,7154.7627,7154.79284,30.139999999846623,pos1,3,restrictive,6,rabbit,3
11893,0.6426923076923077,0.716821282051282,7163.1084,0.25488,7163.3632800000005,7163.1084,7163.33383,225.42999999950553,pos2,4,restrictive,6,coat,1
11919,0.345785,0.7044413333333334,7171.26025,0.19434,7171.45459,7171.2688499999995,7171.45459,185.7400000008056,pos3,5,restrictive,6,bread,2
11920,0.4335136363636364,0.721944090909091,7171.46094,0.12061,7171.58155,7171.46094,7171.49985,38.910000000214495,elsewhere,5,restrictive,6,bread,2
11948,0.819248253968254,0.49880761904761906,7179.7002,0.39453,7180.09473,7179.9676899999995,7180.09473,127.04000000030646,pos1,6,non-restrictive,6,balloon,3
11949,0.6624924444444444,0.68699,7180.12207,0.29443,7180.4165,7180.12207,7180.19869,76.61999999982072,pos2,6,non-restrictive,6,balloon,3
11968,0.34159239726027396,0.6575220547945205,7189.12451,0.97119,7190.0957,7189.35479,7189.66979,314.9999999995998,pos3,7,restrictive,6,kitten,3
11997,0.8080168235294118,0.3419629411764706,7197.20898,0.54297,7197.751950000001,7197.49396,7197.74596,252.00000000040745,pos1,8,restrictive,6,cigarettes,4
12018,0.4994950684931507,0.1067368493150685,7204.48975,1.42725,7205.9169999999995,7205.454360000001,7205.66436,209.99999999912689,subject,9,restrictive,6,cake,3
12047,0.49453400000000003,0.06057866666666667,7213.59375,0.29395,7213.8877,7213.84988,7213.8877,37.82000000046537,elsewhere,10,non-restrictive,6,stamp,4
12048,0.4906836111111111,0.09561666666666667,7213.89453,0.23438,7214.128909999999,7213.89453,7214.128909999999,234.3799999998737,subject,10,non-restrictive,6,stamp,4
12049,0.378920625,0.455766875,7214.13525,0.08057,7214.21582,7214.13525,7214.21582,80.57000000007974,elsewhere,10,non-restrictive,6,stamp,4
12086,0.19454485714285716,0.4127334285714286,7225.89746,0.22803,7226.12549,7225.97497,7226.12549,150.52000000014232,pos4,11,non-restrictive,6,bottle,2
12087,0.2079884375,0.4738603125,7226.13232,0.1875,7226.31982,7226.13232,7226.20597,73.65000000027067,pos4,11,non-restrictive,6,bottle,2
12109,0.18921977272727275,0.45880227272727275,7233.58691,0.26855,7233.85546,7233.75281,7233.85546,102.64999999981228,pos4,12,non-restrictive,6,dough,3
12110,0.33682006097560974,0.7055606097560976,7233.88232,1.11182,7234.99414,7233.88232,7233.98381,101.49000000001251,pos3,12,non-restrictive,6,dough,3
12135,0.6561858823529412,0.7239908823529412,7241.91309,0.2207,7242.13379,7241.98027,7242.13379,153.519999999844,pos2,13,restrictive,6,boat,3
12136,0.5885875,0.7464853125,7242.14062,0.18799,7242.3286100000005,7242.14062,7242.2322699999995,91.64999999939027,pos2,13,restrictive,6,boat,3
12161,0.526658125,0.1194134375,7249.73633,0.59668,7250.333009999999,7250.15947,7250.333009999999,173.53999999977532,subject,14,restrictive,6,wine,4
12162,0.73897,0.5496104545454545,7250.37939,0.12109,7250.50048,7250.37939,7250.43247,53.079999999681604,elsewhere,14,restrictive,6,wine,4
12193,0.22553282051282053,0.4898428205128205,7258.38428,0.25439,7258.63867,7258.4793,7258.63867,159.3700000003082,pos4,15,non-restrictive,6,carpet,2
12194,0.20780294117647058,0.3796635294117647,7258.64551,0.10693,7258.75244,7258.64551,7258.6683,22.78999999998632,pos4,15,non-restrictive,6,carpet,2
12225,0.7862510416666666,0.41917,7266.84424,0.29443,7267.13867,7266.9465900000005,7267.13867,192.0799999998053,pos1,16,restrictive,6,baby,2
12226,0.65860125,0.7248108333333333,7267.16553,0.15381,7267.31934,7267.16553,7267.30359,138.06000000022323,pos2,16,restrictive,6,baby,2
12248,0.5014125454545455,0.11513763636363636,7274.98193,0.36182,7275.34375,7275.2214699999995,7275.34375,122.28000000050088,subject,17,restrictive,6,wood,4
12249,0.5033384210526316,0.10921842105263158,7275.35107,0.12012,7275.471189999999,7275.35107,7275.471189999999,120.11999999958789,subject,17,restrictive,6,wood,4
12250,0.4955228571428571,0.10278771428571429,7275.47803,0.22803,7275.70606,7275.47803,7275.515469999999,37.43999999915104,subject,17,restrictive,6,wood,4
12281,0.553810294117647,0.13505411764705882,7282.83887,0.20117,7283.04004,7282.955349999999,7283.04004,84.69000000059168,elsewhere,18,non-restrictive,6,banana,4
12282,0.8139026666666667,0.308737,7283.06689,0.19434,7283.26123,7283.06689,7283.14435,77.45999999951891,elsewhere,18,non-restrictive,6,banana,4
12313,0.8341187012987014,0.39335753246753247,7290.94385,0.50928,7291.45313,7291.34991,7291.45313,103.21999999996478,pos1,19,non-restrictive,6,shirt,1
12314,0.8370368292682926,0.4092126829268292,7291.45996,0.26758,7291.72754,7291.45996,7291.62291,162.94999999990978,pos1,19,non-restrictive,6,shirt,1
12351,0.6383384782608695,0.7582826086956522,7299.71191,0.30176,7300.01367,7299.756710000001,7300.01367,256.9599999997081,pos2,20,restrictive,6,hat,2
12352,0.6374795833333333,0.7166116666666666,7300.02051,0.15381,7300.17432,7300.02051,7300.029710000001,9.200000000419095,pos2,20,restrictive,6,hat,2
12375,0.20659616438356163,0.5148112328767124,7307.75,0.44189,7308.19189,7307.79621,7307.98521,188.9999999993961,elsewhere,21,restrictive,6,mountain,4
12407,0.8158209836065573,0.4604047540983606,7318.72119,0.38232,7319.10351,7318.74254,7318.97354,230.99999999976717,pos1,22,restrictive,6,child,2
12431,0.842419574468085,0.42284851063829787,7327.41602,0.30811,7327.72413,7327.61454,7327.72413,109.59000000002561,pos1,23,restrictive,6,bell,2
12432,0.733325,0.56555,7327.73096,0.09375,7327.82471,7327.73096,7327.80354,72.5800000000163,elsewhere,23,restrictive,6,bell,2
12465,0.40946774193548385,0.6896538709677419,7338.03271,0.20068,7338.23339,7338.16388,7338.23339,69.51000000026397,pos3,24,non-restrictive,6,apron,1
12466,0.422119696969697,0.6989309090909092,7338.24023,0.19434,7338.43457,7338.24023,7338.43457,194.34000000001106,pos3,24,non-restrictive,6,apron,1
12467,0.7099728571428571,0.6216194285714286,7338.46143,0.20752,7338.66895,7338.46143,7338.54188,80.44999999947322,elsewhere,24,non-restrictive,6,apron,1
12502,0.8370341025641027,0.45645884615384613,7347.18262,0.51562,7347.69824,7347.24931,7347.50131,251.99999999949796,pos1,25,restrictive,6,piano,3
12535,0.7928328571428571,0.41940190476190475,7355.60205,0.2749,7355.876950000001,7355.60205,7355.768959999999,166.9099999990067,pos1,26,restrictive,6,mushrooms,1
12561,0.8058195833333334,0.4506195,7363.11084,0.75684,7363.86768,7363.84209,7363.86768,25.59000000019296,pos1,27,restrictive,6,ball,3
12562,0.4965527419354838,0.27401951612903225,7363.91455,0.38867,7364.303220000001,7363.91455,7364.07309,158.5399999994479,subject,27,restrictive,6,ball,3
12591,0.3933802380952381,0.6749738095238096,7372.16016,0.2749,7372.435060000001,7372.16016,7372.3939,233.73999999967054,pos3,28,non-restrictive,6,suitcase,4
12621,0.5934439130434782,0.5079621739130434,7381.87939,0.14746,7382.02685,7381.87939,7382.02685,147.46000000013737,elsewhere,29,non-restrictive,6,mascara,2
12622,0.6066045652173913,0.5607517391304347,7382.03369,0.30078,7382.33447,7382.03369,7382.03502,1.330000000052678,elsewhere,29,non-restrictive,6,mascara,2
12660,0.5064295555555556,0.09743444444444445,7390.36621,0.29443,7390.66064,7390.515,7390.66064,145.6399999997302,subject,30,non-restrictive,6,violin,1
12661,0.4857525806451613,0.18391548387096776,7390.66748,0.36865,7391.03613,7390.66748,7390.746,78.5200000000259,subject,30,non-restrictive,6,violin,1
12701,0.5039798666666667,0.1279348,7398.81934,0.49512,7399.31446,7399.199009999999,7399.31446,115.4500000002372,subject,31,non-restrictive,6,canvas,4
