subject_nr,trial,condition,sentence_id,word_index,WordRole,word,start_s,end_s,window_ms,prop_pos1,prop_pos2,prop_pos3,prop_pos4,prop_target,prop_subject,no_object_gaze,n_samples
1,0,non-restrictive,6,0,det,The,0.021,0.063,42.0,0.0,0.0,0.0,0.0,0.0,0.0,True,6
1,0,non-restrictive,6,1,nsubj,housewife,0.189,0.882,693.0,0.0,1.0,0.0,0.0,0.0,0.0,False,81
1,0,non-restrictive,6,2,aux,will,0.987,1.113,126.0,0.0,1.0,0.0,0.0,0.0,0.0,False,16
1,0,non-restrictive,6,3,ROOT,wash,1.239,1.575,336.0,0.0,1.0,0.0,0.0,0.0,0.0,False,29
1,0,non-restrictive,6,4,det,the,1.68,1.743,63.0,0.0,0.0,0.0,0.0,0.0,0.0,True,10
1,0,non-restrictive,6,5,dobj,mushrooms,1.848,3.423,1575.0,0.0,1.0,0.0,0.0,0.0,0.0,False,236
1,1,restrictive,39,0,det,The,0.021,0.063,42.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0
1,1,restrictive,39,1,nsubj,boy,0.147,0.42,273.0,0.0,1.0,0.0,0.0,0.0,0.0,False,41
1,1,restrictive,39,2,aux,will,0.525,0.651,126.0,0.0,0.0,0.0,0.0,0.0,0.0,True,19
1,1,restrictive,39,3,ROOT,tie,0.735,1.05,315.0,0.0,0.0,0.0,0.0,0.0,0.0,True,47
1,1,restrictive,39,4,det,the,1.092,1.155,63.0,0.0,0.0,0.0,0.0,0.0,0.0,True,9
1,1,restrictive,39,5,dobj,shoelace,1.323,2.688,1365.0,0.0,0.0,1.0,0.0,0.0,0.0,False,131
1,2,restrictive,15,0,det,The,0.021,0.063,42.0,0.0,1.0,0.0,0.0,0.0,0.0,False,6
1,2,restrictive,15,1,nsubj,businessman,0.168,1.008,840.0,0.0,1.0,0.0,0.0,0.0,0.0,False,81
1,2,restrictive,15,2,aux,will,1.197,1.323,126.0,0.0,1.0,0.0,0.0,0.0,0.0,False,19
1,2,restrictive,15,3,ROOT,wear,1.407,1.638,231.0,0.0,0.0,0.0,0.0,0.0,0.0,True,34
1,2,restrictive,15,4,det,the,1.743,1.806,63.0,0.0,1.0,0.0,0.0,0.0,0.0,False,9
1,2,restrictive,15,5,dobj,hat,1.932,3.045,1113.0,0.0,0.166667,0.833333,0.0,0.0,0.05618,False,126
1,3,non-restrictive,22,0,det,The,0.021,0.063,42.0,0.0,1.0,0.0,0.0,0.0,0.0,False,6
1,3,non-restrictive,22,1,nsubj,girl,0.147,0.483,336.0,0.0,1.0,0.0,0.0,0.0,0.0,False,51
