"acc","accuracy","audio_file","average_response_time","avg_rt","background","block_size","canvas_backend","clock_backend","color_backend","condition","correct","correct_experiment_intro","correct_experiment_intro2","correct_new_1_keyboard_response","correct_new_2_keyboard_response","correct_new_2_sketchpad","correct_new_3_keyboard_response","correct_new_3_sketchpad","correct_new_4_keyboard_response","correct_new_4_sketchpad","correct_new_5_keyboard_response","correct_new_5_sketchpad","correct_new_6_keyboard_response","correct_new_7_keyboard_response","correct_new_7_sketchpad","correct_new_8_keyboard_response","correct_new_keyboard_response","correct_new_mouse_response","correct_welcome","count_audio_file_offset","count_audio_file_onset_log","count_definitions","count_experiment","count_experiment_intro","count_experiment_intro2","count_image_delay","count_image_nosub","count_image_sub","count_increment_roundCounter","count_instruction","count_instructions","count_log_instruction","count_new_1_inline_script","count_new_1_keyboard_response","count_new_1_sketchpad","count_new_2_keyboard_response","count_new_2_sketchpad","count_new_3_keyboard_response","count_new_3_sketchpad","count_new_4_keyboard_response","count_new_4_sketchpad","count_new_5_keyboard_response","count_new_5_sketchpad","count_new_6_keyboard_response","count_new_6_sketchpad","count_new_7_keyboard_response","count_new_7_sketchpad","count_new_8_keyboard_response","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_mouse_response","count_new_pygaze_init","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sketchpad","count_sentence_audio","count_subject_onset_log","count_trial_loop","count_trial_sequence","count_welcome","csv_filepath","csv_id","cursor_roi","cursor_x","cursor_y","datetime","delay_image_delay","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","id","image_nosub","image_sub","keyboard_backend","live_row","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","position1","position2","position3","position4","psychopy_screen","repeat_cycle","response","response_experiment_intro","response_experiment_intro2","response_instruction","response_new_1_keyboard_response","response_new_1_sketchpad","response_new_2_keyboard_response","response_new_2_sketchpad","response_new_3_keyboard_response","response_new_3_sketchpad","response_new_4_keyboard_response","response_new_4_sketchpad","response_new_5_keyboard_response","response_new_5_sketchpad","response_new_6_keyboard_response","response_new_6_sketchpad","response_new_7_keyboard_response","response_new_7_sketchpad","response_new_8_keyboard_response","response_new_keyboard_response","response_new_mouse_response","response_time","response_time_experiment_intro","response_time_experiment_intro2","response_time_instruction","response_time_new_1_keyboard_response","response_time_new_1_sketchpad","response_time_new_2_keyboard_response","response_time_new_2_sketchpad","response_time_new_3_keyboard_response","response_time_new_3_sketchpad","response_time_new_4_keyboard_response","response_time_new_4_sketchpad","response_time_new_5_keyboard_response","response_time_new_5_sketchpad","response_time_new_6_keyboard_response","response_time_new_6_sketchpad","response_time_new_7_keyboard_response","response_time_new_7_sketchpad","response_time_new_8_keyboard_response","response_time_new_keyboard_response","response_time_new_mouse_response","response_time_welcome","response_welcome","round","round_decimals","sampler_backend","sentence","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target_position","time_audio_file_offset","time_audio_file_onset_log","time_definitions","time_experiment","time_experiment_intro","time_experiment_intro2","time_image_delay","time_image_nosub","time_image_sub","time_increment_roundCounter","time_instruction","time_instructions","time_log_instruction","time_new_1_inline_script","time_new_1_keyboard_response","time_new_1_sketchpad","time_new_2_keyboard_response","time_new_2_sketchpad","time_new_3_keyboard_response","time_new_3_sketchpad","time_new_4_keyboard_response","time_new_4_sketchpad","time_new_5_keyboard_response","time_new_5_sketchpad","time_new_6_keyboard_response","time_new_6_sketchpad","time_new_7_keyboard_response","time_new_7_sketchpad","time_new_8_keyboard_response","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_mouse_response","time_new_pygaze_init","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sketchpad","time_sentence_audio","time_subject_onset_log","time_trial_loop","time_trial_sequence","time_welcome","timeout","title","total_correct","total_response_time","total_responses","width"
"undefined","undefined","4_r.wav","undefined","undefined","#dadada","256","psycho","psycho","psycho","restrictive","undefined","undefined","undefined","NA","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","0","0","0","0","0","NA","0","0","0","NA","0","NA","NA","0","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","0","participant_group3.csv","3","NA","NA","NA","Sun Jul 12 16:57:24 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Downloads","False","mono","False","20","no","#0c0c0c","no","yes","1440","4","5_pos2_nosub.png","5_pos2_sub.png","psycho","0","0","C:/Users/plcm/Desktop/2026-EyeTracking/group-eyeconic/OS2/final_recordings\subject-2.csv","psycho","Neonatal Nightingale","4.1.14","shuttle-cock","ball","paper-plane","acorns","0","0","space","space","space","NA","NA","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1299.8658999567851","1338.223799946718","5584.560300048906","NA","NA","NA","NA","2954.3456999817863","NA","2675.7213000091724","NA","3588.133299956098","NA","2627.9615000239573","NA","NA","NA","1299.8658999567851","NA","NA","NA","29283.503099984955","lalt","1","2","psycho","The boy will bounce the ball","1024","2","24000","-16","experiment","2","even","2","206865.84769998444","204292.23530000309","199663.42310002074","5344.026200007647","179564.62240003748","180910.1538999821","NA","200260.55820001056","204292.17179998523","NA","NA","179559.97220001882","NA","NA","NA","NA","NA","186500.40560000343","NA","189459.09790002042","NA","192138.6639000266","NA","195730.8567999862","NA","NA","NA","198362.83400002867","NA","NA","NA","206893.1349000195","NA","34640.52910002647","199938.12230002368","NA","NA","204316.1596999853","204261.22789998772","199663.45600003842","199937.62430001516","5355.378500011284","3000","SceneViewing","0","0","0","2560"
"100","100","19_n.wav","2420","2420","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","1","1","0","0","0","0","NA","1","1","1","NA","0","NA","NA","1","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","1","NA","0","1","1","1","1","1","0","1","0","participant_group3.csv","3","NA","NA","NA","Sun Jul 12 16:57:24 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Downloads","False","mono","False","20","no","#0c0c0c","no","yes","1440","19","20_pos1_nosub.png","20_pos1_sub.png","psycho","1","1","C:/Users/plcm/Desktop/2026-EyeTracking/group-eyeconic/OS2/final_recordings\subject-2.csv","psycho","Neonatal Nightingale","4.1.14","bread","spoon","spatula","bowl","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","2420.754600025248","1338.223799946718","5584.560300048906","NA","2420.754600025248","NA","NA","2954.3456999817863","NA","2675.7213000091724","NA","3588.133299956098","NA","2627.9615000239573","NA","NA","NA","1299.8658999567851","NA","NA","NA","29283.503099984955","lalt","2","2","psycho","The chef will clean the bread","1024","2","24000","-16","experiment","2","even","1","216185.8439000207","213637.22319999943","199663.42310002074","5344.026200007647","179564.62240003748","180910.1538999821","NA","209612.95929999324","213637.13049999205","209375.27359998785","NA","179559.97220001882","NA","NA","206953.94219999434","NA","NA","186500.40560000343","NA","189459.09790002042","NA","192138.6639000266","NA","195730.8567999862","NA","NA","NA","198362.83400002867","NA","NA","NA","216205.95560001675","NA","34640.52910002647","209596.77519998513","206933.307600033","206953.8383000181","213656.6285000299","213613.11129998649","199663.45600003842","209596.0364000057","5355.378500011284","3000","SceneViewing","1","2420.754600025248","1","2560"
"100","100","35_n.wav","2050","2050","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","2","2","0","0","0","0","NA","2","2","2","NA","0","NA","NA","2","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","2","NA","0","2","2","2","2","2","0","2","0","participant_group3.csv","3","NA","NA","NA","Sun Jul 12 16:57:24 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Downloads","False","mono","False","20","no","#0c0c0c","no","yes","1440","35","36_pos1_nosub.png","36_pos1_sub.png","psycho","2","2","C:/Users/plcm/Desktop/2026-EyeTracking/group-eyeconic/OS2/final_recordings\subject-2.csv","psycho","Neonatal Nightingale","4.1.14","mascara","brush","mirror","pot","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1680.9107000008225","1338.223799946718","5584.560300048906","NA","1680.9107000008225","NA","NA","2954.3456999817863","NA","2675.7213000091724","NA","3588.133299956098","NA","2627.9615000239573","NA","NA","NA","1299.8658999567851","NA","NA","NA","29283.503099984955","lalt","3","2","psycho","The girl will squeeze the mascara","1024","2","24000","-16","experiment","2","even","1","225315.60580001678","222175.50710000796","199663.42310002074","5344.026200007647","179564.62240003748","180910.1538999821","NA","218151.87480003806","222175.4545000149","217903.4990000073","NA","179559.97220001882","NA","NA","216221.8820999842","NA","NA","186500.40560000343","NA","189459.09790002042","NA","192138.6639000266","NA","195730.8567999862","NA","NA","NA","198362.83400002867","NA","NA","NA","225335.19399998477","NA","34640.52910002647","218137.4877000344","216212.53840002464","216221.78299998632","222194.49070002884","222152.1712000249","199663.45600003842","218136.95449999068","5355.378500011284","3000","SceneViewing","2","4101.66530002607","2","2560"
"100","100","34_r.wav","1936","1936","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","3","3","0","0","0","0","NA","3","3","3","NA","0","NA","NA","3","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","3","NA","0","3","3","3","3","3","0","3","0","participant_group3.csv","3","NA","NA","NA","Sun Jul 12 16:57:24 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Downloads","False","mono","False","20","no","#0c0c0c","no","yes","1440","34","35_pos4_nosub.png","35_pos4_sub.png","psycho","3","3","C:/Users/plcm/Desktop/2026-EyeTracking/group-eyeconic/OS2/final_recordings\subject-2.csv","psycho","Neonatal Nightingale","4.1.14","puzzle","notebook","pillow","radio","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1706.663999997545","1338.223799946718","5584.560300048906","NA","1706.663999997545","NA","NA","2954.3456999817863","NA","2675.7213000091724","NA","3588.133299956098","NA","2627.9615000239573","NA","NA","NA","1299.8658999567851","NA","NA","NA","29283.503099984955","lalt","4","2","psycho","The boy will switch on the radio","1024","2","24000","-16","experiment","2","even","4","234426.21519998647","231358.20369998692","199663.42310002074","5344.026200007647","179564.62240003748","180910.1538999821","NA","227333.86760001304","231358.1380000105","227071.2835000013","NA","179559.97220001882","NA","NA","225364.07489998965","NA","NA","186500.40560000343","NA","189459.09790002042","NA","192138.6639000266","NA","195730.8567999862","NA","NA","NA","198362.83400002867","NA","NA","NA","234445.32679999247","NA","34640.52910002647","227319.1339999903","225354.63060002076","225363.96809999133","231377.45640001958","231335.0664000027","199663.45600003842","227318.473500025","5355.378500011284","3000","SceneViewing","3","5808.329300023615","3","2560"
"100","100","47_n.wav","1810","1810","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","4","4","0","0","0","0","NA","4","4","4","NA","0","NA","NA","4","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","4","NA","0","4","4","4","4","4","0","4","0","participant_group3.csv","3","NA","NA","NA","Sun Jul 12 16:57:24 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Downloads","False","mono","False","20","no","#0c0c0c","no","yes","1440","47","48_pos1_nosub.png","48_pos1_sub.png","psycho","4","4","C:/Users/plcm/Desktop/2026-EyeTracking/group-eyeconic/OS2/final_recordings\subject-2.csv","psycho","Neonatal Nightingale","4.1.14","carpet","dustpan","roller","footstool","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1434.4522000174038","1338.223799946718","5584.560300048906","NA","1434.4522000174038","NA","NA","2954.3456999817863","NA","2675.7213000091724","NA","3588.133299956098","NA","2627.9615000239573","NA","NA","NA","1299.8658999567851","NA","NA","NA","29283.503099984955","lalt","5","2","psycho","The girl will move the carpet","1024","2","24000","-16","experiment","2","even","1","242935.62609999208","240156.57099999953","199663.42310002074","5344.026200007647","179564.62240003748","180910.1538999821","NA","236131.76980003482","240156.48479998345","235911.42930003116","NA","179559.97220001882","NA","NA","234476.34870000184","NA","NA","186500.40560000343","NA","189459.09790002042","NA","192138.6639000266","NA","195730.8567999862","NA","NA","NA","198362.83400002867","NA","NA","NA","242955.10560000548","NA","34640.52910002647","236115.78009999357","234466.93589998176","234476.25300002983","240176.11100000795","240131.9432000164","199663.45600003842","236115.2061999892","5355.378500011284","3000","SceneViewing","4","7242.781500041019","4","2560"
"100","100","31_n.wav","1784","1784","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","5","5","0","0","0","0","NA","5","5","5","NA","0","NA","NA","5","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","5","NA","0","5","5","5","5","5","0","5","0","participant_group3.csv","3","NA","NA","NA","Sun Jul 12 16:57:24 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Downloads","False","mono","False","20","no","#0c0c0c","no","yes","1440","31","32_pos1_nosub.png","32_pos1_sub.png","psycho","5","5","C:/Users/plcm/Desktop/2026-EyeTracking/group-eyeconic/OS2/final_recordings\subject-2.csv","psycho","Neonatal Nightingale","4.1.14","bottle","lemon","sponge","seed","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1678.9961999747902","1338.223799946718","5584.560300048906","NA","1678.9961999747902","NA","NA","2954.3456999817863","NA","2675.7213000091724","NA","3588.133299956098","NA","2627.9615000239573","NA","NA","NA","1299.8658999567851","NA","NA","NA","29283.503099984955","lalt","6","2","psycho","The woman will examine the bottle","1024","2","24000","-16","experiment","2","even","1","251915.61989998445","248916.43300000578","199663.42310002074","5344.026200007647","179564.62240003748","180910.1538999821","NA","244893.2736000279","248916.3802000112","244663.5456000222","NA","179559.97220001882","NA","NA","242983.69890003232","NA","NA","186500.40560000343","NA","189459.09790002042","NA","192138.6639000266","NA","195730.8567999862","NA","NA","NA","198362.83400002867","NA","NA","NA","251935.24950003484","NA","34640.52910002647","244877.55770003423","242973.52679999312","242983.5445000208","248935.8747000224","248893.39330000803","199663.45600003842","244876.86509999912","5355.378500011284","3000","SceneViewing","5","8921.77770001581","5","2560"
"100","100","12_r.wav","1750","1750","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","6","6","0","0","0","0","NA","6","6","6","NA","0","NA","NA","6","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","6","NA","0","6","6","6","6","6","0","6","0","participant_group3.csv","3","NA","NA","NA","Sun Jul 12 16:57:24 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Downloads","False","mono","False","20","no","#0c0c0c","no","yes","1440","12","13_pos2_nosub.png","13_pos2_sub.png","psycho","6","6","C:/Users/plcm/Desktop/2026-EyeTracking/group-eyeconic/OS2/final_recordings\subject-2.csv","psycho","Neonatal Nightingale","4.1.14","car","boat","birds","sun","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1583.079900010489","1338.223799946718","5584.560300048906","NA","1583.079900010489","NA","NA","2954.3456999817863","NA","2675.7213000091724","NA","3588.133299956098","NA","2627.9615000239573","NA","NA","NA","1299.8658999567851","NA","NA","NA","29283.503099984955","lalt","7","2","psycho","The man will sail the boat","1024","2","24000","-16","experiment","2","even","2","260256.08690001536","257767.23190001212","199663.42310002074","5344.026200007647","179564.62240003748","180910.1538999821","NA","253743.4021999943","257767.17690000078","253535.69819999393","NA","179559.97220001882","NA","NA","251951.8618999864","NA","NA","186500.40560000343","NA","189459.09790002042","NA","192138.6639000266","NA","195730.8567999862","NA","NA","NA","198362.83400002867","NA","NA","NA","260275.8548000129","NA","34640.52910002647","253726.06830002042","251941.56040000962","251951.7244999879","257786.9614000083","257744.0959000378","199663.45600003842","253725.45040003024","5355.378500011284","3000","SceneViewing","6","10504.857600026298","6","2560"
"100","100","44_r.wav","1696","1696","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","7","7","0","0","0","0","NA","7","7","7","NA","0","NA","NA","7","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","7","NA","0","7","7","7","7","7","0","7","0","participant_group3.csv","3","NA","NA","NA","Sun Jul 12 16:57:24 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Downloads","False","mono","False","20","no","#0c0c0c","no","yes","1440","44","45_pos2_nosub.png","45_pos2_sub.png","psycho","7","7","C:/Users/plcm/Desktop/2026-EyeTracking/group-eyeconic/OS2/final_recordings\subject-2.csv","psycho","Neonatal Nightingale","4.1.14","hammer","dough","glass","ladle","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1373.2171999872662","1338.223799946718","5584.560300048906","NA","1373.2171999872662","NA","NA","2954.3456999817863","NA","2675.7213000091724","NA","3588.133299956098","NA","2627.9615000239573","NA","NA","NA","1299.8658999567851","NA","NA","NA","29283.503099984955","lalt","8","2","psycho","The baker will knead the dough","1024","2","24000","-16","experiment","2","even","2","268535.8096000273","265904.00260000024","199663.42310002074","5344.026200007647","179564.62240003748","180910.1538999821","NA","261880.9955000179","265903.95030000946","261679.7972000204","NA","179559.97220001882","NA","NA","260305.570800032","NA","NA","186500.40560000343","NA","189459.09790002042","NA","192138.6639000266","NA","195730.8567999862","NA","NA","NA","198362.83400002867","NA","NA","NA","268555.1207999815","NA","34640.52910002647","261865.64790003467","260295.19340000115","260305.3285999922","265923.5994000337","265881.6733999993","199663.45600003842","261864.83580002096","5355.378500011284","3000","SceneViewing","7","11878.074800013565","7","2560"
"100","100","24_r.wav","1629","1629","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","8","8","0","0","0","0","NA","8","8","8","NA","0","NA","NA","8","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","8","NA","0","8","8","8","8","8","0","8","0","participant_group3.csv","3","NA","NA","NA","Sun Jul 12 16:57:24 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Downloads","False","mono","False","20","no","#0c0c0c","no","yes","1440","24","25_pos2_nosub.png","25_pos2_sub.png","psycho","8","8","C:/Users/plcm/Desktop/2026-EyeTracking/group-eyeconic/OS2/final_recordings\subject-2.csv","psycho","Neonatal Nightingale","4.1.14","glass","rabbit","plate","potato","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1155.1985999685712","1338.223799946718","5584.560300048906","NA","1155.1985999685712","NA","NA","2954.3456999817863","NA","2675.7213000091724","NA","3588.133299956098","NA","2627.9615000239573","NA","NA","NA","1299.8658999567851","NA","NA","NA","29283.503099984955","lalt","9","2","psycho","The girl will groom the rabbit","1024","2","24000","-16","experiment","2","even","2","276705.6435000268","273966.3246999844","199663.42310002074","5344.026200007647","179564.62240003748","180910.1538999821","NA","269943.47769999877","273966.27229999285","269727.6777999941","NA","179559.97220001882","NA","NA","268571.5324000339","NA","NA","186500.40560000343","NA","189459.09790002042","NA","192138.6639000266","NA","195730.8567999862","NA","NA","NA","198362.83400002867","NA","NA","NA","276724.6429999941","NA","34640.52910002647","269926.4951000223","268561.6529000108","268571.4260999812","273985.6571999844","273943.8336000312","199663.45600003842","269925.8827000158","5355.378500011284","3000","SceneViewing","8","13033.273399982136","8","2560"
"100","100","48_r.wav","1651","1651","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","9","9","0","0","0","0","NA","9","9","9","NA","0","NA","NA","9","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","9","NA","0","9","9","9","9","9","0","9","0","participant_group3.csv","3","NA","NA","NA","Sun Jul 12 16:57:24 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Downloads","False","mono","False","20","no","#0c0c0c","no","yes","1440","48","49_pos2_nosub.png","49_pos2_sub.png","psycho","9","9","C:/Users/plcm/Desktop/2026-EyeTracking/group-eyeconic/OS2/final_recordings\subject-2.csv","psycho","Neonatal Nightingale","4.1.14","pouch","balloon","pump","flag","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1826.229800004512","1338.223799946718","5584.560300048906","NA","1826.229800004512","NA","NA","2954.3456999817863","NA","2675.7213000091724","NA","3588.133299956098","NA","2627.9615000239573","NA","NA","NA","1299.8658999567851","NA","NA","NA","29283.503099984955","lalt","10","2","psycho","The child will inflate the balloon","1024","2","24000","-16","experiment","2","even","2","285925.6414999836","282843.3254000265","199663.42310002074","5344.026200007647","179564.62240003748","180910.1538999821","NA","278819.75770002464","282843.24790001847","278567.338199995","NA","179559.97220001882","NA","NA","276740.498500003","NA","NA","186500.40560000343","NA","189459.09790002042","NA","192138.6639000266","NA","195730.8567999862","NA","NA","NA","198362.83400002867","NA","NA","NA","285945.01770002535","NA","34640.52910002647","278804.466600006","276730.2877000184","276740.3700000141","282862.601300003","282819.8914999957","199663.45600003842","278803.6013999954","5355.378500011284","3000","SceneViewing","9","14859.503199986648","9","2560"
