"acc","accuracy","audio_file","average_response_time","avg_rt","background","block_size","canvas_backend","clock_backend","color_backend","condition","correct","correct_experiment_intro","correct_experiment_intro2","correct_new_1_keyboard_response","correct_new_2_keyboard_response","correct_new_2_sketchpad","correct_new_3_keyboard_response","correct_new_3_sketchpad","correct_new_4_keyboard_response","correct_new_4_sketchpad","correct_new_5_keyboard_response","correct_new_5_sketchpad","correct_new_6_keyboard_response","correct_new_7_keyboard_response","correct_new_7_sketchpad","correct_new_8_keyboard_response","correct_new_keyboard_response","correct_new_mouse_response","correct_welcome","count_audio_file_offset","count_audio_file_onset_log","count_definitions","count_experiment","count_experiment_intro","count_experiment_intro2","count_image_delay","count_image_nosub","count_image_sub","count_increment_roundCounter","count_instruction","count_instructions","count_log_instruction","count_new_1_inline_script","count_new_1_keyboard_response","count_new_1_sketchpad","count_new_2_keyboard_response","count_new_2_sketchpad","count_new_3_keyboard_response","count_new_3_sketchpad","count_new_4_keyboard_response","count_new_4_sketchpad","count_new_5_keyboard_response","count_new_5_sketchpad","count_new_6_keyboard_response","count_new_6_sketchpad","count_new_7_keyboard_response","count_new_7_sketchpad","count_new_8_keyboard_response","count_new_inline_script","count_new_keyboard_response","count_new_logger","count_new_mouse_response","count_new_pygaze_init","count_new_pygaze_start_recording","count_new_pygaze_stop_recording","count_new_sketchpad","count_sentence_audio","count_subject_onset_log","count_trial_loop","count_trial_sequence","count_welcome","csv_filepath","csv_id","cursor_roi","cursor_x","cursor_y","datetime","delay_image_delay","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","id","image_nosub","image_sub","keyboard_backend","live_row","live_row_trial_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","position1","position2","position3","position4","psychopy_screen","repeat_cycle","response","response_experiment_intro","response_experiment_intro2","response_instruction","response_new_1_keyboard_response","response_new_1_sketchpad","response_new_2_keyboard_response","response_new_2_sketchpad","response_new_3_keyboard_response","response_new_3_sketchpad","response_new_4_keyboard_response","response_new_4_sketchpad","response_new_5_keyboard_response","response_new_5_sketchpad","response_new_6_keyboard_response","response_new_6_sketchpad","response_new_7_keyboard_response","response_new_7_sketchpad","response_new_8_keyboard_response","response_new_keyboard_response","response_new_mouse_response","response_time","response_time_experiment_intro","response_time_experiment_intro2","response_time_instruction","response_time_new_1_keyboard_response","response_time_new_1_sketchpad","response_time_new_2_keyboard_response","response_time_new_2_sketchpad","response_time_new_3_keyboard_response","response_time_new_3_sketchpad","response_time_new_4_keyboard_response","response_time_new_4_sketchpad","response_time_new_5_keyboard_response","response_time_new_5_sketchpad","response_time_new_6_keyboard_response","response_time_new_6_sketchpad","response_time_new_7_keyboard_response","response_time_new_7_sketchpad","response_time_new_8_keyboard_response","response_time_new_keyboard_response","response_time_new_mouse_response","response_time_welcome","response_welcome","round","round_decimals","sampler_backend","sentence","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target_position","time_audio_file_offset","time_audio_file_onset_log","time_definitions","time_experiment","time_experiment_intro","time_experiment_intro2","time_image_delay","time_image_nosub","time_image_sub","time_increment_roundCounter","time_instruction","time_instructions","time_log_instruction","time_new_1_inline_script","time_new_1_keyboard_response","time_new_1_sketchpad","time_new_2_keyboard_response","time_new_2_sketchpad","time_new_3_keyboard_response","time_new_3_sketchpad","time_new_4_keyboard_response","time_new_4_sketchpad","time_new_5_keyboard_response","time_new_5_sketchpad","time_new_6_keyboard_response","time_new_6_sketchpad","time_new_7_keyboard_response","time_new_7_sketchpad","time_new_8_keyboard_response","time_new_inline_script","time_new_keyboard_response","time_new_logger","time_new_mouse_response","time_new_pygaze_init","time_new_pygaze_start_recording","time_new_pygaze_stop_recording","time_new_sketchpad","time_sentence_audio","time_subject_onset_log","time_trial_loop","time_trial_sequence","time_welcome","timeout","title","total_correct","total_response_time","total_responses","width"
"undefined","undefined","16_r.wav","undefined","undefined","#dadada","256","psycho","psycho","psycho","restrictive","undefined","undefined","undefined","NA","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","0","0","0","0","0","0","NA","0","0","0","NA","0","NA","NA","0","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","0","participant_group5.csv","5","NA","NA","NA","Mon Jul 13 14:55:54 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","16","17_pos3_nosub.png","17_pos3_sub.png","psycho","0","0","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-4.csv","psycho","Neonatal Nightingale","4.1.14","backpack","ribbon","dress","lantern","0","0","space","space","space","NA","NA","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","4211.418799997773","2578.7385999574326","7490.701499977149","NA","NA","NA","NA","5131.5618000226095","NA","5883.5130000370555","NA","3060.0585999782197","NA","2787.719800020568","NA","NA","NA","4211.418799997773","NA","NA","NA","14049.064000020735","c","1","2","psycho","The woman will wear the dress","1024","2","24000","-16","experiment","4","even","3","156053.4808000084","153421.1783000501","148439.22410003142","4753.449600015301","117267.90970005095","119851.99000005377","NA","149393.01400003023","153421.12800001632","NA","NA","117263.87700001942","NA","NA","NA","NA","NA","127347.16250002384","NA","132483.14490000485","NA","138370.55600003805","NA","141434.91240002913","NA","NA","NA","144227.19540004618","NA","NA","NA","156075.99320000736","NA","18815.728400018997","148652.27050002431","NA","NA","153448.31700000213","153393.5393000138","148439.26110002212","148651.6012000502","4765.567600028589","3000","SceneViewing","0","0","0","2560"
"100","100","27_n.wav","1833","1833","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","1","1","0","0","0","0","NA","1","1","1","NA","0","NA","NA","1","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","1","NA","0","1","1","1","1","1","0","1","0","participant_group5.csv","5","NA","NA","NA","Mon Jul 13 14:55:54 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","27","28_pos2_nosub.png","28_pos2_sub.png","psycho","1","1","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-4.csv","psycho","Neonatal Nightingale","4.1.14","picture","lamp","switch","frame","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1833.0157999880612","2578.7385999574326","7490.701499977149","NA","1833.0157999880612","NA","NA","5131.5618000226095","NA","5883.5130000370555","NA","3060.0585999782197","NA","2787.719800020568","NA","NA","NA","4211.418799997773","NA","NA","NA","14049.064000020735","c","2","2","psycho","The boy will touch the lamp","1024","2","24000","-16","experiment","4","even","2","164603.19970001","162190.48770004883","148439.22410003142","4753.449600015301","117267.90970005095","119851.99000005377","NA","158166.50510003092","162190.4332000413","157959.41680000396","NA","117263.87700001942","NA","NA","156125.67490001675","NA","NA","127347.16250002384","NA","132483.14490000485","NA","138370.55600003805","NA","141434.91240002913","NA","NA","NA","144227.19540004618","NA","NA","NA","164622.90230003418","NA","18815.728400018997","158151.1049999972","156103.39670005487","156125.56670000777","162210.67190001486","162167.12830000324","148439.26110002212","158150.57759999763","4765.567600028589","3000","SceneViewing","1","1833.0157999880612","1","2560"
"100","100","12_r.wav","1871","1871","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","2","2","0","0","0","0","NA","2","2","2","NA","0","NA","NA","2","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","2","NA","0","2","2","2","2","2","0","2","0","participant_group5.csv","5","NA","NA","NA","Mon Jul 13 14:55:54 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","12","13_pos3_nosub.png","13_pos3_sub.png","psycho","2","2","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-4.csv","psycho","Neonatal Nightingale","4.1.14","sun","car","boat","birds","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1909.616399963852","2578.7385999574326","7490.701499977149","NA","1909.616399963852","NA","NA","5131.5618000226095","NA","5883.5130000370555","NA","3060.0585999782197","NA","2787.719800020568","NA","NA","NA","4211.418799997773","NA","NA","NA","14049.064000020735","c","3","2","psycho","The man will sail the boat","1024","2","24000","-16","experiment","4","even","3","173243.57230000896","170769.5582000306","148439.22410003142","4753.449600015301","117267.90970005095","119851.99000005377","NA","166745.27030001627","170769.49860004243","166551.10110004898","NA","117263.87700001942","NA","NA","164640.99870005157","NA","NA","127347.16250002384","NA","132483.14490000485","NA","138370.55600003805","NA","141434.91240002913","NA","NA","NA","144227.19540004618","NA","NA","NA","173262.72100000642","NA","18815.728400018997","166729.66640000232","164631.1753000482","164640.8083999995","170788.59230002854","170745.90320000425","148439.26110002212","166729.07970001688","4765.567600028589","3000","SceneViewing","2","3742.632199951913","2","2560"
"100","100","0_r.wav","1559","1559","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","3","3","0","0","0","0","NA","3","3","3","NA","0","NA","NA","3","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","3","NA","0","3","3","3","3","3","0","3","0","participant_group5.csv","5","NA","NA","NA","Mon Jul 13 14:55:54 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","0","1_pos3_nosub.png","1_pos3_sub.png","psycho","3","3","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-4.csv","psycho","Neonatal Nightingale","4.1.14","toy-train","ball","cake","toy-car","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","935.5906000128016","2578.7385999574326","7490.701499977149","NA","935.5906000128016","NA","NA","5131.5618000226095","NA","5883.5130000370555","NA","3060.0585999782197","NA","2787.719800020568","NA","NA","NA","4211.418799997773","NA","NA","NA","14049.064000020735","c","4","2","psycho","The boy will eat the cake","1024","2","24000","-16","experiment","4","even","3","180773.4248000197","178436.7761000176","148439.22410003142","4753.449600015301","117267.90970005095","119851.99000005377","NA","174412.60090004653","178436.70680001378","174215.16920003342","NA","117263.87700001942","NA","NA","173278.98760000244","NA","NA","127347.16250002384","NA","132483.14490000485","NA","138370.55600003805","NA","141434.91240002913","NA","NA","NA","144227.19540004618","NA","NA","NA","180792.6503000199","NA","18815.728400018997","174397.36910001375","173269.20600002632","173278.87420001207","178456.51000004727","178413.07350003626","148439.26110002212","174396.7214000295","4765.567600028589","3000","SceneViewing","3","4678.222799964715","3","2560"
"100","100","41_n.wav","1234","1234","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","4","4","0","0","0","0","NA","4","4","4","NA","0","NA","NA","4","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","4","NA","0","4","4","4","4","4","0","4","0","participant_group5.csv","5","NA","NA","NA","Mon Jul 13 14:55:54 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","41","42_pos4_nosub.png","42_pos4_sub.png","psycho","4","4","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-4.csv","psycho","Neonatal Nightingale","4.1.14","stone","cone","shell","orange","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","261.02749997517094","2578.7385999574326","7490.701499977149","NA","261.02749997517094","NA","NA","5131.5618000226095","NA","5883.5130000370555","NA","3060.0585999782197","NA","2787.719800020568","NA","NA","NA","4211.418799997773","NA","NA","NA","14049.064000020735","c","5","2","psycho","The boy will move the orange","1024","2","24000","-16","experiment","4","even","4","187923.52030001348","185304.20690000756","148439.22410003142","4753.449600015301","117267.90970005095","119851.99000005377","NA","181279.83740001218","185304.1364000528","181071.53130002553","NA","117263.87700001942","NA","NA","180809.5539000351","NA","NA","127347.16250002384","NA","132483.14490000485","NA","138370.55600003805","NA","141434.91240002913","NA","NA","NA","144227.19540004618","NA","NA","NA","187943.24020005297","NA","18815.728400018997","181266.10240002628","180799.0651000291","180809.44930005353","185323.35160003277","185280.57719999924","148439.26110002212","181265.30890003778","4765.567600028589","3000","SceneViewing","4","4939.250299939886","4","2560"
"100","100","10_r.wav","989","989","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","5","5","0","0","0","0","NA","5","5","5","NA","0","NA","NA","5","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","5","NA","0","5","5","5","5","5","0","5","0","participant_group5.csv","5","NA","NA","NA","Mon Jul 13 14:55:54 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","10","11_pos1_nosub.png","11_pos1_sub.png","psycho","5","5","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-4.csv","psycho","Neonatal Nightingale","4.1.14","washing-machine","mirror","dog","wastebin","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","6.8509000120684505","2578.7385999574326","7490.701499977149","NA","6.8509000120684505","NA","NA","5131.5618000226095","NA","5883.5130000370555","NA","3060.0585999782197","NA","2787.719800020568","NA","NA","NA","4211.418799997773","NA","NA","NA","14049.064000020735","c","6","2","psycho","The man will repair the washing machine","1024","2","24000","-16","experiment","4","even","1","195683.36490000365","192195.52540004952","148439.22410003142","4753.449600015301","117267.90970005095","119851.99000005377","NA","188171.24950001016","192195.46740001533","187967.11190004135","NA","117263.87700001942","NA","NA","187959.74650001153","NA","NA","127347.16250002384","NA","132483.14490000485","NA","138370.55600003805","NA","141434.91240002913","NA","NA","NA","144227.19540004618","NA","NA","NA","195702.69590005046","NA","18815.728400018997","188156.24090004712","187949.63780004764","187959.6395000117","192214.91630002856","192171.864700038","148439.26110002212","188155.77850001864","4765.567600028589","3000","SceneViewing","5","4946.101199951954","5","2560"
"100","100","38_r.wav","1054","1054","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","6","6","0","0","0","0","NA","6","6","6","NA","0","NA","NA","6","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","6","NA","0","6","6","6","6","6","0","6","0","participant_group5.csv","5","NA","NA","NA","Mon Jul 13 14:55:54 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","38","39_pos1_nosub.png","39_pos1_sub.png","psycho","6","6","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-4.csv","psycho","Neonatal Nightingale","4.1.14","apron","mop","broom","cloth","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1383.3445000345819","2578.7385999574326","7490.701499977149","NA","1383.3445000345819","NA","NA","5131.5618000226095","NA","5883.5130000370555","NA","3060.0585999782197","NA","2787.719800020568","NA","NA","NA","4211.418799997773","NA","NA","NA","14049.064000020735","c","7","2","psycho","The woman will tie the apron","1024","2","24000","-16","experiment","4","even","1","204033.230800007","201332.65950001078","148439.22410003142","4753.449600015301","117267.90970005095","119851.99000005377","NA","197308.80650004838","201332.60140003404","197103.1314000138","NA","117263.87700001942","NA","NA","195719.21640000073","NA","NA","127347.16250002384","NA","132483.14490000485","NA","138370.55600003805","NA","141434.91240002913","NA","NA","NA","144227.19540004618","NA","NA","NA","204052.5962000247","NA","18815.728400018997","197291.22870002175","195708.97570002126","195719.08650000114","201351.87020001467","201309.46340004448","148439.26110002212","197290.7393000205","4765.567600028589","3000","SceneViewing","6","6329.445699986536","6","2560"
"100","100","45_n.wav","1171","1171","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","7","7","0","0","0","0","NA","7","7","7","NA","0","NA","NA","7","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","7","NA","0","7","7","7","7","7","0","7","0","participant_group5.csv","5","NA","NA","NA","Mon Jul 13 14:55:54 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","45","46_pos4_nosub.png","46_pos4_sub.png","psycho","7","7","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-4.csv","psycho","Neonatal Nightingale","4.1.14","laddle","peeler","pot","carrot","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","1872.21329996828","2578.7385999574326","7490.701499977149","NA","1872.21329996828","NA","NA","5131.5618000226095","NA","5883.5130000370555","NA","3060.0585999782197","NA","2787.719800020568","NA","NA","NA","4211.418799997773","NA","NA","NA","14049.064000020735","c","8","2","psycho","The chef will carry the carrot","1024","2","24000","-16","experiment","4","even","4","212793.32850000355","210182.5565000181","148439.22410003142","4753.449600015301","117267.90970005095","119851.99000005377","NA","206159.3772000051","210182.49690002995","205959.25120002357","NA","117263.87700001942","NA","NA","204086.3869000459","NA","NA","127347.16250002384","NA","132483.14490000485","NA","138370.55600003805","NA","141434.91240002913","NA","NA","NA","144227.19540004618","NA","NA","NA","212812.75350000942","NA","18815.728400018997","206145.28200001223","204076.76700002048","204086.2586000003","210201.6239000368","210159.64340005303","148439.26110002212","206144.65060003567","4765.567600028589","3000","SceneViewing","7","8201.658999954816","7","2560"
"100","100","30_r.wav","1113","1113","#dadada","256","psycho","psycho","psycho","restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","8","8","0","0","0","0","NA","8","8","8","NA","0","NA","NA","8","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","8","NA","0","8","8","8","8","8","0","8","0","participant_group5.csv","5","NA","NA","NA","Mon Jul 13 14:55:54 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","30","31_pos1_nosub.png","31_pos1_sub.png","psycho","8","8","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-4.csv","psycho","Neonatal Nightingale","4.1.14","dice","cap","watch","headphones","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","709.2450999771245","2578.7385999574326","7490.701499977149","NA","709.2450999771245","NA","NA","5131.5618000226095","NA","5883.5130000370555","NA","3060.0585999782197","NA","2787.719800020568","NA","NA","NA","4211.418799997773","NA","NA","NA","14049.064000020735","c","9","2","psycho","The girl will roll the dice","1024","2","24000","-16","experiment","4","even","1","220373.17170004826","217770.32650000183","148439.22410003142","4753.449600015301","117267.90970005095","119851.99000005377","NA","213745.1960000326","217770.27310000267","213543.62760001095","NA","117263.87700001942","NA","NA","212833.3896000404","NA","NA","127347.16250002384","NA","132483.14490000485","NA","138370.55600003805","NA","141434.91240002913","NA","NA","NA","144227.19540004618","NA","NA","NA","220392.75440003257","NA","18815.728400018997","213729.81230000732","212823.04600003408","212833.24740000535","217790.24740000023","217745.765700005","148439.26110002212","213729.0569000179","4765.567600028589","3000","SceneViewing","8","8910.90409993194","8","2560"
"100","100","23_n.wav","1098","1098","#dadada","256","psycho","psycho","psycho","non-restrictive","1","undefined","undefined","1","NA","undefined","NA","undefined","NA","undefined","NA","undefined","NA","NA","undefined","NA","NA","NA","undefined","9","9","0","0","0","0","NA","9","9","9","NA","0","NA","NA","9","0","NA","0","NA","0","NA","0","NA","0","NA","NA","NA","0","NA","NA","NA","9","NA","0","9","9","9","9","9","0","9","0","participant_group5.csv","5","NA","NA","NA","Mon Jul 13 14:55:54 2026","NA","The main experiment item","False","VWP_finalSetup_12_07.osexp","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl","False","mono","False","20","no","#0c0c0c","no","yes","1440","23","24_pos2_nosub.png","24_pos2_sub.png","psycho","9","9","C:\Users\plcm\Desktop\2026-EyeTracking\group-eyeconic\OS2\final_recordings_upl\subject-4.csv","psycho","Neonatal Nightingale","4.1.14","card","scarf","pencil","needle","0","0","space","space","space","NA","space","NA","NA","space","NA","space","NA","space","NA","space","NA","NA","NA","space","NA","NA","NA","976.5785000054166","2578.7385999574326","7490.701499977149","NA","976.5785000054166","NA","NA","5131.5618000226095","NA","5883.5130000370555","NA","3060.0585999782197","NA","2787.719800020568","NA","NA","NA","4211.418799997773","NA","NA","NA","14049.064000020735","c","10","2","psycho","The girl will hold the scarf","1024","2","24000","-16","experiment","4","even","2","228283.27539999736","225621.20600003982","148439.22410003142","4753.449600015301","117267.90970005095","119851.99000005377","NA","221597.8578000213","225621.14100001054","221399.3151000468","NA","117263.87700001942","NA","NA","220422.01270000078","NA","NA","127347.16250002384","NA","132483.14490000485","NA","138370.55600003805","NA","141434.91240002913","NA","NA","NA","144227.19540004618","NA","NA","NA","228302.18840000452","NA","18815.728400018997","221583.99640000425","220411.83830000227","220421.902400034","225640.8850000007","225597.98140003113","148439.26110002212","221583.40320002753","4765.567600028589","3000","SceneViewing","9","9887.482599937357","9","2560"
