stimuliId,partID,condition,obj,count_per_obj_per_part
7,1,non-restrictive,weighing-scales,0
7,1,non-restrictive,jug,0
7,1,non-restrictive,mushrooms,0
7,1,non-restrictive,knife,0
16,1,restrictive,wallet,0
16,1,restrictive,magnifying-glass,0
16,1,restrictive,folder,0
16,1,restrictive,hat,0
40,1,restrictive,shampoo,0
40,1,restrictive,mat,0
40,1,restrictive,buckle,0
40,1,restrictive,shoelace,0
22,1,restrictive,cushion,0
22,1,restrictive,flower,0
22,1,restrictive,magazine,13
22,1,restrictive,vase,0
39,1,non-restrictive,broom,0
39,1,non-restrictive,cloth,0
39,1,non-restrictive,apron,0
39,1,non-restrictive,mop,0
5,1,non-restrictive,ball,57
5,1,non-restrictive,paper-plane,0
5,1,non-restrictive,acorns,0
5,1,non-restrictive,shuttle-cock,0
30,1,restrictive,tissue,0
30,1,restrictive,newspaper,2
30,1,restrictive,comb,0
30,1,restrictive,eraser,0
24,1,restrictive,pencil,39
24,1,restrictive,needle,0
24,1,restrictive,card,0
24,1,restrictive,scarf,0
20,1,restrictive,spoon,0
20,1,restrictive,spatula,0
20,1,restrictive,bowl,0
20,1,restrictive,bread,68
23,1,non-restrictive,poster,0
23,1,non-restrictive,towel,0
23,1,non-restrictive,coat,0
23,1,non-restrictive,hook,0
8,1,restrictive,tv-monitor,0
8,1,restrictive,toy-bear,0
8,1,restrictive,microscope,0
8,1,restrictive,child,0
44,1,restrictive,pan,0
44,1,restrictive,bolt,0
44,1,restrictive,handle,0
44,1,restrictive,safe,0
9,1,non-restrictive,piano,50
9,1,non-restrictive,table,0
9,1,non-restrictive,telephone,0
9,1,non-restrictive,television,0
31,1,non-restrictive,watch,0
31,1,non-restrictive,headphones,0
31,1,non-restrictive,dice,0
31,1,non-restrictive,cap,0
37,1,non-restrictive,lego,0
37,1,non-restrictive,papers,0
37,1,non-restrictive,boxes,0
37,1,non-restrictive,clips,0
21,1,non-restrictive,kitten,2
21,1,non-restrictive,block,0
21,1,non-restrictive,crayon,0
21,1,non-restrictive,cup,0
6,1,restrictive,moon,0
6,1,restrictive,mountain,71
6,1,restrictive,animal,0
6,1,restrictive,cactus,0
2,1,restrictive,lipstick,56
2,1,restrictive,wine,0
2,1,restrictive,cheese,0
2,1,restrictive,chair,27
33,1,non-restrictive,beer,0
33,1,non-restrictive,mug,0
33,1,non-restrictive,biscuit,0
33,1,non-restrictive,kettle,0
4,1,restrictive,plant,0
4,1,restrictive,stool,0
4,1,restrictive,rocking-horse,0
4,1,restrictive,baby,14
3,1,non-restrictive,houses,0
3,1,non-restrictive,dustbin,0
3,1,non-restrictive,man,71
3,1,non-restrictive,car,0
47,1,non-restrictive,gum,0
47,1,non-restrictive,stand,0
47,1,non-restrictive,violin,0
47,1,non-restrictive,bow,0
17,1,non-restrictive,dress,0
17,1,non-restrictive,lantern,0
17,1,non-restrictive,backpack,0
17,1,non-restrictive,ribbon,69
19,1,non-restrictive,feather,0
19,1,non-restrictive,leaf,0
19,1,non-restrictive,football,44
19,1,non-restrictive,stick,0
28,1,restrictive,switch,0
28,1,restrictive,frame,0
28,1,restrictive,picture,20
28,1,restrictive,lamp,52
14,1,restrictive,glasses,0
14,1,restrictive,cigarettes,13
14,1,restrictive,filofax,0
14,1,restrictive,briefcase,0
25,1,non-restrictive,rabbit,46
25,1,non-restrictive,plate,0
25,1,non-restrictive,potato,0
25,1,non-restrictive,glass,0
43,1,non-restrictive,chalk,0
43,1,non-restrictive,ruler,0
43,1,non-restrictive,shirt,40
43,1,non-restrictive,apple,38
13,1,non-restrictive,boat,0
13,1,non-restrictive,birds,0
13,1,non-restrictive,sun,0
13,1,non-restrictive,car,0
49,1,non-restrictive,balloon,0
49,1,non-restrictive,pump,0
49,1,non-restrictive,flag,0
49,1,non-restrictive,pouch,0
50,1,restrictive,scissors,0
50,1,restrictive,stamp,0
50,1,restrictive,envelope,0
50,1,restrictive,rubberband,10
11,1,non-restrictive,dog,129
11,1,non-restrictive,wastebin,0
11,1,non-restrictive,washing-machine,0
11,1,non-restrictive,mirror,5
10,1,restrictive,bag,0
10,1,restrictive,book,0
10,1,restrictive,door,0
10,1,restrictive,cup,0
38,1,restrictive,key,91
38,1,restrictive,banana,0
38,1,restrictive,mitten,0
38,1,restrictive,marker,0
32,1,restrictive,lemon,0
32,1,restrictive,sponge,0
32,1,restrictive,seed,21
32,1,restrictive,bottle,0
29,1,non-restrictive,milk,0
29,1,non-restrictive,glove,0
29,1,non-restrictive,nut,49
29,1,non-restrictive,sock,34
34,1,restrictive,gift,27
34,1,restrictive,suitcase,0
34,1,restrictive,envelope,0
34,1,restrictive,box,43
26,1,restrictive,rope,0
26,1,restrictive,canvas,0
26,1,restrictive,keyboard,47
26,1,restrictive,peach,35
18,1,restrictive,rope,0
18,1,restrictive,wood,0
18,1,restrictive,bucket,0
18,1,restrictive,stone,0
15,1,non-restrictive,ball,45
15,1,non-restrictive,hen,0
15,1,non-restrictive,dog,0
15,1,non-restrictive,bird,0
36,1,restrictive,brush,0
36,1,restrictive,mirror,15
36,1,restrictive,pot,38
36,1,restrictive,mascara,0
45,1,non-restrictive,dough,81
45,1,non-restrictive,glass,0
45,1,non-restrictive,ladle,0
45,1,non-restrictive,hammer,0
12,1,restrictive,drum,0
12,1,restrictive,duck,0
12,1,restrictive,bricks,0
12,1,restrictive,bell,62
35,1,non-restrictive,notebook,0
35,1,non-restrictive,pillow,0
35,1,non-restrictive,radio,41
35,1,non-restrictive,puzzle,39
48,1,restrictive,dustpan,10
48,1,restrictive,roller,14
48,1,restrictive,footstool,0
48,1,restrictive,carpet,26
46,1,restrictive,pot,17
46,1,restrictive,carrot,0
46,1,restrictive,laddle,0
46,1,restrictive,peeler,0
27,1,non-restrictive,coin,0
27,1,non-restrictive,coaster,14
27,1,non-restrictive,candle,0
27,1,non-restrictive,package,0
42,1,restrictive,shell,0
42,1,restrictive,orange,94
42,1,restrictive,stone,0
42,1,restrictive,cone,0
1,1,non-restrictive,cake,0
1,1,non-restrictive,toy-car,0
1,1,non-restrictive,toy-train,0
1,1,non-restrictive,ball,59
41,1,non-restrictive,blouse,0
41,1,non-restrictive,pin,0
41,1,non-restrictive,toothbrish,18
41,1,non-restrictive,iron,45
22,2,non-restrictive,vase,0
22,2,non-restrictive,cushion,0
22,2,non-restrictive,flower,0
22,2,non-restrictive,magazine,0
37,2,restrictive,clips,0
37,2,restrictive,lego,0
37,2,restrictive,papers,0
37,2,restrictive,boxes,0
6,2,non-restrictive,cactus,0
6,2,non-restrictive,moon,0
6,2,non-restrictive,mountain,0
6,2,non-restrictive,animal,0
4,2,non-restrictive,baby,0
4,2,non-restrictive,plant,0
4,2,non-restrictive,stool,0
4,2,non-restrictive,rocking-horse,0
42,2,non-restrictive,cone,0
42,2,non-restrictive,shell,0
42,2,non-restrictive,orange,0
42,2,non-restrictive,stone,0
47,2,restrictive,bow,0
47,2,restrictive,gum,0
47,2,restrictive,stand,0
47,2,restrictive,violin,0
23,2,restrictive,hook,0
23,2,restrictive,poster,0
23,2,restrictive,towel,0
23,2,restrictive,coat,0
38,2,non-restrictive,marker,0
38,2,non-restrictive,key,0
38,2,non-restrictive,banana,0
38,2,non-restrictive,mitten,0
35,2,restrictive,puzzle,0
35,2,restrictive,notebook,0
35,2,restrictive,pillow,0
35,2,restrictive,radio,0
45,2,restrictive,hammer,0
45,2,restrictive,dough,0
45,2,restrictive,glass,0
45,2,restrictive,ladle,0
10,2,non-restrictive,cup,0
10,2,non-restrictive,bag,0
10,2,non-restrictive,book,0
10,2,non-restrictive,door,0
18,2,non-restrictive,stone,0
