,stimuliId,condition,obj,avg_percent,n_participants
0,1,non-restrictive,ball,0.0,3
1,1,non-restrictive,cake,0.0,3
2,1,non-restrictive,toy-car,0.0,3
3,1,non-restrictive,toy-train,0.0,3
4,1,restrictive,ball,0.0,2
5,1,restrictive,cake,0.0,2
6,1,restrictive,toy-car,0.0,2
7,1,restrictive,toy-train,0.0,2
8,2,non-restrictive,chair,0.0,2
9,2,non-restrictive,cheese,0.0,2
10,2,non-restrictive,lipstick,0.0,2
11,2,non-restrictive,wine,0.5,2
12,2,restrictive,chair,0.0,3
13,2,restrictive,cheese,0.0,3
14,2,restrictive,lipstick,0.0,3
15,2,restrictive,wine,1.0,3
16,3,non-restrictive,car,0.0,3
17,3,non-restrictive,dustbin,0.0,3
18,3,non-restrictive,houses,0.30769230769230776,3
19,3,non-restrictive,man,0.025641025641025633,3
20,3,restrictive,car,0.0,2
21,3,restrictive,dustbin,0.0,2
22,3,restrictive,houses,0.0,2
23,3,restrictive,man,0.0,2
24,4,non-restrictive,baby,0.0,2
25,4,non-restrictive,plant,0.0,2
26,4,non-restrictive,rocking-horse,0.0,2
27,4,non-restrictive,stool,0.0,2
28,4,restrictive,baby,0.3333333333333333,3
29,4,restrictive,plant,0.0,3
30,4,restrictive,rocking-horse,0.0,3
31,4,restrictive,stool,0.0,3
32,5,non-restrictive,acorns,0.0,3
33,5,non-restrictive,ball,0.10964912280701754,3
34,5,non-restrictive,paper-plane,0.0,3
35,5,non-restrictive,shuttle-cock,0.2236842105263158,3
36,5,restrictive,acorns,0.5072463768115942,2
37,5,restrictive,ball,0.34782608695652173,2
38,5,restrictive,paper-plane,0.0,2
39,5,restrictive,shuttle-cock,0.14492753623188406,2
40,6,non-restrictive,animal,0.0,2
41,6,non-restrictive,cactus,0.33,2
42,6,non-restrictive,moon,0.17,2
43,6,non-restrictive,mountain,0.0,2
44,6,restrictive,animal,0.0,3
45,6,restrictive,cactus,0.0,3
46,6,restrictive,moon,0.32222222222222224,3
47,6,restrictive,mountain,0.3444444444444444,3
48,7,non-restrictive,jug,0.0,3
49,7,non-restrictive,knife,0.19999999999999998,3
50,7,non-restrictive,mushrooms,0.0,3
51,7,non-restrictive,weighing-scales,0.13333333333333333,3
52,7,restrictive,jug,0.15753424657534246,2
53,7,restrictive,knife,0.0,2
