stimuliId,condition,obj,count_per_obj_per_part,percentages,countOfNonZeroParticipants,is_target
1,non-restrictive,ball,66,0.37714285714285717,7.0,0
1,non-restrictive,cake,93,0.5314285714285715,7.0,1
1,non-restrictive,toy-car,16,0.09142857142857143,7.0,0
1,non-restrictive,toy-train,0,0.0,7.0,0
1,restrictive,ball,0,0.0,3.0,0
1,restrictive,cake,123,0.7884615384615384,3.0,1
1,restrictive,toy-car,33,0.21153846153846154,3.0,0
1,restrictive,toy-train,0,0.0,3.0,0
2,non-restrictive,chair,25,0.2358490566037736,2.0,0
2,non-restrictive,cheese,0,0.0,2.0,0
2,non-restrictive,lipstick,70,0.660377358490566,2.0,0
2,non-restrictive,wine,11,0.10377358490566038,2.0,1
2,restrictive,chair,114,0.3064516129032258,7.0,0
2,restrictive,cheese,62,0.16666666666666666,7.0,0
2,restrictive,lipstick,196,0.5268817204301075,7.0,0
2,restrictive,wine,0,0.0,7.0,1
3,non-restrictive,car,74,0.24584717607973422,4.0,0
3,non-restrictive,dustbin,0,0.0,4.0,0
3,non-restrictive,houses,87,0.28903654485049834,4.0,0
3,non-restrictive,man,140,0.46511627906976744,4.0,1
3,restrictive,car,26,0.16883116883116883,4.0,0
3,restrictive,dustbin,1,0.006493506493506494,4.0,0
3,restrictive,houses,21,0.13636363636363635,4.0,0
3,restrictive,man,106,0.6883116883116883,4.0,1
4,non-restrictive,baby,13,0.09701492537313433,2.0,1
4,non-restrictive,plant,60,0.44776119402985076,2.0,0
4,non-restrictive,rocking-horse,0,0.0,2.0,0
4,non-restrictive,stool,61,0.4552238805970149,2.0,0
4,restrictive,baby,121,0.7289156626506024,5.0,1
4,restrictive,plant,6,0.03614457831325301,5.0,0
4,restrictive,rocking-horse,0,0.0,5.0,0
4,restrictive,stool,39,0.23493975903614459,5.0,0
5,non-restrictive,acorns,47,0.1910569105691057,6.0,0
5,non-restrictive,ball,122,0.4959349593495935,6.0,1
5,non-restrictive,paper-plane,34,0.13821138211382114,6.0,0
5,non-restrictive,shuttle-cock,43,0.17479674796747968,6.0,0
5,restrictive,acorns,6,0.05825242718446602,3.0,0
5,restrictive,ball,3,0.02912621359223301,3.0,1
5,restrictive,paper-plane,92,0.8932038834951457,3.0,0
5,restrictive,shuttle-cock,2,0.019417475728155338,3.0,0
6,non-restrictive,animal,106,0.21721311475409835,6.0,0
6,non-restrictive,cactus,8,0.01639344262295082,6.0,0
6,non-restrictive,moon,43,0.08811475409836066,6.0,0
6,non-restrictive,mountain,331,0.6782786885245902,6.0,1
6,restrictive,animal,0,0.0,6.0,0
6,restrictive,cactus,0,0.0,6.0,0
6,restrictive,moon,47,0.1843137254901961,6.0,0
6,restrictive,mountain,208,0.8156862745098039,6.0,1
7,non-restrictive,jug,24,0.09448818897637795,4.0,0
7,non-restrictive,knife,29,0.1141732283464567,4.0,0
7,non-restrictive,mushrooms,191,0.7519685039370079,4.0,1
7,non-restrictive,weighing-scales,10,0.03937007874015748,4.0,0
7,restrictive,jug,62,0.40789473684210525,4.0,0
7,restrictive,knife,8,0.05263157894736842,4.0,0
7,restrictive,mushrooms,25,0.16447368421052633,4.0,1
7,restrictive,weighing-scales,57,0.375,4.0,0
8,non-restrictive,child,85,0.34552845528455284,4.0,1
8,non-restrictive,microscope,95,0.3861788617886179,4.0,0
8,non-restrictive,toy-bear,22,0.08943089430894309,4.0,0
8,non-restrictive,tv-monitor,44,0.17886178861788618,4.0,0
8,restrictive,child,161,0.5015576323987538,5.0,1
8,restrictive,microscope,128,0.3987538940809969,5.0,0
8,restrictive,toy-bear,32,0.09968847352024922,5.0,0
8,restrictive,tv-monitor,0,0.0,5.0,0
9,non-restrictive,piano,132,0.3482849604221636,6.0,1
9,non-restrictive,table,0,0.0,6.0,0
9,non-restrictive,telephone,118,0.3113456464379947,6.0,0
9,non-restrictive,television,129,0.3403693931398417,6.0,0
9,restrictive,piano,145,0.7671957671957672,3.0,1
9,restrictive,table,20,0.10582010582010581,3.0,0
9,restrictive,telephone,24,0.12698412698412698,3.0,0
9,restrictive,television,0,0.0,3.0,0
10,non-restrictive,bag,23,0.26744186046511625,3.0,0
10,non-restrictive,book,11,0.12790697674418605,3.0,1
10,non-restrictive,cup,28,0.32558139534883723,3.0,0
10,non-restrictive,door,24,0.27906976744186046,3.0,0
10,restrictive,bag,85,0.46195652173913043,6.0,0
10,restrictive,book,23,0.125,6.0,1
10,restrictive,cup,24,0.13043478260869565,6.0,0
10,restrictive,door,52,0.2826086956521739,6.0,0
11,non-restrictive,dog,222,0.4180790960451977,9.0,0
11,non-restrictive,mirror,106,0.19962335216572505,9.0,0
11,non-restrictive,washing-machine,61,0.11487758945386065,9.0,1
11,non-restrictive,wastebin,142,0.2674199623352166,9.0,0
11,restrictive,dog,40,0.0686106346483705,8.0,0
