item,condition,object,human_prob,n_participants_engaged,n_participants_total,human_prob_unconditional,pct_elsewhere,is_target,llm_prob
1,non-restrictive,ball,0.3333333333333333,3,15,0.06666666666666667,0.8,False,0.9934
1,non-restrictive,cake,0.0,3,15,0.0,0.8,True,0.0055
1,non-restrictive,toy car,0.6666666666666666,3,15,0.13333333333333333,0.8,False,0.0009
1,non-restrictive,toy train,0.0,3,15,0.0,0.8,False,0.0003
1,restrictive,ball,0.0,1,13,0.0,0.9230769230769231,False,0.0266
1,restrictive,cake,0.5,1,13,0.038461538461538464,0.9230769230769231,True,0.9734
1,restrictive,toy car,0.5,1,13,0.038461538461538464,0.9230769230769231,False,0.0
1,restrictive,toy train,0.0,1,13,0.0,0.9230769230769231,False,0.0
2,non-restrictive,chair,0.0,1,13,0.0,0.9230769230769231,False,0.323
2,non-restrictive,cheese,0.0,1,13,0.0,0.9230769230769231,False,0.1448
2,non-restrictive,lipstick,0.5,1,13,0.038461538461538464,0.9230769230769231,False,0.0413
2,non-restrictive,wine,0.5,1,13,0.038461538461538464,0.9230769230769231,True,0.4909
2,restrictive,chair,0.4,5,15,0.13333333333333333,0.6666666666666666,False,0.0004
2,restrictive,cheese,0.0,5,15,0.0,0.6666666666666666,False,0.0042
2,restrictive,lipstick,0.6,5,15,0.2,0.6666666666666666,False,0.0008
2,restrictive,wine,0.0,5,15,0.0,0.6666666666666666,True,0.9946
3,non-restrictive,car,,0,15,0.0,1.0,False,0.8303
3,non-restrictive,dustbin,,0,15,0.0,1.0,False,0.0
3,non-restrictive,houses,,0,15,0.0,1.0,False,0.0578
3,non-restrictive,man,,0,15,0.0,1.0,True,0.1118
3,restrictive,car,0.5,2,13,0.07692307692307693,0.8461538461538461,False,0.0289
3,restrictive,dustbin,0.0,2,13,0.0,0.8461538461538461,False,0.0
3,restrictive,houses,0.0,2,13,0.0,0.8461538461538461,False,0.0001
3,restrictive,man,0.5,2,13,0.07692307692307693,0.8461538461538461,True,0.971
4,non-restrictive,baby,0.0,1,13,0.0,0.9230769230769231,True,0.9267
4,non-restrictive,plant,0.0,1,13,0.0,0.9230769230769231,False,0.0425
4,non-restrictive,rocking horse,0.0,1,13,0.0,0.9230769230769231,False,0.0
4,non-restrictive,stool,1.0,1,13,0.07692307692307693,0.9230769230769231,False,0.0308
4,restrictive,baby,0.8,5,15,0.26666666666666666,0.6666666666666666,True,0.9862
4,restrictive,plant,0.0,5,15,0.0,0.6666666666666666,False,0.0134
4,restrictive,rocking horse,0.0,5,15,0.0,0.6666666666666666,False,0.0
4,restrictive,stool,0.2,5,15,0.06666666666666667,0.6666666666666666,False,0.0004
5,non-restrictive,acorns,0.0,4,15,0.0,0.7333333333333333,False,0.0001
5,non-restrictive,ball,0.5,4,15,0.13333333333333333,0.7333333333333333,True,0.9998
5,non-restrictive,paper plane,0.0,4,15,0.0,0.7333333333333333,False,0.0
5,non-restrictive,shuttle cock,0.5,4,15,0.13333333333333333,0.7333333333333333,False,0.0
5,restrictive,acorns,0.0,1,13,0.0,0.9230769230769231,False,0.0001
5,restrictive,ball,1.0,1,13,0.07692307692307693,0.9230769230769231,True,0.9999
5,restrictive,paper plane,0.0,1,13,0.0,0.9230769230769231,False,0.0
5,restrictive,shuttle cock,0.0,1,13,0.0,0.9230769230769231,False,0.0
6,non-restrictive,animal,0.25,2,13,0.038461538461538464,0.8461538461538461,False,0.2223
6,non-restrictive,cactus,0.0,2,13,0.0,0.8461538461538461,False,0.0057
6,non-restrictive,moon,0.0,2,13,0.0,0.8461538461538461,False,0.151
6,non-restrictive,mountain,0.75,2,13,0.11538461538461539,0.8461538461538461,True,0.621
6,restrictive,animal,0.0,9,15,0.0,0.4,False,0.0021
6,restrictive,cactus,0.0,9,15,0.0,0.4,False,0.0007
6,restrictive,moon,0.2222222222222222,9,15,0.13333333333333333,0.4,False,0.0039
6,restrictive,mountain,0.7777777777777778,9,15,0.4666666666666667,0.4,True,0.9933
7,non-restrictive,jug,0.3333,1,15,0.02222,0.9333333333333333,False,0.0175
7,non-restrictive,knife,0.3333,1,15,0.02222,0.9333333333333333,False,0.9511
7,non-restrictive,mushrooms,0.3333,1,15,0.02222,0.9333333333333333,True,0.0314
7,non-restrictive,weighing scales,0.0,1,15,0.0,0.9333333333333333,False,0.0
7,restrictive,jug,0.25,4,13,0.07692307692307693,0.6923076923076923,False,0.0055
7,restrictive,knife,0.0,4,13,0.0,0.6923076923076923,False,0.0933
7,restrictive,mushrooms,0.25,4,13,0.07692307692307693,0.6923076923076923,True,0.9013
7,restrictive,weighing scales,0.5,4,13,0.15384615384615385,0.6923076923076923,False,0.0
8,non-restrictive,child,0.0,2,13,0.0,0.8461538461538461,True,0.9977
8,non-restrictive,microscope,0.5,2,13,0.07692307692307693,0.8461538461538461,False,0.0023
8,non-restrictive,toy bear,0.25,2,13,0.038461538461538464,0.8461538461538461,False,0.0
8,non-restrictive,tv monitor,0.25,2,13,0.038461538461538464,0.8461538461538461,False,0.0
8,restrictive,child,0.3,5,15,0.1,0.6666666666666666,True,0.9996
8,restrictive,microscope,0.6,5,15,0.2,0.6666666666666666,False,0.0004
8,restrictive,toy bear,0.1,5,15,0.03333333333333333,0.6666666666666666,False,0.0
8,restrictive,tv monitor,0.0,5,15,0.0,0.6666666666666666,False,0.0
9,non-restrictive,piano,0.6,5,15,0.2,0.6666666666666666,True,0.0609
9,non-restrictive,table,0.0,5,15,0.0,0.6666666666666666,False,0.87
9,non-restrictive,telephone,0.2,5,15,0.06666666666666667,0.6666666666666666,False,0.0388
9,non-restrictive,television,0.2,5,15,0.06666666666666667,0.6666666666666666,False,0.0302
9,restrictive,piano,0.5,1,13,0.038461538461538464,0.9230769230769231,True,0.9797
9,restrictive,table,0.5,1,13,0.038461538461538464,0.9230769230769231,False,0.0082
9,restrictive,telephone,0.0,1,13,0.0,0.9230769230769231,False,0.0045
9,restrictive,television,0.0,1,13,0.0,0.9230769230769231,False,0.0076
10,non-restrictive,bag,0.75,2,13,0.11538461538461539,0.8461538461538461,False,0.0353
10,non-restrictive,book,0.0,2,13,0.0,0.8461538461538461,True,0.0144
10,non-restrictive,cup,0.0,2,13,0.0,0.8461538461538461,False,0.0049
10,non-restrictive,door,0.25,2,13,0.038461538461538464,0.8461538461538461,False,0.9454
10,restrictive,bag,0.375,4,15,0.1,0.7333333333333333,False,0.0037
10,restrictive,book,0.125,4,15,0.03333333333333333,0.7333333333333333,True,0.9926
10,restrictive,cup,0.25,4,15,0.06666666666666667,0.7333333333333333,False,0.0004
10,restrictive,door,0.25,4,15,0.06666666666666667,0.7333333333333333,False,0.0033
11,non-restrictive,dog,0.21428571428571427,7,15,0.1,0.5333333333333333,False,0.5351
11,non-restrictive,mirror,0.35714285714285715,7,15,0.16666666666666666,0.5333333333333333,False,0.4439
11,non-restrictive,washing machine,0.2857142857142857,7,15,0.13333333333333333,0.5333333333333333,True,0.021
11,non-restrictive,wastebin,0.14285714285714285,7,15,0.06666666666666667,0.5333333333333333,False,0.0
11,restrictive,dog,0.04761428571428571,7,13,0.025638461538461537,0.46153846153846156,False,0.6293
11,restrictive,mirror,0.14285714285714285,7,13,0.07692307692307693,0.46153846153846156,False,0.2654
11,restrictive,washing machine,0.7618999999999999,7,13,0.41025384615384614,0.46153846153846156,True,0.1052
11,restrictive,wastebin,0.04761428571428571,7,13,0.025638461538461537,0.46153846153846156,False,0.0001
12,non-restrictive,bell,0.0,1,13,0.0,0.9230769230769231,True,0.0855
12,non-restrictive,bricks,1.0,1,13,0.07692307692307693,0.9230769230769231,False,0.1667
12,non-restrictive,drum,0.0,1,13,0.0,0.9230769230769231,False,0.7074
12,non-restrictive,duck,0.0,1,13,0.0,0.9230769230769231,False,0.0404
12,restrictive,bell,,0,15,0.0,1.0,True,0.9994
12,restrictive,bricks,,0,15,0.0,1.0,False,0.0
12,restrictive,drum,,0,15,0.0,1.0,False,0.0006
12,restrictive,duck,,0,15,0.0,1.0,False,0.0
13,non-restrictive,birds,0.0,2,15,0.0,0.8666666666666667,False,0.1086
