item,condition,n_objects,js_divergence_bits,spearman_rho_within_item,spearman_p_within_item,human_top_object,llm_top_object,human_top_prob,llm_top_prob,top_object_agree
1,non-restrictive,3,0.4544357151630339,0.5,0.6666666666666666,toy car,ball,0.6666666666666666,0.9987934848180173,False
1,restrictive,4,0.3191444704860926,0.23570226039551587,0.7642977396044841,cake,cake,0.5,0.9734,True
2,non-restrictive,3,0.792184682627086,-0.8660254037844387,0.33333333333333326,lipstick,chair,1.0,0.6344529561972108,False
2,restrictive,4,0.9933203986351372,-0.7378647873726218,0.26213521262737816,lipstick,wine,0.6,0.9946,False
3,restrictive,4,0.23899494478017733,0.8944271909999159,0.10557280900008416,car,man,0.5,0.971,False
4,non-restrictive,3,0.37782648993957746,0.0,1.0,stool,plant,1.0,0.5798090040927695,False
4,restrictive,4,0.11183148827943087,0.632455532033676,0.367544467966324,baby,baby,0.8,0.9862000000000001,True
5,non-restrictive,3,1.0,-0.5000000000000001,0.6666666666666666,shuttle cock,acorns,1.0,1.0,False
5,restrictive,4,5.000180345897481e-05,0.8164965809277261,0.18350341907227388,ball,ball,1.0,0.9999,True
6,non-restrictive,3,0.2460422373314755,0.8660254037844387,0.33333333333333326,animal,animal,1.0,0.5865435356200528,True
6,restrictive,4,0.10973299144700256,0.9486832980505139,0.05131670194948613,mountain,mountain,0.7777777777777778,0.9933,True
7,non-restrictive,3,0.26006112456674657,0.8660254037844387,0.33333333333333326,jug,knife,0.5,0.981932686351435,False
7,restrictive,4,0.5462936528285973,-0.632455532033676,0.367544467966324,weighing scales,mushrooms,0.5,0.9012098790120988,False
8,non-restrictive,3,0.31127812445913294,1.0,0.0,microscope,microscope,0.5,1.0,True
8,restrictive,4,0.4910995368815651,0.7378647873726218,0.26213521262737816,microscope,child,0.6000000000000001,0.9996,False
9,non-restrictive,3,0.8070925438397433,-0.8660254037844387,0.33333333333333326,telephone,table,0.5,0.926517571884984,False
9,restrictive,4,0.2869886556018113,0.8944271909999159,0.10557280900008416,piano,piano,0.5,0.9797,True
10,non-restrictive,3,0.4504565989048798,0.5,0.6666666666666666,bag,door,0.75,0.9592126623376623,False
10,restrictive,4,0.6876951680275826,-0.316227766016838,0.683772233983162,bag,book,0.375,0.9926,False
11,non-restrictive,3,0.12710371406329518,0.5,0.6666666666666666,mirror,dog,0.5,0.5465781409601634,False
11,restrictive,4,0.4533959565594612,-0.10540925533894598,0.894590744661054,washing machine,dog,0.7619108844412064,0.6293,False
12,non-restrictive,3,0.6333709466896762,0.0,1.0,bricks,drum,1.0,0.7735374521596501,False
14,non-restrictive,3,0.6456532257354687,-0.8660254037844387,0.33333333333333326,briefcase,glasses,0.5,0.7372049854150093,False
14,restrictive,4,0.10828600294332814,0.3333333333333334,0.6666666666666666,cigarettes,cigarettes,0.8,0.9994000000000001,True
15,non-restrictive,3,0.499698740141485,-0.5,0.6666666666666666,ball,bird,0.75,0.8221734357848519,False
15,restrictive,4,0.8754228040782265,-0.4472135954999579,0.552786404500042,ball,dog,0.5,0.9474,False
16,non-restrictive,3,0.5203474007374074,0.5,0.6666666666666666,folder,wallet,0.8,0.9669150521609539,False
16,restrictive,4,0.849549209596614,0.2581988897471611,0.741801110252839,wallet,hat,1.0,0.9457,False
17,non-restrictive,3,0.8635514942751623,-1.0,0.0,ribbon,backpack,0.6666666666666666,0.9456261799874135,False
17,restrictive,4,0.2417743251490061,0.9486832980505139,0.05131670194948613,dress,dress,0.5,0.9709000000000001,True
18,non-restrictive,3,0.6986270091624505,-0.8660254037844387,0.33333333333333326,bucket,stone,1.0,0.5864379827351204,False
18,restrictive,4,0.4553850970878907,-0.316227766016838,0.683772233983162,stone,wood,0.5,0.8771,False
19,non-restrictive,3,0.21980759607370348,0.8660254037844387,0.33333333333333326,stick,stick,1.0,0.6238221436984688,True
19,restrictive,4,0.9742578536907739,-0.2581988897471611,0.741801110252839,leaf,football,1.0,0.9176,False
20,restrictive,4,0.18939913426124036,0.632455532033676,0.367544467966324,bread,bread,0.6666666666666666,0.9725972597259727,True
21,non-restrictive,3,0.1942966658661355,0.8660254037844387,0.33333333333333326,cup,cup,1.0,0.6615022824733712,True
21,restrictive,4,0.6376840471148962,0.2581988897471611,0.741801110252839,cup,kitten,1.0,0.708,False
22,non-restrictive,3,0.36572541992561625,0.8660254037844387,0.33333333333333326,magazine,magazine,1.0,0.43409712003363465,True
22,restrictive,4,0.3515201613365906,0.316227766016838,0.683772233983162,vase,flower,0.5,0.8509,False
23,non-restrictive,3,0.7640316517363764,-0.8660254037844387,0.33333333333333326,hook,poster,1.0,0.6036005434782609,False
24,non-restrictive,3,0.7514760417253482,-0.8660254037844387,0.33333333333333326,needle,card,1.0,0.7499716263761208,False
24,restrictive,4,0.05303199418514383,0.7745966692414834,0.22540333075851665,scarf,scarf,1.0,0.8979,True
