item,condition,object,n_chose,n_participants_engaged,n_participants_total,human_prob,pct_elsewhere,is_target,llm_prob,verb,human_prob_analysis,llm_prob_analysis
1,restrictive,cake,1,1,12.0,1.0,0.916667,True,0.9734,eat,1.0,0.9734
1,restrictive,ball,0,1,12.0,0.0,0.916667,False,0.0266,eat,0.0,0.0266
1,restrictive,toy car,0,1,12.0,0.0,0.916667,False,0.0,eat,0.0,0.0
1,restrictive,toy train,0,1,12.0,0.0,0.916667,False,0.0,eat,0.0,0.0
1,non-restrictive,ball,1,2,12.0,0.5,0.833333,False,0.9934,move,0.5,0.9934
1,non-restrictive,cake,0,2,12.0,0.0,0.833333,True,0.0055,move,0.0,0.0055
1,non-restrictive,toy car,1,2,12.0,0.5,0.833333,False,0.0009,move,0.5,0.0009
1,non-restrictive,toy train,0,2,12.0,0.0,0.833333,False,0.0003,move,0.0,0.0003
2,restrictive,wine,0,4,12.0,0.0,0.666667,True,0.9946,drink,0.0,0.9946
2,restrictive,cheese,0,4,12.0,0.0,0.666667,False,0.0042,drink,0.0,0.0042
2,restrictive,lipstick,3,4,12.0,0.75,0.666667,False,0.0008,drink,0.75,0.0008
2,restrictive,chair,1,4,12.0,0.25,0.666667,False,0.0004,drink,0.25,0.0004
2,non-restrictive,wine,1,1,12.0,1.0,0.916667,True,0.4909,try,1.0,0.4909
2,non-restrictive,chair,0,1,12.0,0.0,0.916667,False,0.323,try,0.0,0.323
2,non-restrictive,cheese,0,1,12.0,0.0,0.916667,False,0.1448,try,0.0,0.1448
2,non-restrictive,lipstick,0,1,12.0,0.0,0.916667,False,0.0413,try,0.0,0.0413
3,restrictive,man,1,1,12.0,1.0,0.916667,True,0.971,arrest,1.0,0.971
3,restrictive,car,0,1,12.0,0.0,0.916667,False,0.0289,arrest,0.0,0.0289
3,restrictive,houses,0,1,12.0,0.0,0.916667,False,0.0001,arrest,0.0,0.0001
3,restrictive,dustbin,0,1,12.0,0.0,0.916667,False,0.0,arrest,0.0,0.0
3,non-restrictive,car,0,0,12.0,,1.0,False,0.8303,search,,0.8303
3,non-restrictive,man,0,0,12.0,,1.0,True,0.1118,search,,0.1118
3,non-restrictive,houses,0,0,12.0,,1.0,False,0.0578,search,,0.0578
3,non-restrictive,dustbin,0,0,12.0,,1.0,False,0.0,search,,0.0
4,restrictive,baby,2,3,12.0,0.6666666666666666,0.75,True,0.9862,bathe,0.6666666666666666,0.9862
4,restrictive,plant,0,3,12.0,0.0,0.75,False,0.0134,bathe,0.0,0.0134
4,restrictive,stool,1,3,12.0,0.3333333333333333,0.75,False,0.0004,bathe,0.3333333333333333,0.0004
4,restrictive,rocking horse,0,3,12.0,0.0,0.75,False,0.0,bathe,0.0,0.0
4,non-restrictive,baby,0,2,12.0,0.0,0.833333,True,0.9267,touch,0.0,0.9267
4,non-restrictive,plant,0,2,12.0,0.0,0.833333,False,0.0425,touch,0.0,0.0425
4,non-restrictive,stool,2,2,12.0,1.0,0.833333,False,0.0308,touch,1.0,0.0308
4,non-restrictive,rocking horse,0,2,12.0,0.0,0.833333,False,0.0,touch,0.0,0.0
5,restrictive,ball,0,1,12.0,0.0,0.916667,True,0.9999,bounce,0.0,0.9999
5,restrictive,acorns,0,1,12.0,0.0,0.916667,False,0.0001,bounce,0.0,0.0001
5,restrictive,paper plane,0,1,12.0,0.0,0.916667,False,0.0,bounce,0.0,0.0
5,restrictive,shuttle cock,1,1,12.0,1.0,0.916667,False,0.0,bounce,1.0,0.0
5,non-restrictive,ball,1,3,12.0,0.3333333333333333,0.75,True,0.9998,throw,0.3333333333333333,0.9998
5,non-restrictive,acorns,0,3,12.0,0.0,0.75,False,0.0001,throw,0.0,0.0001
5,non-restrictive,paper plane,0,3,12.0,0.0,0.75,False,0.0,throw,0.0,0.0
5,non-restrictive,shuttle cock,2,3,12.0,0.6666666666666666,0.75,False,0.0,throw,0.6666666666666666,0.0
6,restrictive,mountain,4,5,12.0,0.8,0.583333,True,0.9933,climb,0.8,0.9933
6,restrictive,moon,1,5,12.0,0.2,0.583333,False,0.0039,climb,0.2,0.0039
6,restrictive,animal,0,5,12.0,0.0,0.583333,False,0.0021,climb,0.0,0.0021
6,restrictive,cactus,0,5,12.0,0.0,0.583333,False,0.0007,climb,0.0,0.0007
6,non-restrictive,mountain,2,2,12.0,1.0,0.833333,True,0.621,photograph,1.0,0.621
6,non-restrictive,animal,0,2,12.0,0.0,0.833333,False,0.2223,photograph,0.0,0.2223
6,non-restrictive,moon,0,2,12.0,0.0,0.833333,False,0.151,photograph,0.0,0.151
6,non-restrictive,cactus,0,2,12.0,0.0,0.833333,False,0.0057,photograph,0.0,0.0057
7,restrictive,mushrooms,1,3,12.0,0.3333333333333333,0.75,True,0.9013,fry,0.3333333333333333,0.9013
7,restrictive,knife,0,3,12.0,0.0,0.75,False,0.0933,fry,0.0,0.0933
7,restrictive,jug,1,3,12.0,0.3333333333333333,0.75,False,0.0055,fry,0.3333333333333333,0.0055
7,restrictive,weighing scales,1,3,12.0,0.3333333333333333,0.75,False,0.0,fry,0.3333333333333333,0.0
7,non-restrictive,knife,0,1,12.0,0.0,0.916667,False,0.9511,wash,0.0,0.9511
7,non-restrictive,mushrooms,0,1,12.0,0.0,0.916667,True,0.0314,wash,0.0,0.0314
7,non-restrictive,jug,1,1,12.0,1.0,0.916667,False,0.0175,wash,1.0,0.0175
7,non-restrictive,weighing scales,0,1,12.0,0.0,0.916667,False,0.0,wash,0.0,0.0
8,restrictive,child,1,3,12.0,0.3333333333333333,0.75,True,0.9996,inject,0.3333333333333333,0.9996
8,restrictive,microscope,1,3,12.0,0.3333333333333333,0.75,False,0.0004,inject,0.3333333333333333,0.0004
8,restrictive,tv monitor,0,3,12.0,0.0,0.75,False,0.0,inject,0.0,0.0
8,restrictive,toy bear,1,3,12.0,0.3333333333333333,0.75,False,0.0,inject,0.3333333333333333,0.0
8,non-restrictive,child,0,2,12.0,0.0,0.833333,True,0.9977,check,0.0,0.9977
8,non-restrictive,microscope,1,2,12.0,0.5,0.833333,False,0.0023,check,0.5,0.0023
8,non-restrictive,tv monitor,0,2,12.0,0.0,0.833333,False,0.0,check,0.0,0.0
8,non-restrictive,toy bear,1,2,12.0,0.5,0.833333,False,0.0,check,0.5,0.0
9,restrictive,piano,0,2,12.0,0.0,0.833333,True,0.9797,play,0.0,0.9797
9,restrictive,table,2,2,12.0,1.0,0.833333,False,0.0082,play,1.0,0.0082
9,restrictive,television,0,2,12.0,0.0,0.833333,False,0.0076,play,0.0,0.0076
9,restrictive,telephone,0,2,12.0,0.0,0.833333,False,0.0045,play,0.0,0.0045
9,non-restrictive,table,0,4,12.0,0.0,0.666667,False,0.87,dust,0.0,0.87
9,non-restrictive,piano,2,4,12.0,0.5,0.666667,True,0.0609,dust,0.5,0.0609
9,non-restrictive,telephone,1,4,12.0,0.25,0.666667,False,0.0388,dust,0.25,0.0388
9,non-restrictive,television,1,4,12.0,0.25,0.666667,False,0.0302,dust,0.25,0.0302
10,restrictive,book,0,4,12.0,0.0,0.666667,True,0.9926,read,0.0,0.9926
10,restrictive,bag,2,4,12.0,0.5,0.666667,False,0.0037,read,0.5,0.0037
10,restrictive,door,1,4,12.0,0.25,0.666667,False,0.0033,read,0.25,0.0033
