item,condition,object,n_chose,n_participants_engaged,n_participants_total,human_prob,pct_elsewhere
1,restrictive,cake,1,1,12.0,1.0,0.916667
1,restrictive,ball,0,1,12.0,0.0,0.916667
1,restrictive,toy car,0,1,12.0,0.0,0.916667
1,restrictive,toy train,0,1,12.0,0.0,0.916667
1,non-restrictive,ball,1,2,12.0,0.5,0.833333
1,non-restrictive,cake,0,2,12.0,0.0,0.833333
1,non-restrictive,toy car,1,2,12.0,0.5,0.833333
1,non-restrictive,toy train,0,2,12.0,0.0,0.833333
2,restrictive,wine,0,4,12.0,0.0,0.666667
2,restrictive,cheese,0,4,12.0,0.0,0.666667
2,restrictive,lipstick,3,4,12.0,0.75,0.666667
2,restrictive,chair,1,4,12.0,0.25,0.666667
2,non-restrictive,wine,1,1,12.0,1.0,0.916667
2,non-restrictive,chair,0,1,12.0,0.0,0.916667
2,non-restrictive,cheese,0,1,12.0,0.0,0.916667
2,non-restrictive,lipstick,0,1,12.0,0.0,0.916667
3,restrictive,man,1,1,12.0,1.0,0.916667
3,restrictive,car,0,1,12.0,0.0,0.916667
3,restrictive,houses,0,1,12.0,0.0,0.916667
3,restrictive,dustbin,0,1,12.0,0.0,0.916667
3,non-restrictive,car,0,0,12.0,,1.0
3,non-restrictive,man,0,0,12.0,,1.0
3,non-restrictive,houses,0,0,12.0,,1.0
3,non-restrictive,dustbin,0,0,12.0,,1.0
4,restrictive,baby,2,3,12.0,0.6666666666666666,0.75
4,restrictive,plant,0,3,12.0,0.0,0.75
4,restrictive,stool,1,3,12.0,0.3333333333333333,0.75
4,restrictive,rocking horse,0,3,12.0,0.0,0.75
4,non-restrictive,baby,0,2,12.0,0.0,0.833333
4,non-restrictive,plant,0,2,12.0,0.0,0.833333
4,non-restrictive,stool,2,2,12.0,1.0,0.833333
4,non-restrictive,rocking horse,0,2,12.0,0.0,0.833333
5,restrictive,ball,0,1,12.0,0.0,0.916667
5,restrictive,acorns,0,1,12.0,0.0,0.916667
5,restrictive,paper plane,0,1,12.0,0.0,0.916667
5,restrictive,shuttle cock,1,1,12.0,1.0,0.916667
5,non-restrictive,ball,1,3,12.0,0.3333333333333333,0.75
5,non-restrictive,acorns,0,3,12.0,0.0,0.75
5,non-restrictive,paper plane,0,3,12.0,0.0,0.75
5,non-restrictive,shuttle cock,2,3,12.0,0.6666666666666666,0.75
6,restrictive,mountain,4,5,12.0,0.8,0.583333
6,restrictive,moon,1,5,12.0,0.2,0.583333
6,restrictive,animal,0,5,12.0,0.0,0.583333
6,restrictive,cactus,0,5,12.0,0.0,0.583333
6,non-restrictive,mountain,2,2,12.0,1.0,0.833333
6,non-restrictive,animal,0,2,12.0,0.0,0.833333
6,non-restrictive,moon,0,2,12.0,0.0,0.833333
6,non-restrictive,cactus,0,2,12.0,0.0,0.833333
7,restrictive,mushrooms,1,3,12.0,0.3333333333333333,0.75
7,restrictive,knife,0,3,12.0,0.0,0.75
7,restrictive,jug,1,3,12.0,0.3333333333333333,0.75
7,restrictive,weighing scales,1,3,12.0,0.3333333333333333,0.75
7,non-restrictive,knife,0,1,12.0,0.0,0.916667
7,non-restrictive,mushrooms,0,1,12.0,0.0,0.916667
7,non-restrictive,jug,1,1,12.0,1.0,0.916667
7,non-restrictive,weighing scales,0,1,12.0,0.0,0.916667
8,restrictive,child,1,3,12.0,0.3333333333333333,0.75
8,restrictive,microscope,1,3,12.0,0.3333333333333333,0.75
8,restrictive,tv monitor,0,3,12.0,0.0,0.75
8,restrictive,toy bear,1,3,12.0,0.3333333333333333,0.75
8,non-restrictive,child,0,2,12.0,0.0,0.833333
8,non-restrictive,microscope,1,2,12.0,0.5,0.833333
8,non-restrictive,tv monitor,0,2,12.0,0.0,0.833333
8,non-restrictive,toy bear,1,2,12.0,0.5,0.833333
9,restrictive,piano,0,2,12.0,0.0,0.833333
9,restrictive,table,2,2,12.0,1.0,0.833333
9,restrictive,television,0,2,12.0,0.0,0.833333
9,restrictive,telephone,0,2,12.0,0.0,0.833333
9,non-restrictive,table,0,4,12.0,0.0,0.666667
9,non-restrictive,piano,2,4,12.0,0.5,0.666667
9,non-restrictive,telephone,1,4,12.0,0.25,0.666667
9,non-restrictive,television,1,4,12.0,0.25,0.666667
10,restrictive,book,0,4,12.0,0.0,0.666667
10,restrictive,bag,2,4,12.0,0.5,0.666667
10,restrictive,door,1,4,12.0,0.25,0.666667
10,restrictive,cup,1,4,12.0,0.25,0.666667
10,non-restrictive,door,0,0,12.0,,1.0
10,non-restrictive,bag,0,0,12.0,,1.0
10,non-restrictive,book,0,0,12.0,,1.0
10,non-restrictive,cup,0,0,12.0,,1.0
11,restrictive,dog,0,2,12.0,0.0,0.833333
