item,condition,js_divergence_bits,spearman_rho_within_item,human_top_prob,llm_top_prob,human_top_object,llm_top_object
1,non-restrictive,0.30849057821376463,0.4472135954999579,0.5,0.9933006699330067,ball,ball
1,restrictive,0.013429323023315478,0.8164965809277261,1.0,0.9734,cake,cake
2,non-restrictive,0.31852985236652953,0.7745966692414834,1.0,0.4909,wine,wine
2,restrictive,0.9933272321736843,-0.7378647873726218,0.75,0.9946,lipstick,wine
3,restrictive,0.014653900343706056,0.7745966692414834,1.0,0.971,man,man
4,non-restrictive,0.9001215485149782,-0.2581988897471611,1.0,0.9267,stool,baby
4,restrictive,0.19375798380582906,0.632455532033676,0.6666666666666666,0.9862000000000001,baby,baby
5,non-restrictive,0.45916867187952093,-0.05555555555555556,0.6666666666666666,0.9998999899989999,shuttle cock,ball
5,restrictive,1.0,-0.5443310539518174,1.0,0.9999,shuttle cock,ball
6,non-restrictive,0.22175798075153555,0.7745966692414834,1.0,0.621,mountain,mountain
6,restrictive,0.09696230369881667,0.9486832980505139,0.8,0.9933,mountain,mountain
7,non-restrictive,0.9361972147099131,-0.2581988897471611,1.0,0.9511000000000001,jug,knife
7,restrictive,0.46030083771187963,-0.2581988897471611,0.3333333333333333,0.9012098790120988,mushrooms,mushrooms
8,non-restrictive,0.9894083176252481,-0.23570226039551587,0.5,0.9977,microscope,child
8,restrictive,0.4570016769192776,0.5443310539518174,0.3333333333333333,0.9996,child,child
9,non-restrictive,0.7096934166808656,-0.316227766016838,0.5,0.8700870087008701,piano,table
9,restrictive,0.9656471071090384,0.2581988897471611,1.0,0.9797,table,piano
10,restrictive,0.9693825076077134,-0.316227766016838,0.5,0.9926,bag,book
11,non-restrictive,0.31851294989658413,-0.316227766016838,0.5,0.5351,wastebin,dog
11,restrictive,0.7493691612629167,-0.2581988897471611,1.0,0.6293,washing machine,dog
13,non-restrictive,0.38448776844619853,-0.316227766016838,0.6666666666666666,0.5233523352335233,boat,sun
