item,condition,n_objects,js_divergence_bits,spearman_rho_within_item,spearman_p_within_item,human_top_object,llm_top_object,human_top_prob,llm_top_prob,top_object_agree
1,non-restrictive,3,0.30685610830284343,0.8660254037844387,0.33333333333333326,ball,ball,0.5,0.9987934848180173,True
1,restrictive,4,0.013429323023315478,0.8164965809277261,0.18350341907227388,cake,cake,1.0,0.9734,True
2,restrictive,4,0.9933543356149521,-0.7378647873726218,0.26213521262737816,lipstick,wine,0.8,0.9946,False
3,restrictive,4,0.014653900343706056,0.7745966692414834,0.22540333075851665,man,man,1.0,0.971,True
4,non-restrictive,3,0.37782648993957746,0.0,1.0,stool,plant,1.0,0.5798090040927695,False
4,restrictive,4,0.1413794694799993,0.632455532033676,0.367544467966324,baby,baby,0.75,0.9862000000000001,True
5,non-restrictive,3,1.0,-0.5000000000000001,0.6666666666666666,shuttle cock,acorns,1.0,1.0,False
5,restrictive,4,1.0,-0.5443310539518174,0.4556689460481826,shuttle cock,ball,1.0,0.9999,False
6,restrictive,4,0.12609739294705294,0.9486832980505139,0.05131670194948613,mountain,mountain,0.75,0.9933,True
7,non-restrictive,3,0.9345410003033107,0.0,1.0,jug,knife,1.0,0.981932686351435,False
7,restrictive,4,0.46030083771187946,-0.2581988897471611,0.741801110252839,jug,mushrooms,0.3333333333333333,0.9012098790120988,False
8,non-restrictive,3,0.31127812445913294,0.5000000000000001,0.6666666666666666,microscope,microscope,0.5,1.0,True
8,restrictive,4,0.5465131409897812,0.5000000000000001,0.49999999999999983,microscope,child,0.5,0.9996,False
9,non-restrictive,3,0.8070925438397433,-0.8660254037844387,0.33333333333333326,telephone,table,0.5,0.926517571884984,False
9,restrictive,4,0.9656471071090384,0.2581988897471611,0.741801110252839,table,piano,1.0,0.9797,False
10,restrictive,4,0.9693825076077134,-0.316227766016838,0.683772233983162,bag,book,0.5,0.9926,False
11,non-restrictive,3,0.3123246439780541,-0.8660254037844387,0.33333333333333326,wastebin,dog,0.5,0.5465781409601634,False
11,restrictive,4,0.7493691612629167,-0.2581988897471611,0.741801110252839,washing machine,dog,1.0,0.6293,False
13,non-restrictive,3,0.2532820226131641,0.8660254037844387,0.33333333333333326,sun,sun,1.0,0.5765120634570894,True
14,non-restrictive,3,1.0,-0.8660254037844387,0.33333333333333326,filofax,glasses,1.0,0.7372049854150093,False
14,restrictive,4,0.10828600294332814,0.3333333333333334,0.6666666666666666,cigarettes,cigarettes,0.8,0.9994000000000001,True
15,non-restrictive,3,0.499698740141485,-0.5,0.6666666666666666,ball,bird,0.75,0.8221734357848519,False
15,restrictive,4,0.8754228040782265,-0.4472135954999579,0.552786404500042,ball,dog,0.5,0.9474,False
16,non-restrictive,3,0.9011302522439193,0.0,1.0,folder,wallet,1.0,0.9669150521609539,False
16,restrictive,4,0.849549209596614,0.2581988897471611,0.741801110252839,wallet,hat,1.0,0.9457,False
17,non-restrictive,3,0.8712204805724916,-1.0,0.0,ribbon,backpack,0.75,0.9456261799874135,False
17,restrictive,4,0.29172148089918476,0.4472135954999579,0.552786404500042,backpack,dress,0.5,0.9709000000000001,False
18,non-restrictive,3,0.6986270091624505,-0.8660254037844387,0.33333333333333326,bucket,stone,1.0,0.5864379827351204,False
18,restrictive,4,0.24934453772036172,0.4472135954999579,0.552786404500042,stone,wood,0.5,0.8771,False
19,non-restrictive,3,0.21980759607370348,0.8660254037844387,0.33333333333333326,stick,stick,1.0,0.6238221436984688,True
19,restrictive,4,0.9742578536907739,-0.2581988897471611,0.741801110252839,leaf,football,1.0,0.9176,False
20,restrictive,4,0.18939913426124036,0.632455532033676,0.367544467966324,bread,bread,0.6666666666666666,0.9725972597259727,True
21,non-restrictive,3,0.048421791270787676,0.8660254037844387,0.33333333333333326,block,cup,0.5,0.6615022824733712,False
21,restrictive,4,0.6376840471148962,0.2581988897471611,0.741801110252839,cup,kitten,1.0,0.708,False
22,non-restrictive,3,0.36572541992561625,0.8660254037844387,0.33333333333333326,magazine,magazine,1.0,0.43409712003363465,True
22,restrictive,4,0.44631742051667855,0.21081851067789195,0.7891814893221081,vase,flower,0.75,0.8509,False
23,non-restrictive,3,0.7640316517363764,-0.8660254037844387,0.33333333333333326,hook,poster,1.0,0.6036005434782609,False
24,non-restrictive,3,0.7514760417253482,-0.8660254037844387,0.33333333333333326,needle,card,1.0,0.7499716263761208,False
24,restrictive,4,0.05303199418514383,0.7745966692414834,0.22540333075851665,scarf,scarf,1.0,0.8979,True
25,non-restrictive,3,0.8753306210590144,-0.8660254037844387,0.33333333333333326,plate,glass,0.5,0.9510940808712313,False
25,restrictive,4,0.10762758409219328,0.8944271909999159,0.10557280900008416,glass,rabbit,0.5,0.6146,False
26,restrictive,4,0.8844556179855438,-0.9486832980505139,0.05131670194948613,peach,canvas,0.6666666666666666,0.892,False
27,restrictive,4,0.9730160486425171,-0.8944271909999159,0.10557280900008416,coaster,candle,0.5,0.9813018698130188,False
28,non-restrictive,3,0.16639002066402583,0.8660254037844387,0.33333333333333326,picture,picture,1.0,0.7043912888254195,True
28,restrictive,4,0.008299505703928716,0.7745966692414834,0.22540333075851665,lamp,lamp,1.0,0.9835,True
29,non-restrictive,3,0.48467700482187237,0.0,1.0,sock,glove,1.0,0.5856581938417028,False
29,restrictive,4,0.00040011546179106783,0.7745966692414834,0.22540333075851665,milk,milk,1.0,0.9992000000000001,True
30,non-restrictive,3,0.1806570233823483,0.8660254037844387,0.33333333333333326,tissue,tissue,1.0,0.6822429906542056,True
30,restrictive,4,0.13731773416932896,0.5000000000000001,0.49999999999999983,newspaper,newspaper,0.75,0.9986,True
31,restrictive,4,1.0,-0.7745966692414834,0.22540333075851665,headphones,dice,1.0,0.9986,False
32,restrictive,4,0.9239616500173718,-0.632455532033676,0.367544467966324,seed,bottle,0.6,0.9702,False
33,non-restrictive,3,0.27331618786510437,0.0,1.0,kettle,mug,0.5,0.8359638233729385,False
33,restrictive,4,0.9852614819401166,-0.2581988897471611,0.741801110252839,mug,beer,1.0,0.9874,False
34,non-restrictive,3,0.06950624361224411,0.8660254037844387,0.33333333333333326,box,box,1.0,0.8677482287709211,True
34,restrictive,4,0.7381051404100311,-0.4472135954999579,0.552786404500042,envelope,box,0.5,0.8097000000000001,False
35,non-restrictive,3,0.23229213458291723,0.8660254037844387,0.33333333333333326,pillow,pillow,1.0,0.6058990357345434,True
36,non-restrictive,3,0.1396426048211532,0.8660254037844387,0.33333333333333326,brush,pot,0.5,0.37492465340566605,False
37,non-restrictive,3,0.04226481214559383,0.8660254037844387,0.33333333333333326,boxes,boxes,1.0,0.918,True
37,restrictive,4,0.9878233902754737,-0.7745966692414834,0.22540333075851665,lego,boxes,1.0,0.6069,False
38,non-restrictive,3,0.3026332059999501,0.8660254037844387,0.33333333333333326,marker,marker,1.0,0.5109811410837909,True
38,restrictive,4,0.9496939361897831,-0.8944271909999159,0.10557280900008416,marker,banana,0.5,0.8902,False
39,non-restrictive,3,0.47106607424723024,0.0,1.0,broom,cloth,1.0,0.6261656980673064,False
39,restrictive,4,0.07224795834289105,0.7745966692414834,0.22540333075851665,cloth,cloth,1.0,0.8628,True
40,non-restrictive,3,0.053579569094176056,0.8660254037844387,0.33333333333333326,mat,mat,1.0,0.8968861664114344,True
40,restrictive,4,0.7351662563566285,-0.2581988897471611,0.741801110252839,mat,shoelace,1.0,0.4426,False
41,non-restrictive,3,0.20948019575726187,0.8660254037844387,0.33333333333333326,iron,iron,1.0,0.6389034215758084,True
42,non-restrictive,3,0.02716233988111143,0.8660254037844387,0.33333333333333326,stone,stone,1.0,0.9467270570473417,True
42,restrictive,4,0.7892498158348922,-0.2581988897471611,0.741801110252839,shell,orange,1.0,0.4535,False
43,non-restrictive,3,0.3124480233844388,0.8660254037844387,0.33333333333333326,apple,apple,1.0,0.49852507374631266,True
43,restrictive,4,0.2921246444723081,0.4472135954999579,0.552786404500042,apple,shirt,0.5,0.9799,False
44,non-restrictive,3,0.7795497198373059,0.0,1.0,bolt,pan,1.0,0.8573461401636429,False
44,restrictive,4,0.6319907078692294,-0.9486832980505139,0.05131670194948613,pan,safe,0.75,0.4936,False
45,restrictive,4,5.000180345897481e-05,0.8164965809277261,0.18350341907227388,dough,dough,1.0,0.9999,True
46,non-restrictive,3,0.9598060147173426,0.0,1.0,ladle,pot,1.0,0.9863783008722667,False
46,restrictive,4,0.2294148959617761,0.7745966692414834,0.22540333075851665,carrot,carrot,1.0,0.61,True
47,non-restrictive,3,0.5778769616233868,0.0,1.0,bow,stand,1.0,0.7722683014785432,False
47,restrictive,4,0.25006956387506146,0.4472135954999579,0.552786404500042,bow,violin,0.5,0.7555,False
48,non-restrictive,3,0.2584824338923215,0.8660254037844387,0.33333333333333326,footstool,roller,0.5,0.9789473684210527,False
48,restrictive,4,0.9092033907864427,-0.21081851067789195,0.7891814893221081,roller,carpet,0.75,0.9692000000000001,False
49,non-restrictive,3,0.4106286279768177,0.0,1.0,pouch,flag,0.5,0.9383461778796085,False
50,non-restrictive,3,0.38547149621202875,0.0,1.0,envelope,scissors,1.0,0.5858835651725914,False
50,restrictive,4,0.6686037043603534,0.2581988897471611,0.741801110252839,stamp,envelope,1.0,0.7792,False
