item	condition	subject_id	chosen_object	first_saccade_landing_aoi
7	non-restrictive	subject-1		subject
16	restrictive	subject-1		
40	restrictive	subject-1		
22	restrictive	subject-1		subject
39	non-restrictive	subject-1		elsewhere
5	non-restrictive	subject-1	ball	pos1
30	restrictive	subject-1	newspaper	pos2
24	restrictive	subject-1		subject
20	restrictive	subject-1	bread	pos4
23	non-restrictive	subject-1		elsewhere
8	restrictive	subject-1		subject
44	restrictive	subject-1		
9	non-restrictive	subject-1	piano	pos1
31	non-restrictive	subject-1		subject
37	non-restrictive	subject-1		
21	non-restrictive	subject-1	kitten	pos1
6	restrictive	subject-1	mountain	pos2
2	restrictive	subject-1	lipstick	pos1
33	non-restrictive	subject-1		elsewhere
4	restrictive	subject-1	baby	pos4
3	non-restrictive	subject-1		
47	non-restrictive	subject-1		
17	non-restrictive	subject-1	ribbon	pos4
19	non-restrictive	subject-1	football	pos3
28	restrictive	subject-1	lamp	pos4
14	restrictive	subject-1		elsewhere
25	non-restrictive	subject-1	rabbit	pos1
43	non-restrictive	subject-1		elsewhere
13	non-restrictive	subject-1	sun	pos3
49	non-restrictive	subject-1		
50	restrictive	subject-1		subject
11	non-restrictive	subject-1		elsewhere
10	restrictive	subject-1		
38	restrictive	subject-1		
32	restrictive	subject-1	seed	pos3
29	non-restrictive	subject-1	sock	pos4
34	restrictive	subject-1		subject
26	restrictive	subject-1	peach	pos4
18	restrictive	subject-1		
15	non-restrictive	subject-1	ball	pos1
36	restrictive	subject-1		elsewhere
45	non-restrictive	subject-1	dough	pos1
12	restrictive	subject-1		
35	non-restrictive	subject-1	radio	pos3
48	restrictive	subject-1	roller	pos2
46	restrictive	subject-1		
27	non-restrictive	subject-1		elsewhere
42	restrictive	subject-1		
1	non-restrictive	subject-1		elsewhere
41	non-restrictive	subject-1	iron	pos4
7	non-restrictive	subject-1		subject
16	restrictive	subject-1		
40	restrictive	subject-1		
22	restrictive	subject-1		subject
39	non-restrictive	subject-1		elsewhere
5	non-restrictive	subject-1	ball	pos1
30	restrictive	subject-1	newspaper	pos2
24	restrictive	subject-1		subject
20	restrictive	subject-1	bread	pos4
23	non-restrictive	subject-1		elsewhere
8	restrictive	subject-1		subject
44	restrictive	subject-1		
9	non-restrictive	subject-1	piano	pos1
31	non-restrictive	subject-1		subject
37	non-restrictive	subject-1		
21	non-restrictive	subject-1	kitten	pos1
6	restrictive	subject-1	mountain	pos2
2	restrictive	subject-1	lipstick	pos1
33	non-restrictive	subject-1		elsewhere
4	restrictive	subject-1	baby	pos4
3	non-restrictive	subject-1		
47	non-restrictive	subject-1		
17	non-restrictive	subject-1	ribbon	pos4
19	non-restrictive	subject-1	football	pos3
28	restrictive	subject-1	lamp	pos4
14	restrictive	subject-1		elsewhere
25	non-restrictive	subject-1	rabbit	pos1
43	non-restrictive	subject-1		elsewhere
13	non-restrictive	subject-1	sun	pos3
49	non-restrictive	subject-1		
50	restrictive	subject-1		subject
11	non-restrictive	subject-1		elsewhere
10	restrictive	subject-1		
38	restrictive	subject-1		
