subject_id,condition,n_trials,pct_on_target,mean_latency_ms
subject-1,non-restrictive,42,33.3,256.0
subject-1,restrictive,32,31.2,231.0
subject-10,non-restrictive,5,20.0,412.0
subject-10,restrictive,5,0.0,616.0
subject-11,non-restrictive,11,9.1,302.0
subject-11,restrictive,11,0.0,377.0
subject-12,non-restrictive,10,0.0,239.0
subject-12,restrictive,12,0.0,270.0
subject-13,non-restrictive,13,30.8,199.0
subject-13,restrictive,15,20.0,219.0
subject-14,non-restrictive,10,0.0,358.0
subject-14,restrictive,14,14.3,342.0
subject-15,non-restrictive,3,0.0,452.0
subject-15,restrictive,1,0.0,221.0
subject-16,non-restrictive,4,75.0,489.0
subject-16,restrictive,4,50.0,436.0
subject-17,non-restrictive,16,0.0,304.0
subject-17,restrictive,16,18.8,145.0
subject-18,non-restrictive,6,16.7,305.0
subject-18,restrictive,3,0.0,409.0
subject-19,non-restrictive,22,18.2,200.0
subject-19,restrictive,16,25.0,390.0
subject-2,non-restrictive,4,0.0,350.0
subject-2,restrictive,5,0.0,354.0
subject-20,non-restrictive,8,0.0,331.0
subject-20,restrictive,4,0.0,667.0
subject-21,non-restrictive,22,0.0,307.0
subject-21,restrictive,16,0.0,347.0
subject-22,non-restrictive,6,16.7,262.0
subject-22,restrictive,1,0.0,278.0
subject-23,non-restrictive,20,0.0,349.0
subject-23,restrictive,16,0.0,271.0
subject-24,non-restrictive,17,11.8,221.0
subject-24,restrictive,16,43.8,222.0
subject-3,non-restrictive,2,0.0,150.0
subject-3,restrictive,4,25.0,325.0
subject-4,non-restrictive,4,0.0,327.0
subject-4,restrictive,13,15.4,346.0
subject-5,non-restrictive,9,0.0,383.0
subject-5,restrictive,7,0.0,297.0
subject-6,non-restrictive,5,0.0,291.0
subject-6,restrictive,3,0.0,530.0
subject-7,non-restrictive,7,0.0,321.0
subject-7,restrictive,9,11.1,295.0
subject-8,non-restrictive,10,10.0,182.0
subject-8,restrictive,10,10.0,360.0
subject-9,non-restrictive,20,35.0,285.0
subject-9,restrictive,19,26.3,220.0
