subject_id,condition,saccade_prop_pos1,saccade_prop_pos2,saccade_prop_pos3,saccade_prop_pos4
subject-1,non-restrictive,0.462,0.0,0.154,0.385
subject-1,restrictive,0.15,0.3,0.1,0.45
subject-10,non-restrictive,0.0,0.0,1.0,0.0
subject-10,restrictive,0.0,0.0,0.0,1.0
subject-11,non-restrictive,0.083,0.25,0.25,0.417
subject-11,restrictive,0.25,0.375,0.375,0.0
subject-12,non-restrictive,0.0,0.0,1.0,0.0
subject-12,restrictive,0.333,0.333,0.333,0.0
subject-13,non-restrictive,0.258,0.394,0.258,0.091
subject-13,restrictive,0.0,0.208,0.458,0.333
subject-14,non-restrictive,0.167,0.25,0.083,0.5
subject-14,restrictive,0.292,0.083,0.417,0.208
subject-15,non-restrictive,1.0,0.0,0.0,0.0
subject-15,restrictive,0.0,1.0,0.0,0.0
subject-16,non-restrictive,0.0,0.625,0.375,0.0
subject-16,restrictive,,,,
subject-17,non-restrictive,0.0,0.333,0.167,0.5
subject-17,restrictive,0.1,0.35,0.2,0.35
subject-18,non-restrictive,0.0,0.0,1.0,0.0
subject-18,restrictive,,,,
subject-19,non-restrictive,0.333,0.333,0.167,0.167
subject-19,restrictive,0.0,0.0,1.0,0.0
subject-2,non-restrictive,,,,
subject-2,restrictive,,,,
subject-20,non-restrictive,1.0,0.0,0.0,0.0
subject-20,restrictive,,,,
subject-21,non-restrictive,0.333,0.667,0.0,0.0
subject-21,restrictive,0.25,0.25,0.5,0.0
subject-22,non-restrictive,0.5,0.5,0.0,0.0
subject-22,restrictive,,,,
subject-23,non-restrictive,0.0,0.25,0.25,0.5
subject-23,restrictive,0.0,0.5,0.0,0.5
subject-24,non-restrictive,0.107,0.202,0.56,0.131
subject-24,restrictive,0.192,0.269,0.5,0.038
subject-3,non-restrictive,,,,
subject-3,restrictive,0.0,0.0,1.0,0.0
subject-4,non-restrictive,0.25,0.0,0.75,0.0
subject-4,restrictive,0.0,0.167,0.583,0.25
subject-5,non-restrictive,0.357,0.143,0.429,0.071
subject-5,restrictive,0.2,0.5,0.3,0.0
subject-6,non-restrictive,,,,
subject-6,restrictive,0.0,1.0,0.0,0.0
subject-7,non-restrictive,0.333,0.333,0.333,0.0
subject-7,restrictive,1.0,0.0,0.0,0.0
subject-8,non-restrictive,0.083,0.583,0.25,0.083
subject-8,restrictive,0.25,0.0,0.25,0.5
subject-9,non-restrictive,0.211,0.202,0.281,0.307
subject-9,restrictive,0.167,0.333,0.278,0.222
